languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.1,Jonah 1:1,0,The word of the LORD came to Jonah son of Amittai:
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.2,Jonah 1:2,1,"""Go to the great city of Nineveh and preach against it, because its wickedness has come up before me."""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.3,Jonah 1:3,2,"But Jonah ran away from the LORD and headed for Tarshish. He went down to Joppa, where he found a ship bound for that port. After paying the fare, he went aboard and sailed for Tarshish to flee from the LORD."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.4,Jonah 1:4,3,"Then the LORD sent a great wind on the sea, and such a violent storm arose that the ship threatened to break up."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.5,Jonah 1:5,4,"All the sailors were afraid and each cried out to his own god. And they threw the cargo into the sea to lighten the ship. But Jonah had gone below deck, where he lay down and fell into a deep sleep."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.6,Jonah 1:6,5,"The captain went to him and said, ""How can you sleep? Get up and call on your god! Maybe he will take notice of us, and we will not perish."""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.7,Jonah 1:7,6,"Then the sailors said to each other, ""Come, let us cast lots to find out who is responsible for this calamity."" They cast lots and the lot fell on Jonah."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.8,Jonah 1:8,7,"So they asked him, ""Tell us, who is responsible for making all this trouble for us? What do you do? Where do you come from? What is your country? From what people are you?"""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.9,Jonah 1:9,8,"He answered, ""I am a Hebrew and I worship the LORD, the God of heaven, who made the sea and the land."""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.10,Jonah 1:10,9,"This terrified them and they asked, ""What have you done?"" (They knew he was running away from the LORD, because he had already told them so.)"
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.11,Jonah 1:11,10,"The sea was getting rougher and rougher. So they asked him, ""What should we do to you to make the sea calm down for us?"""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.12,Jonah 1:12,11,"""Pick me up and throw me into the sea,"" he replied, ""and it will become calm. I know that it is my fault that this great storm has come upon you."""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.13,Jonah 1:13,12,"Instead, the men did their best to row back to land. But they could not, for the sea grew even wilder than before."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.14,Jonah 1:14,13,"Then they cried to the LORD, ""O LORD, please do not let us die for taking this man's life. Do not hold us accountable for killing an innocent man, for you, O LORD, have done as you pleased."""
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.15,Jonah 1:15,14,"Then they took Jonah and threw him overboard, and the raging sea grew calm."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.16,Jonah 1:16,15,"At this the men greatly feared the LORD, and they offered a sacrifice to the LORD and made vows to him."
en,NIV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.17,Jonah 1:17,16,"But the LORD provided a great fish to swallow Jonah, and Jonah was inside the fish three days and three nights."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.1,Jonah 2:1,0,From inside the fish Jonah prayed to the LORD his God.
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.2,Jonah 2:2,1,"He said: ""In my distress I called to the LORD, and he answered me. From the depths of the grave I called for help, and you listened to my cry."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.3,Jonah 2:3,2,"You hurled me into the deep, into the very heart of the seas, and the currents swirled about me; all your waves and breakers swept over me."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.4,Jonah 2:4,3,"I said, 'I have been banished from your sight; yet I will look again toward your holy temple.'"
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.5,Jonah 2:5,4,"The engulfing waters threatened me, the deep surrounded me; seaweed was wrapped around my head."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.6,Jonah 2:6,5,"To the roots of the mountains I sank down; the earth beneath barred me in forever. But you brought my life up from the pit, O LORD my God."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.7,Jonah 2:7,6,"""When my life was ebbing away, I remembered you, LORD, and my prayer rose to you, to your holy temple."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.8,Jonah 2:8,7,"""Those who cling to worthless idols forfeit the grace that could be theirs."
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.9,Jonah 2:9,8,"But I, with a song of thanksgiving, will sacrifice to you. What I have vowed I will make good. Salvation comes from the LORD."""
en,NIV,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.10,Jonah 2:10,9,"And the LORD commanded the fish, and it vomited Jonah onto dry land."
en,NIV,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.1,Jonah 3:1,0,Then the word of the LORD came to Jonah a second time:
