languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.1,Nah 1:1,0,An oracle concerning Nineveh. The book of the vision of Nahum the Elkoshite.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.2,Nah 1:2,1,The LORD is a jealous and avenging God; the LORD takes vengeance and is filled with wrath. The LORD takes vengeance on his foes and maintains his wrath against his enemies.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.3,Nah 1:3,2,"The LORD is slow to anger and great in power; the LORD will not leave the guilty unpunished. His way is in the whirlwind and the storm, and clouds are the dust of his feet."
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.4,Nah 1:4,3,He rebukes the sea and dries it up; he makes all the rivers run dry. Bashan and Carmel wither and the blossoms of Lebanon fade.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.5,Nah 1:5,4,"The mountains quake before him and the hills melt away. The earth trembles at his presence, the world and all who live in it."
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.6,Nah 1:6,5,Who can withstand his indignation? Who can endure his fierce anger? His wrath is poured out like fire; the rocks are shattered before him.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.7,Nah 1:7,6,"The LORD is good, a refuge in times of trouble. He cares for those who trust in him,"
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.8,Nah 1:8,7,but with an overwhelming flood he will make an end of Nineveh; he will pursue his foes into darkness.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.9,Nah 1:9,8,Whatever they plot against the LORD he will bring to an end; trouble will not come a second time.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.10,Nah 1:10,9,They will be entangled among thorns and drunk from their wine; they will be consumed like dry stubble.
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.11,Nah 1:11,10,"From you, O Nineveh, has one come forth who plots evil against the LORD and counsels wickedness."
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.12,Nah 1:12,11,"This is what the LORD says: ""Although they have allies and are numerous, they will be cut off and pass away. Although I have afflicted you, O Judah, I will afflict you no more."
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.13,Nah 1:13,12,"Now I will break their yoke from your neck and tear your shackles away."""
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.14,Nah 1:14,13,"The LORD has given a command concerning you, Nineveh: ""You will have no descendants to bear your name. I will destroy the carved images and cast idols that are in the temple of your gods. I will prepare your grave, for you are vile."""
en,NIV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.15,Nah 1:15,14,"Look, there on the mountains, the feet of one who brings good news, who proclaims peace! Celebrate your festivals, O Judah, and fulfill your vows. No more will the wicked invade you; they will be completely destroyed."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.1,Nah 2:1,0,"An attacker advances against you, Nineveh. Guard the fortress, watch the road, brace yourselves, marshal all your strength!"
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.2,Nah 2:2,1,"The LORD will restore the splendor of Jacob like the splendor of Israel, though destroyers have laid them waste and have ruined their vines."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.3,Nah 2:3,2,The shields of his soldiers are red; the warriors are clad in scarlet. The metal on the chariots flashes on the day they are made ready; the spears of pine are brandished.
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.4,Nah 2:4,3,"The chariots storm through the streets, rushing back and forth through the squares. They look like flaming torches; they dart about like lightning."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.5,Nah 2:5,4,"He summons his picked troops, yet they stumble on their way. They dash to the city wall; the protective shield is put in place."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.6,Nah 2:6,5,The river gates are thrown open and the palace collapses.
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.7,Nah 2:7,6,It is decreed that the city be exiled and carried away. Its slave girls moan like doves and beat upon their breasts.
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.8,Nah 2:8,7,"Nineveh is like a pool, and its water is draining away. ""Stop! Stop!"" they cry, but no one turns back."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.9,Nah 2:9,8,"Plunder the silver! Plunder the gold! The supply is endless, the wealth from all its treasures!"
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.10,Nah 2:10,9,"She is pillaged, plundered, stripped! Hearts melt, knees give way, bodies tremble, every face grows pale."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.11,Nah 2:11,10,"Where now is the lions' den, the place where they fed their young, where the lion and lioness went, and the cubs, with nothing to fear?"
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.12,Nah 2:12,11,"The lion killed enough for his cubs and strangled the prey for his mate, filling his lairs with the kill and his dens with the prey."
en,NIV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.13,Nah 2:13,12,"""I am against you,"" declares the LORD Almighty. ""I will burn up your chariots in smoke, and the sword will devour your young lions. I will leave you no prey on the earth. The voices of your messengers will no longer be heard."""
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.1,Nah 3:1,0,"Woe to the city of blood, full of lies, full of plunder, never without victims!"
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.2,Nah 3:2,1,"The crack of whips, the clatter of wheels, galloping horses and jolting chariots!"
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.3,Nah 3:3,2,"Charging cavalry, flashing swords and glittering spears! Many casualties, piles of dead, bodies without number, people stumbling over the corpses-"
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.4,Nah 3:4,3,"all because of the wanton lust of a harlot, alluring, the mistress of sorceries, who enslaved nations by her prostitution and peoples by her witchcraft."
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.5,Nah 3:5,4,"""I am against you,"" declares the LORD Almighty. ""I will lift your skirts over your face. I will show the nations your nakedness and the kingdoms your shame."
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.6,Nah 3:6,5,"I will pelt you with filth, I will treat you with contempt and make you a spectacle."
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.7,Nah 3:7,6,"All who see you will flee from you and say, 'Nineveh is in ruins-who will mourn for her?' Where can I find anyone to comfort you?"""
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.8,Nah 3:8,7,"Are you better than Thebes, situated on the Nile, with water around her? The river was her defense, the waters her wall."
en,NIV,Nah,Nah,33,Nah.3,Nah 3,2,Nah.3.9,Nah 3:9,8,Cush and Egypt were her boundless strength; Put and Libya were among her allies.
