languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.1,Zeph 1:1,0,"The word of the LORD that came to Zephaniah son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, during the reign of Josiah son of Amon king of Judah:"
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.2,Zeph 1:2,1,"""I will sweep away everything from the face of the earth,"" declares the LORD."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.3,Zeph 1:3,2,"""I will sweep away both men and animals; I will sweep away the birds of the air and the fish of the sea. The wicked will have only heaps of rubble when I cut off man from the face of the earth,"" declares the LORD."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.4,Zeph 1:4,3,"""I will stretch out my hand against Judah and against all who live in Jerusalem. I will cut off from this place every remnant of Baal, the names of the pagan and the idolatrous priests-"
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.5,Zeph 1:5,4,"those who bow down on the roofs to worship the starry host, those who bow down and swear by the LORD and who also swear by Molech,"
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.6,Zeph 1:6,5,those who turn back from following the LORD and neither seek the LORD nor inquire of him.
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.7,Zeph 1:7,6,"Be silent before the Sovereign LORD, for the day of the LORD is near. The LORD has prepared a sacrifice; he has consecrated those he has invited."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.8,Zeph 1:8,7,On the day of the LORD's sacrifice I will punish the princes and the king's sons and all those clad in foreign clothes.
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.9,Zeph 1:9,8,"On that day I will punish all who avoid stepping on the threshold, who fill the temple of their gods with violence and deceit."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.10,Zeph 1:10,9,"""On that day,"" declares the LORD, ""a cry will go up from the Fish Gate, wailing from the New Quarter, and a loud crash from the hills."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.11,Zeph 1:11,10,"Wail, you who live in the market district; all your merchants will be wiped out, all who trade with silver will be ruined."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.12,Zeph 1:12,11,"At that time I will search Jerusalem with lamps and punish those who are complacent, who are like wine left on its dregs, who think, 'The LORD will do nothing, either good or bad.'"
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.13,Zeph 1:13,12,"Their wealth will be plundered, their houses demolished. They will build houses but not live in them; they will plant vineyards but not drink the wine."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.14,Zeph 1:14,13,"""The great day of the LORD is near- near and coming quickly. Listen! The cry on the day of the LORD will be bitter, the shouting of the warrior there."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.15,Zeph 1:15,14,"That day will be a day of wrath, a day of distress and anguish, a day of trouble and ruin, a day of darkness and gloom, a day of clouds and blackness,"
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.16,Zeph 1:16,15,a day of trumpet and battle cry against the fortified cities and against the corner towers.
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.17,Zeph 1:17,16,"I will bring distress on the people and they will walk like blind men, because they have sinned against the LORD. Their blood will be poured out like dust and their entrails like filth."
en,NIV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.18,Zeph 1:18,17,"Neither their silver nor their gold will be able to save them on the day of the LORD's wrath. In the fire of his jealousy the whole world will be consumed, for he will make a sudden end of all who live in the earth."""
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.1,Zeph 2:1,0,"Gather together, gather together, O shameful nation,"
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.2,Zeph 2:2,1,"before the appointed time arrives and that day sweeps on like chaff, before the fierce anger of the LORD comes upon you, before the day of the LORD's wrath comes upon you."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.3,Zeph 2:3,2,"Seek the LORD, all you humble of the land, you who do what he commands. Seek righteousness, seek humility; perhaps you will be sheltered on the day of the LORD's anger."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.4,Zeph 2:4,3,Gaza will be abandoned and Ashkelon left in ruins. At midday Ashdod will be emptied and Ekron uprooted.
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.5,Zeph 2:5,4,"Woe to you who live by the sea, O Kerethite people; the word of the LORD is against you, O Canaan, land of the Philistines. ""I will destroy you, and none will be left."""
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.6,Zeph 2:6,5,"The land by the sea, where the Kerethites dwell, will be a place for shepherds and sheep pens."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.7,Zeph 2:7,6,It will belong to the remnant of the house of Judah; there they will find pasture. In the evening they will lie down in the houses of Ashkelon. The LORD their God will care for them; he will restore their fortunes.
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.8,Zeph 2:8,7,"""I have heard the insults of Moab and the taunts of the Ammonites, who insulted my people and made threats against their land."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.9,Zeph 2:9,8,"Therefore, as surely as I live,"" declares the LORD Almighty, the God of Israel, ""surely Moab will become like Sodom, the Ammonites like Gomorrah- a place of weeds and salt pits, a wasteland forever. The remnant of my people will plunder them; the survivors of my nation will inherit their land."""
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.10,Zeph 2:10,9,"This is what they will get in return for their pride, for insulting and mocking the people of the LORD Almighty."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.11,Zeph 2:11,10,"The LORD will be awesome to them when he destroys all the gods of the land. The nations on every shore will worship him, every one in its own land."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.12,Zeph 2:12,11,"""You too, O Cushites, will be slain by my sword."""
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.13,Zeph 2:13,12,"He will stretch out his hand against the north and destroy Assyria, leaving Nineveh utterly desolate and dry as the desert."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.14,Zeph 2:14,13,"Flocks and herds will lie down there, creatures of every kind. The desert owl and the screech owl will roost on her columns. Their calls will echo through the windows, rubble will be in the doorways, the beams of cedar will be exposed."
en,NIV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.15,Zeph 2:15,14,"This is the carefree city that lived in safety. She said to herself, ""I am, and there is none besides me."" What a ruin she has become, a lair for wild beasts! All who pass by her scoff and shake their fists."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.1,Zeph 3:1,0,"Woe to the city of oppressors, rebellious and defiled!"
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.2,Zeph 3:2,1,"She obeys no one, she accepts no correction. She does not trust in the LORD, she does not draw near to her God."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.3,Zeph 3:3,2,"Her officials are roaring lions, her rulers are evening wolves, who leave nothing for the morning."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.4,Zeph 3:4,3,Her prophets are arrogant; they are treacherous men. Her priests profane the sanctuary and do violence to the law.
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.5,Zeph 3:5,4,"The LORD within her is righteous; he does no wrong. Morning by morning he dispenses his justice, and every new day he does not fail, yet the unrighteous know no shame."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.6,Zeph 3:6,5,"""I have cut off nations; their strongholds are demolished. I have left their streets deserted, with no one passing through. Their cities are destroyed; no one will be left-no one at all."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.7,Zeph 3:7,6,"I said to the city, 'Surely you will fear me and accept correction!' Then her dwelling would not be cut off, nor all my punishments come upon her. But they were still eager to act corruptly in all they did."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.8,Zeph 3:8,7,"Therefore wait for me,"" declares the LORD, ""for the day I will stand up to testify. I have decided to assemble the nations, to gather the kingdoms and to pour out my wrath on them- all my fierce anger. The whole world will be consumed by the fire of my jealous anger."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.9,Zeph 3:9,8,"""Then will I purify the lips of the peoples, that all of them may call on the name of the LORD and serve him shoulder to shoulder."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.10,Zeph 3:10,9,"From beyond the rivers of Cush my worshipers, my scattered people, will bring me offerings."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.11,Zeph 3:11,10,"On that day you will not be put to shame for all the wrongs you have done to me, because I will remove from this city those who rejoice in their pride. Never again will you be haughty on my holy hill."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.12,Zeph 3:12,11,"But I will leave within you the meek and humble, who trust in the name of the LORD."
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.13,Zeph 3:13,12,"The remnant of Israel will do no wrong; they will speak no lies, nor will deceit be found in their mouths. They will eat and lie down and no one will make them afraid."""
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.14,Zeph 3:14,13,"Sing, O Daughter of Zion; shout aloud, O Israel! Be glad and rejoice with all your heart, O Daughter of Jerusalem!"
en,NIV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.15,Zeph 3:15,14,"The LORD has taken away your punishment, he has turned back your enemy. The LORD, the King of Israel, is with you; never again will you fear any harm."
