languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.1,Zech 1:1,0,"In the eighth month of the second year of Darius, the word of the LORD came to the prophet Zechariah son of Berekiah, the son of Iddo:"
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.2,Zech 1:2,1,"""The LORD was very angry with your forefathers."
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.3,Zech 1:3,2,"Therefore tell the people: This is what the LORD Almighty says: 'Return to me,' declares the LORD Almighty, 'and I will return to you,' says the LORD Almighty."
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.4,Zech 1:4,3,"Do not be like your forefathers, to whom the earlier prophets proclaimed: This is what the LORD Almighty says: 'Turn from your evil ways and your evil practices.' But they would not listen or pay attention to me, declares the LORD."
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.5,Zech 1:5,4,"Where are your forefathers now? And the prophets, do they live forever?"
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.6,Zech 1:6,5,"But did not my words and my decrees, which I commanded my servants the prophets, overtake your forefathers? ""Then they repented and said, 'The LORD Almighty has done to us what our ways and practices deserve, just as he determined to do.'"" The Man Among the Myrtle Trees"
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.7,Zech 1:7,6,"On the twenty-fourth day of the eleventh month, the month of Shebat, in the second year of Darius, the word of the LORD came to the prophet Zechariah son of Berekiah, the son of Iddo."
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.8,Zech 1:8,7,"During the night I had a vision-and there before me was a man riding a red horse! He was standing among the myrtle trees in a ravine. Behind him were red, brown and white horses."
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.9,Zech 1:9,8,"I asked, ""What are these, my lord?"" The angel who was talking with me answered, ""I will show you what they are."""
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.10,Zech 1:10,9,"Then the man standing among the myrtle trees explained, ""They are the ones the LORD has sent to go throughout the earth."""
en,NIV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.11,Zech 1:11,10,"And they reported to the angel of the LORD, who was standing among the myrtle trees, ""We have gone throughout the earth and found the whole world at rest and in peace."""
