languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.1,Mark 1:1,0,"The beginning of the gospel about Jesus Christ, the Son of God."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.2,Mark 1:2,1,"It is written in Isaiah the prophet: ""I will send my messenger ahead of you, who will prepare your way""--"
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.3,Mark 1:3,2,"""a voice of one calling in the desert, 'Prepare the way for the Lord, make straight paths for him.'"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.4,Mark 1:4,3,"And so John came, baptizing in the desert region and preaching a baptism of repentance for the forgiveness of sins."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.5,Mark 1:5,4,"The whole Judean countryside and all the people of Jerusalem went out to him. Confessing their sins, they were baptized by him in the Jordan River."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.6,Mark 1:6,5,"John wore clothing made of camel's hair, with a leather belt around his waist, and he ate locusts and wild honey."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.7,Mark 1:7,6,"And this was his message: ""After me will come one more powerful than I, the thongs of whose sandals I am not worthy to stoop down and untie."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.8,Mark 1:8,7,"I baptize you with water, but he will baptize you with the Holy Spirit."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.9,Mark 1:9,8,At that time Jesus came from Nazareth in Galilee and was baptized by John in the Jordan.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.10,Mark 1:10,9,"As Jesus was coming up out of the water, he saw heaven being torn open and the Spirit descending on him like a dove."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.11,Mark 1:11,10,"And a voice came from heaven: ""You are my Son, whom I love; with you I am well pleased."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.12,Mark 1:12,11,"At once the Spirit sent him out into the desert,"
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.13,Mark 1:13,12,"and he was in the desert forty days, being tempted by Satan. He was with the wild animals, and angels attended him."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.14,Mark 1:14,13,"After John was put in prison, Jesus went into Galilee, proclaiming the good news of God."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.15,Mark 1:15,14,"""The time has come,"" he said. ""The kingdom of God is near. Repent and believe the good news!"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.16,Mark 1:16,15,"As Jesus walked beside the Sea of Galilee, he saw Simon and his brother Andrew casting a net into the lake, for they were fishermen."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.17,Mark 1:17,16,"""Come, follow me,"" Jesus said, ""and I will make you fishers of men."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.18,Mark 1:18,17,At once they left their nets and followed him.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.19,Mark 1:19,18,"When he had gone a little farther, he saw James son of Zebedee and his brother John in a boat, preparing their nets."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.20,Mark 1:20,19,"Without delay he called them, and they left their father Zebedee in the boat with the hired men and followed him."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.21,Mark 1:21,20,"They went to Capernaum, and when the Sabbath came, Jesus went into the synagogue and began to teach."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.22,Mark 1:22,21,"The people were amazed at his teaching, because he taught them as one who had authority, not as the teachers of the law."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.23,Mark 1:23,22,"Just then a man in their synagogue who was possessed by an evil spirit cried out,"
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.24,Mark 1:24,23,"""What do you want with us, Jesus of Nazareth? Have you come to destroy us? I know who you are--the Holy One of God!"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.25,Mark 1:25,24,"""Be quiet!"" said Jesus sternly. ""Come out of him!"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.26,Mark 1:26,25,The evil spirit shook the man violently and came out of him with a shriek.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.27,Mark 1:27,26,"The people were all so amazed that they asked each other, ""What is this? A new teaching--and with authority! He even gives orders to evil spirits and they obey him."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.28,Mark 1:28,27,News about him spread quickly over the whole region of Galilee.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.29,Mark 1:29,28,"As soon as they left the synagogue, they went with James and John to the home of Simon and Andrew."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.30,Mark 1:30,29,"Simon's mother-in-law was in bed with a fever, and they told Jesus about her."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.31,Mark 1:31,30,"So he went to her, took her hand and helped her up. The fever left her and she began to wait on them."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.32,Mark 1:32,31,That evening after sunset the people brought to Jesus all the sick and demon-possessed.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.33,Mark 1:33,32,"The whole town gathered at the door,"
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.34,Mark 1:34,33,"and Jesus healed many who had various diseases. He also drove out many demons, but he would not let the demons speak because they knew who he was."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.35,Mark 1:35,34,"Very early in the morning, while it was still dark, Jesus got up, left the house and went off to a solitary place, where he prayed."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.36,Mark 1:36,35,"Simon and his companions went to look for him,"
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.37,Mark 1:37,36,"and when they found him, they exclaimed: ""Everyone is looking for you!"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.38,Mark 1:38,37,"Jesus replied, ""Let us go somewhere else--to the nearby villages--so I can preach there also. That is why I have come."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.39,Mark 1:39,38,"So he traveled throughout Galilee, preaching in their synagogues and driving out demons."
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.40,Mark 1:40,39,"A man with leprosy came to him and begged him on his knees, ""If you are willing, you can make me clean."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.41,Mark 1:41,40,"Filled with compassion, Jesus reached out his hand and touched the man. ""I am willing,"" he said. ""Be clean!"""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.42,Mark 1:42,41,Immediately the leprosy left him and he was cured.
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.43,Mark 1:43,42,Jesus sent him away at once with a strong warning:
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.44,Mark 1:44,43,"""See that you don't tell this to anyone. But go, show yourself to the priest and offer the sacrifices that Moses commanded for your cleansing, as a testimony to them."""
en,NIV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.45,Mark 1:45,44,"Instead he went out and began to talk freely, spreading the news. As a result, Jesus could no longer enter a town openly but stayed outside in lonely places. Yet the people still came to him from everywhere."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.1,Mark 2:1,0,"A few days later, when Jesus again entered Capernaum, the people heard that he had come home."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.2,Mark 2:2,1,"So many gathered that there was no room left, not even outside the door, and he preached the word to them."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.3,Mark 2:3,2,"Some men came, bringing to him a paralytic, carried by four of them."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.4,Mark 2:4,3,"Since they could not get him to Jesus because of the crowd, they made an opening in the roof above Jesus and, after digging through it, lowered the mat the paralyzed man was lying on."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.5,Mark 2:5,4,"When Jesus saw their faith, he said to the paralytic, ""Son, your sins are forgiven."""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.6,Mark 2:6,5,"Now some teachers of the law were sitting there, thinking to themselves,"
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.7,Mark 2:7,6,"""Why does this fellow talk like that? He's blaspheming! Who can forgive sins but God alone?"""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.8,Mark 2:8,7,"Immediately Jesus knew in his spirit that this was what they were thinking in their hearts, and he said to them, ""Why are you thinking these things?"
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.9,Mark 2:9,8,"Which is easier: to say to the paralytic, 'Your sins are forgiven,' or to say, 'Get up, take your mat and walk'?"
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.10,Mark 2:10,9,"But that you may know that the Son of Man has authority on earth to forgive sins...."" He said to the paralytic,"
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.11,Mark 2:11,10,"""I tell you, get up, take your mat and go home."""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.12,Mark 2:12,11,"He got up, took his mat and walked out in full view of them all. This amazed everyone and they praised God, saying, ""We have never seen anything like this!"""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.13,Mark 2:13,12,"Once again Jesus went out beside the lake. A large crowd came to him, and he began to teach them."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.14,Mark 2:14,13,"As he walked along, he saw Levi son of Alphaeus sitting at the tax collector's booth. ""Follow me,"" Jesus told him, and Levi got up and followed him."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.15,Mark 2:15,14,"While Jesus was having dinner at Levi's house, many tax collectors and ""sinners"" were eating with him and his disciples, for there were many who followed him."
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.16,Mark 2:16,15,"When the teachers of the law who were Pharisees saw him eating with the ""sinners"" and tax collectors, they asked his disciples: ""Why does he eat with tax collectors and 'sinners'?"""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.17,Mark 2:17,16,"On hearing this, Jesus said to them, ""It is not the healthy who need a doctor, but the sick. I have not come to call the righteous, but sinners."""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.18,Mark 2:18,17,"Now John's disciples and the Pharisees were fasting. Some people came and asked Jesus, ""How is it that John's disciples and the disciples of the Pharisees are fasting, but yours are not?"""
en,NIV,Mark,Mark,40,Mark.2,Mark 2,1,Mark.2.19,Mark 2:19,18,"Jesus answered, ""How can the guests of the bridegroom fast while he is with them? They cannot, so long as they have him with them."
