languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.1,Acts 1:1,0,"In my former book, Theophilus, I wrote about all that Jesus began to do and to teach"
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.2,Acts 1:2,1,"until the day he was taken up to heaven, after giving instructions through the Holy Spirit to the apostles he had chosen."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.3,Acts 1:3,2,"After his suffering, he showed himself to these men and gave many convincing proofs that he was alive. He appeared to them over a period of forty days and spoke about the kingdom of God."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.4,Acts 1:4,3,"On one occasion, while he was eating with them, he gave them this command: ""Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.5,Acts 1:5,4,"For John baptized with water, but in a few days you will be baptized with the Holy Spirit."""
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.6,Acts 1:6,5,"So when they met together, they asked him, ""Lord, are you at this time going to restore the kingdom to Israel?"""
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.7,Acts 1:7,6,"He said to them: ""It is not for you to know the times or dates the Father has set by his own authority."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.8,Acts 1:8,7,"But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth."""
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.9,Acts 1:9,8,"After he said this, he was taken up before their very eyes, and a cloud hid him from their sight."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.10,Acts 1:10,9,"They were looking intently up into the sky as he was going, when suddenly two men dressed in white stood beside them."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.11,Acts 1:11,10,"""Men of Galilee,"" they said, ""why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven."""
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.12,Acts 1:12,11,"Then they returned to Jerusalem from the hill called the Mount of Olives, a Sabbath day's walk from the city."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.13,Acts 1:13,12,"When they arrived, they went upstairs to the room where they were staying. Those present were Peter, John, James and Andrew; Philip and Thomas, Bartholomew and Matthew; James son of Alphaeus and Simon the Zealot, and Judas son of James."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.14,Acts 1:14,13,"They all joined together constantly in prayer, along with the women and Mary the mother of Jesus, and with his brothers."
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.15,Acts 1:15,14,In those days Peter stood up among the believers (a group numbering about a hundred and twenty)
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.16,Acts 1:16,15,"and said, ""Brothers, the Scripture had to be fulfilled which the Holy Spirit spoke long ago through the mouth of David concerning Judas, who served as guide for those who arrested Jesus--"
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.17,Acts 1:17,16,"he was one of our number and shared in this ministry."""
en,NIV,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.18,Acts 1:18,17,"(With the reward he got for his wickedness, Judas bought a field; there he fell headlong, his body burst open and all his intestines spilled out."
