languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.1,1Cor 1:1,0,"Paul, called to be an apostle of Christ Jesus by the will of God, and our brother Sosthenes,"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.2,1Cor 1:2,1,"To the church of God in Corinth, to those sanctified in Christ Jesus and called to be holy, together with all those everywhere who call on the name of our Lord Jesus Christ--their Lord and ours:"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.3,1Cor 1:3,2,Grace and peace to you from God our Father and the Lord Jesus Christ.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.4,1Cor 1:4,3,I always thank God for you because of his grace given you in Christ Jesus.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.5,1Cor 1:5,4,For in him you have been enriched in every way--in all your speaking and in all your knowledge--
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.6,1Cor 1:6,5,because our testimony about Christ was confirmed in you.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.7,1Cor 1:7,6,Therefore you do not lack any spiritual gift as you eagerly wait for our Lord Jesus Christ to be revealed.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.8,1Cor 1:8,7,"He will keep you strong to the end, so that you will be blameless on the day of our Lord Jesus Christ."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.9,1Cor 1:9,8,"God, who has called you into fellowship with his Son Jesus Christ our Lord, is faithful."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.10,1Cor 1:10,9,"I appeal to you, brothers, in the name of our Lord Jesus Christ, that all of you agree with one another so that there may be no divisions among you and that you may be perfectly united in mind and thought."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.11,1Cor 1:11,10,"My brothers, some from Chloe's household have informed me that there are quarrels among you."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.12,1Cor 1:12,11,"What I mean is this: One of you says, ""I follow Paul""; another, ""I follow Apollos""; another, ""I follow Cephas ""; still another, ""I follow Christ."""
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.13,1Cor 1:13,12,Is Christ divided? Was Paul crucified for you? Were you baptized into the name of Paul?
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.14,1Cor 1:14,13,"I am thankful that I did not baptize any of you except Crispus and Gaius,"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.15,1Cor 1:15,14,so no one can say that you were baptized into my name.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.16,1Cor 1:16,15,"(Yes, I also baptized the household of Stephanas; beyond that, I don't remember if I baptized anyone else.)"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.17,1Cor 1:17,16,"For Christ did not send me to baptize, but to preach the gospel--not with words of human wisdom, lest the cross of Christ be emptied of its power."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.18,1Cor 1:18,17,"For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.19,1Cor 1:19,18,"For it is written: ""I will destroy the wisdom of the wise; the intelligence of the intelligent I will frustrate."""
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.20,1Cor 1:20,19,Where is the wise man? Where is the scholar? Where is the philosopher of this age? Has not God made foolish the wisdom of the world?
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.21,1Cor 1:21,20,"For since in the wisdom of God the world through its wisdom did not know him, God was pleased through the foolishness of what was preached to save those who believe."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.22,1Cor 1:22,21,"Jews demand miraculous signs and Greeks look for wisdom,"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.23,1Cor 1:23,22,"but we preach Christ crucified: a stumbling block to Jews and foolishness to Gentiles,"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.24,1Cor 1:24,23,"but to those whom God has called, both Jews and Greeks, Christ the power of God and the wisdom of God."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.25,1Cor 1:25,24,"For the foolishness of God is wiser than man's wisdom, and the weakness of God is stronger than man's strength."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.26,1Cor 1:26,25,"Brothers, think of what you were when you were called. Not many of you were wise by human standards; not many were influential; not many were of noble birth."
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.27,1Cor 1:27,26,But God chose the foolish things of the world to shame the wise; God chose the weak things of the world to shame the strong.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.28,1Cor 1:28,27,"He chose the lowly things of this world and the despised things--and the things that are not--to nullify the things that are,"
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.29,1Cor 1:29,28,so that no one may boast before him.
en,NIV,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.30,1Cor 1:30,29,"It is because of him that you are in Christ Jesus, who has become for us wisdom from God--that is, our righteousness, holiness and redemption."
