languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.1,Gal 1:1,0,"Paul, an apostle--sent not from men nor by man, but by Jesus Christ and God the Father, who raised him from the dead--"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.2,Gal 1:2,1,"and all the brothers with me, To the churches in Galatia:"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.3,Gal 1:3,2,"Grace and peace to you from God our Father and the Lord Jesus Christ,"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.4,Gal 1:4,3,"who gave himself for our sins to rescue us from the present evil age, according to the will of our God and Father,"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.5,Gal 1:5,4,to whom be glory for ever and ever. Amen.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.6,Gal 1:6,5,I am astonished that you are so quickly deserting the one who called you by the grace of Christ and are turning to a different gospel--
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.7,Gal 1:7,6,which is really no gospel at all. Evidently some people are throwing you into confusion and are trying to pervert the gospel of Christ.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.8,Gal 1:8,7,"But even if we or an angel from heaven should preach a gospel other than the one we preached to you, let him be eternally condemned!"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.9,Gal 1:9,8,"As we have already said, so now I say again: If anybody is preaching to you a gospel other than what you accepted, let him be eternally condemned!"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.10,Gal 1:10,9,"Am I now trying to win the approval of men, or of God? Or am I trying to please men? If I were still trying to please men, I would not be a servant of Christ."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.11,Gal 1:11,10,"I want you to know, brothers, that the gospel I preached is not something that man made up."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.12,Gal 1:12,11,"I did not receive it from any man, nor was I taught it; rather, I received it by revelation from Jesus Christ."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.13,Gal 1:13,12,"For you have heard of my previous way of life in Judaism, how intensely I persecuted the church of God and tried to destroy it."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.14,Gal 1:14,13,I was advancing in Judaism beyond many Jews of my own age and was extremely zealous for the traditions of my fathers.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.15,Gal 1:15,14,"But when God, who set me apart from birth and called me by his grace, was pleased"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.16,Gal 1:16,15,"to reveal his Son in me so that I might preach him among the Gentiles, I did not consult any man,"
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.17,Gal 1:17,16,"nor did I go up to Jerusalem to see those who were apostles before I was, but I went immediately into Arabia and later returned to Damascus."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.18,Gal 1:18,17,"Then after three years, I went up to Jerusalem to get acquainted with Peter and stayed with him fifteen days."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.19,Gal 1:19,18,"I saw none of the other apostles--only James, the Lord's brother."
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.20,Gal 1:20,19,I assure you before God that what I am writing you is no lie.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.21,Gal 1:21,20,Later I went to Syria and Cilicia.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.22,Gal 1:22,21,I was personally unknown to the churches of Judea that are in Christ.
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.23,Gal 1:23,22,"They only heard the report: ""The man who formerly persecuted us is now preaching the faith he once tried to destroy."""
en,NIV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.24,Gal 1:24,23,And they praised God because of me.
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.1,Gal 2:1,0,"Fourteen years later I went up again to Jerusalem, this time with Barnabas. I took Titus along also."
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.2,Gal 2:2,1,"I went in response to a revelation and set before them the gospel that I preach among the Gentiles. But I did this privately to those who seemed to be leaders, for fear that I was running or had run my race in vain."
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.3,Gal 2:3,2,"Yet not even Titus, who was with me, was compelled to be circumcised, even though he was a Greek."
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.4,Gal 2:4,3,This matter arose because some false brothers had infiltrated our ranks to spy on the freedom we have in Christ Jesus and to make us slaves.
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.5,Gal 2:5,4,"We did not give in to them for a moment, so that the truth of the gospel might remain with you."
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.6,Gal 2:6,5,As for those who seemed to be important--whatever they were makes no difference to me; God does not judge by external appearance--those men added nothing to my message.
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.7,Gal 2:7,6,"On the contrary, they saw that I had been entrusted with the task of preaching the gospel to the Gentiles, just as Peter had been to the Jews."
en,NIV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.8,Gal 2:8,7,"For God, who was at work in the ministry of Peter as an apostle to the Jews, was also at work in my ministry as an apostle to the Gentiles."
