languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Paul, an apostle of Christ Jesus by the will of God, To the saints in Ephesus, the faithful in Christ Jesus:"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,Grace and peace to you from God our Father and the Lord Jesus Christ.
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Praise be to the God and Father of our Lord Jesus Christ, who has blessed us in the heavenly realms with every spiritual blessing in Christ."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,For he chose us in him before the creation of the world to be holy and blameless in his sight. In love
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"he predestined us to be adopted as his sons through Jesus Christ, in accordance with his pleasure and will--"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"to the praise of his glorious grace, which he has freely given us in the One he loves."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"In him we have redemption through his blood, the forgiveness of sins, in accordance with the riches of God's grace"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,that he lavished on us with all wisdom and understanding.
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"And he made known to us the mystery of his will according to his good pleasure, which he purposed in Christ,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"to be put into effect when the times will have reached their fulfillment--to bring all things in heaven and on earth together under one head, even Christ."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"In him we were also chosen, having been predestined according to the plan of him who works out everything in conformity with the purpose of his will,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,"in order that we, who were the first to hope in Christ, might be for the praise of his glory."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,"And you also were included in Christ when you heard the word of truth, the gospel of your salvation. Having believed, you were marked in him with a seal, the promised Holy Spirit,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,who is a deposit guaranteeing our inheritance until the redemption of those who are God's possession--to the praise of his glory.
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,"For this reason, ever since I heard about your faith in the Lord Jesus and your love for all the saints,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,"I have not stopped giving thanks for you, remembering you in my prayers."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,"I keep asking that the God of our Lord Jesus Christ, the glorious Father, may give you the Spirit of wisdom and revelation, so that you may know him better."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.18,Eph 1:18,17,"I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in the saints,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.19,Eph 1:19,18,"and his incomparably great power for us who believe. That power is like the working of his mighty strength,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.20,Eph 1:20,19,"which he exerted in Christ when he raised him from the dead and seated him at his right hand in the heavenly realms,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.21,Eph 1:21,20,"far above all rule and authority, power and dominion, and every title that can be given, not only in the present age but also in the one to come."
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.22,Eph 1:22,21,"And God placed all things under his feet and appointed him to be head over everything for the church,"
en,NIV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.23,Eph 1:23,22,"which is his body, the fullness of him who fills everything in every way."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.1,Eph 2:1,0,"As for you, you were dead in your transgressions and sins,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.2,Eph 2:2,1,"in which you used to live when you followed the ways of this world and of the ruler of the kingdom of the air, the spirit who is now at work in those who are disobedient."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.3,Eph 2:3,2,"All of us also lived among them at one time, gratifying the cravings of our sinful nature and following its desires and thoughts. Like the rest, we were by nature objects of wrath."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.4,Eph 2:4,3,"But because of his great love for us, God, who is rich in mercy,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.5,Eph 2:5,4,made us alive with Christ even when we were dead in transgressions--it is by grace you have been saved.
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.6,Eph 2:6,5,"And God raised us up with Christ and seated us with him in the heavenly realms in Christ Jesus,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.7,Eph 2:7,6,"in order that in the coming ages he might show the incomparable riches of his grace, expressed in his kindness to us in Christ Jesus."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.8,Eph 2:8,7,"For it is by grace you have been saved, through faith--and this not from yourselves, it is the gift of God--"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.9,Eph 2:9,8,"not by works, so that no one can boast."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.10,Eph 2:10,9,"For we are God's workmanship, created in Christ Jesus to do good works, which God prepared in advance for us to do."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.11,Eph 2:11,10,"Therefore, remember that formerly you who are Gentiles by birth and called ""uncircumcised"" by those who call themselves ""the circumcision"" (that done in the body by the hands of men)--"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.12,Eph 2:12,11,"remember that at that time you were separate from Christ, excluded from citizenship in Israel and foreigners to the covenants of the promise, without hope and without God in the world."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.13,Eph 2:13,12,But now in Christ Jesus you who once were far away have been brought near through the blood of Christ.
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.14,Eph 2:14,13,"For he himself is our peace, who has made the two one and has destroyed the barrier, the dividing wall of hostility,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.15,Eph 2:15,14,"by abolishing in his flesh the law with its commandments and regulations. His purpose was to create in himself one new man out of the two, thus making peace,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.16,Eph 2:16,15,"and in this one body to reconcile both of them to God through the cross, by which he put to death their hostility."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.17,Eph 2:17,16,He came and preached peace to you who were far away and peace to those who were near.
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.18,Eph 2:18,17,For through him we both have access to the Father by one Spirit.
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.19,Eph 2:19,18,"Consequently, you are no longer foreigners and aliens, but fellow citizens with God's people and members of God's household,"
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.20,Eph 2:20,19,"built on the foundation of the apostles and prophets, with Christ Jesus himself as the chief cornerstone."
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.21,Eph 2:21,20,In him the whole building is joined together and rises to become a holy temple in the Lord.
en,NIV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.22,Eph 2:22,21,And in him you too are being built together to become a dwelling in which God lives by his Spirit.
