languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.1,Col 1:1,0,"Paul, an apostle of Christ Jesus by the will of God, and Timothy our brother,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.2,Col 1:2,1,To the holy and faithful brothers in Christ at Colosse: Grace and peace to you from God our Father.
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.3,Col 1:3,2,"We always thank God, the Father of our Lord Jesus Christ, when we pray for you,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.4,Col 1:4,3,because we have heard of your faith in Christ Jesus and of the love you have for all the saints--
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.5,Col 1:5,4,"the faith and love that spring from the hope that is stored up for you in heaven and that you have already heard about in the word of truth, the gospel"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.6,Col 1:6,5,"that has come to you. All over the world this gospel is bearing fruit and growing, just as it has been doing among you since the day you heard it and understood God's grace in all its truth."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.7,Col 1:7,6,"You learned it from Epaphras, our dear fellow servant, who is a faithful minister of Christ on our behalf,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.8,Col 1:8,7,and who also told us of your love in the Spirit.
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.9,Col 1:9,8,"For this reason, since the day we heard about you, we have not stopped praying for you and asking God to fill you with the knowledge of his will through all spiritual wisdom and understanding."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.10,Col 1:10,9,"And we pray this in order that you may live a life worthy of the Lord and may please him in every way: bearing fruit in every good work, growing in the knowledge of God,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.11,Col 1:11,10,"being strengthened with all power according to his glorious might so that you may have great endurance and patience, and joyfully"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.12,Col 1:12,11,"giving thanks to the Father, who has qualified you to share in the inheritance of the saints in the kingdom of light."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.13,Col 1:13,12,"For he has rescued us from the dominion of darkness and brought us into the kingdom of the Son he loves,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.14,Col 1:14,13,"in whom we have redemption, the forgiveness of sins."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.15,Col 1:15,14,"He is the image of the invisible God, the firstborn over all creation."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.16,Col 1:16,15,"For by him all things were created: things in heaven and on earth, visible and invisible, whether thrones or powers or rulers or authorities; all things were created by him and for him."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.17,Col 1:17,16,"He is before all things, and in him all things hold together."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.18,Col 1:18,17,"And he is the head of the body, the church; he is the beginning and the firstborn from among the dead, so that in everything he might have the supremacy."
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.19,Col 1:19,18,"For God was pleased to have all his fullness dwell in him,"
en,NIV,Col,Col,50,Col.1,Col 1,0,Col.1.20,Col 1:20,19,"and through him to reconcile to himself all things, whether things on earth or things in heaven, by making peace through his blood, shed on the cross."
