languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.1,1Thess 1:1,0,"Paul, Silas and Timothy, To the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace and peace to you."
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.2,1Thess 1:2,1,"We always thank God for all of you, mentioning you in our prayers."
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.3,1Thess 1:3,2,"We continually remember before our God and Father your work produced by faith, your labor prompted by love, and your endurance inspired by hope in our Lord Jesus Christ."
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.4,1Thess 1:4,3,"For we know, brothers loved by God, that he has chosen you,"
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.5,1Thess 1:5,4,"because our gospel came to you not simply with words, but also with power, with the Holy Spirit and with deep conviction. You know how we lived among you for your sake."
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.6,1Thess 1:6,5,"You became imitators of us and of the Lord; in spite of severe suffering, you welcomed the message with the joy given by the Holy Spirit."
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.7,1Thess 1:7,6,And so you became a model to all the believers in Macedonia and Achaia.
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.8,1Thess 1:8,7,"The Lord's message rang out from you not only in Macedonia and Achaia--your faith in God has become known everywhere. Therefore we do not need to say anything about it,"
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.9,1Thess 1:9,8,"for they themselves report what kind of reception you gave us. They tell how you turned to God from idols to serve the living and true God,"
en,NIV,1Thess,1Thess,51,1Thess.1,1Thess 1,0,1Thess.1.10,1Thess 1:10,9,"and to wait for his Son from heaven, whom he raised from the dead--Jesus, who rescues us from the coming wrath."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.1,1Thess 2:1,0,"You know, brothers, that our visit to you was not a failure."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.2,1Thess 2:2,1,"We had previously suffered and been insulted in Philippi, as you know, but with the help of our God we dared to tell you his gospel in spite of strong opposition."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.3,1Thess 2:3,2,"For the appeal we make does not spring from error or impure motives, nor are we trying to trick you."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.4,1Thess 2:4,3,"On the contrary, we speak as men approved by God to be entrusted with the gospel. We are not trying to please men but God, who tests our hearts."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.5,1Thess 2:5,4,"You know we never used flattery, nor did we put on a mask to cover up greed--God is our witness."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.6,1Thess 2:6,5,"We were not looking for praise from men, not from you or anyone else."
en,NIV,1Thess,1Thess,51,1Thess.2,1Thess 2,1,1Thess.2.7,1Thess 2:7,6,"As apostles of Christ we could have been a burden to you, but we were gentle among you, like a mother caring for her little children."
