languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.1,1Tim 1:1,0,"Paul, an apostle of Christ Jesus by the command of God our Savior and of Christ Jesus our hope,"
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.2,1Tim 1:2,1,"To Timothy my true son in the faith: Grace, mercy and peace from God the Father and Christ Jesus our Lord."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.3,1Tim 1:3,2,"As I urged you when I went into Macedonia, stay there in Ephesus so that you may command certain men not to teach false doctrines any longer"
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.4,1Tim 1:4,3,nor to devote themselves to myths and endless genealogies. These promote controversies rather than God's work--which is by faith.
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.5,1Tim 1:5,4,"The goal of this command is love, which comes from a pure heart and a good conscience and a sincere faith."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.6,1Tim 1:6,5,Some have wandered away from these and turned to meaningless talk.
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.7,1Tim 1:7,6,"They want to be teachers of the law, but they do not know what they are talking about or what they so confidently affirm."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.8,1Tim 1:8,7,We know that the law is good if one uses it properly.
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.9,1Tim 1:9,8,"We also know that law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious; for those who kill their fathers or mothers, for murderers,"
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.10,1Tim 1:10,9,"for adulterers and perverts, for slave traders and liars and perjurers--and for whatever else is contrary to the sound doctrine"
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.11,1Tim 1:11,10,"that conforms to the glorious gospel of the blessed God, which he entrusted to me."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.12,1Tim 1:12,11,"I thank Christ Jesus our Lord, who has given me strength, that he considered me faithful, appointing me to his service."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.13,1Tim 1:13,12,"Even though I was once a blasphemer and a persecutor and a violent man, I was shown mercy because I acted in ignorance and unbelief."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.14,1Tim 1:14,13,"The grace of our Lord was poured out on me abundantly, along with the faith and love that are in Christ Jesus."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.15,1Tim 1:15,14,Here is a trustworthy saying that deserves full acceptance: Christ Jesus came into the world to save sinners--of whom I am the worst.
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.16,1Tim 1:16,15,"But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his unlimited patience as an example for those who would believe on him and receive eternal life."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.17,1Tim 1:17,16,"Now to the King eternal, immortal, invisible, the only God, be honor and glory for ever and ever. Amen."
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.18,1Tim 1:18,17,"Timothy, my son, I give you this instruction in keeping with the prophecies once made about you, so that by following them you may fight the good fight,"
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.19,1Tim 1:19,18,holding on to faith and a good conscience. Some have rejected these and so have shipwrecked their faith.
en,NIV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.20,1Tim 1:20,19,"Among them are Hymenaeus and Alexander, whom I have handed over to Satan to be taught not to blaspheme."
en,NIV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.1,1Tim 2:1,0,"I urge, then, first of all, that requests, prayers, intercession and thanksgiving be made for everyone--"
en,NIV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.2,1Tim 2:2,1,"for kings and all those in authority, that we may live peaceful and quiet lives in all godliness and holiness."
