languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.1,Heb 1:1,0,"In the past God spoke to our forefathers through the prophets at many times and in various ways,"
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.2,Heb 1:2,1,"but in these last days he has spoken to us by his Son, whom he appointed heir of all things, and through whom he made the universe."
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.3,Heb 1:3,2,"The Son is the radiance of God's glory and the exact representation of his being, sustaining all things by his powerful word. After he had provided purification for sins, he sat down at the right hand of the Majesty in heaven."
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.4,Heb 1:4,3,So he became as much superior to the angels as the name he has inherited is superior to theirs.
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.5,Heb 1:5,4,"For to which of the angels did God ever say, ""You are my Son; today I have become your Father ""? Or again, ""I will be his Father, and he will be my Son""?"
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.6,Heb 1:6,5,"And again, when God brings his firstborn into the world, he says, ""Let all God's angels worship him."""
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.7,Heb 1:7,6,"In speaking of the angels he says, ""He makes his angels winds, his servants flames of fire."""
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.8,Heb 1:8,7,"But about the Son he says, ""Your throne, O God, will last for ever and ever, and righteousness will be the scepter of your kingdom."
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.9,Heb 1:9,8,"You have loved righteousness and hated wickedness; therefore God, your God, has set you above your companions by anointing you with the oil of joy."""
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.10,Heb 1:10,9,"He also says, ""In the beginning, O Lord, you laid the foundations of the earth, and the heavens are the work of your hands."
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.11,Heb 1:11,10,"They will perish, but you remain; they will all wear out like a garment."
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.12,Heb 1:12,11,"You will roll them up like a robe; like a garment they will be changed. But you remain the same, and your years will never end."""
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.13,Heb 1:13,12,"To which of the angels did God ever say, ""Sit at my right hand until I make your enemies a footstool for your feet""?"
en,NIV,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.14,Heb 1:14,13,Are not all angels ministering spirits sent to serve those who will inherit salvation?
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.1,Heb 2:1,0,"We must pay more careful attention, therefore, to what we have heard, so that we do not drift away."
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.2,Heb 2:2,1,"For if the message spoken by angels was binding, and every violation and disobedience received its just punishment,"
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.3,Heb 2:3,2,"how shall we escape if we ignore such a great salvation? This salvation, which was first announced by the Lord, was confirmed to us by those who heard him."
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.4,Heb 2:4,3,"God also testified to it by signs, wonders and various miracles, and gifts of the Holy Spirit distributed according to his will."
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.5,Heb 2:5,4,"It is not to angels that he has subjected the world to come, about which we are speaking."
en,NIV,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.6,Heb 2:6,5,"But there is a place where someone has testified: ""What is man that you are mindful of him, the son of man that you care for him?"
