languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.1,2Pet 1:1,0,"Simon Peter, a servant and apostle of Jesus Christ, To those who through the righteousness of our God and Savior Jesus Christ have received a faith as precious as ours:"
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.2,2Pet 1:2,1,Grace and peace be yours in abundance through the knowledge of God and of Jesus our Lord.
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.3,2Pet 1:3,2,His divine power has given us everything we need for life and godliness through our knowledge of him who called us by his own glory and goodness.
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.4,2Pet 1:4,3,"Through these he has given us his very great and precious promises, so that through them you may participate in the divine nature and escape the corruption in the world caused by evil desires."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.5,2Pet 1:5,4,"For this very reason, make every effort to add to your faith goodness; and to goodness, knowledge;"
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.6,2Pet 1:6,5,"and to knowledge, self-control; and to self-control, perseverance; and to perseverance, godliness;"
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.7,2Pet 1:7,6,"and to godliness, brotherly kindness; and to brotherly kindness, love."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.8,2Pet 1:8,7,"For if you possess these qualities in increasing measure, they will keep you from being ineffective and unproductive in your knowledge of our Lord Jesus Christ."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.9,2Pet 1:9,8,"But if anyone does not have them, he is nearsighted and blind, and has forgotten that he has been cleansed from his past sins."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.10,2Pet 1:10,9,"Therefore, my brothers, be all the more eager to make your calling and election sure. For if you do these things, you will never fall,"
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.11,2Pet 1:11,10,and you will receive a rich welcome into the eternal kingdom of our Lord and Savior Jesus Christ.
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.12,2Pet 1:12,11,"So I will always remind you of these things, even though you know them and are firmly established in the truth you now have."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.13,2Pet 1:13,12,"I think it is right to refresh your memory as long as I live in the tent of this body,"
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.14,2Pet 1:14,13,"because I know that I will soon put it aside, as our Lord Jesus Christ has made clear to me."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.15,2Pet 1:15,14,And I will make every effort to see that after my departure you will always be able to remember these things.
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.16,2Pet 1:16,15,"We did not follow cleverly invented stories when we told you about the power and coming of our Lord Jesus Christ, but we were eyewitnesses of his majesty."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.17,2Pet 1:17,16,"For he received honor and glory from God the Father when the voice came to him from the Majestic Glory, saying, ""This is my Son, whom I love; with him I am well pleased."""
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.18,2Pet 1:18,17,We ourselves heard this voice that came from heaven when we were with him on the sacred mountain.
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.19,2Pet 1:19,18,"And we have the word of the prophets made more certain, and you will do well to pay attention to it, as to a light shining in a dark place, until the day dawns and the morning star rises in your hearts."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.20,2Pet 1:20,19,"Above all, you must understand that no prophecy of Scripture came about by the prophet's own interpretation."
en,NIV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.21,2Pet 1:21,20,"For prophecy never had its origin in the will of man, but men spoke from God as they were carried along by the Holy Spirit."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.1,2Pet 2:1,0,"But there were also false prophets among the people, just as there will be false teachers among you. They will secretly introduce destructive heresies, even denying the sovereign Lord who bought them--bringing swift destruction on themselves."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.2,2Pet 2:2,1,Many will follow their shameful ways and will bring the way of truth into disrepute.
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.3,2Pet 2:3,2,"In their greed these teachers will exploit you with stories they have made up. Their condemnation has long been hanging over them, and their destruction has not been sleeping."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.4,2Pet 2:4,3,"For if God did not spare angels when they sinned, but sent them to hell, putting them into gloomy dungeons to be held for judgment;"
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.5,2Pet 2:5,4,"if he did not spare the ancient world when he brought the flood on its ungodly people, but protected Noah, a preacher of righteousness, and seven others;"
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.6,2Pet 2:6,5,"if he condemned the cities of Sodom and Gomorrah by burning them to ashes, and made them an example of what is going to happen to the ungodly;"
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.7,2Pet 2:7,6,"and if he rescued Lot, a righteous man, who was distressed by the filthy lives of lawless men"
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.8,2Pet 2:8,7,"(for that righteous man, living among them day after day, was tormented in his righteous soul by the lawless deeds he saw and heard)--"
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.9,2Pet 2:9,8,"if this is so, then the Lord knows how to rescue godly men from trials and to hold the unrighteous for the day of judgment, while continuing their punishment."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.10,2Pet 2:10,9,This is especially true of those who follow the corrupt desire of the sinful nature and despise authority.
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.11,2Pet 2:11,10,"Bold and arrogant, these men are not afraid to slander celestial beings; yet even angels, although they are stronger and more powerful, do not bring slanderous accusations against such beings in the presence of the Lord."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.12,2Pet 2:12,11,"But these men blaspheme in matters they do not understand. They are like brute beasts, creatures of instinct, born only to be caught and destroyed, and like beasts they too will perish."
en,NIV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.13,2Pet 2:13,12,"They will be paid back with harm for the harm they have done. Their idea of pleasure is to carouse in broad daylight. They are blots and blemishes, reveling in their pleasures while they feast with you."
