languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.1,2John 1:1,0,"The elder,"
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.2,2John 1:2,1,"To the chosen lady and her children, whom I love in the truth--and not I only, but also all who know the truth--because of the truth, which lives in us and will be with us forever:"
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.3,2John 1:3,2,"Grace, mercy and peace from God the Father and from Jesus Christ, the Father's Son, will be with us in truth and love."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.4,2John 1:4,3,"It has given me great joy to find some of your children walking in the truth, just as the Father commanded us."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.5,2John 1:5,4,"And now, dear lady, I am not writing you a new command but one we have had from the beginning. I ask that we love one another."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.6,2John 1:6,5,"And this is love: that we walk in obedience to his commands. As you have heard from the beginning, his command is that you walk in love."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.7,2John 1:7,6,"Many deceivers, who do not acknowledge Jesus Christ as coming in the flesh, have gone out into the world. Any such person is the deceiver and the antichrist."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.8,2John 1:8,7,"Watch out that you do not lose what you have worked for, but that you may be rewarded fully."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.9,2John 1:9,8,Anyone who runs ahead and does not continue in the teaching of Christ does not have God; whoever continues in the teaching has both the Father and the Son.
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.10,2John 1:10,9,"If anyone comes to you and does not bring this teaching, do not take him into your house or welcome him."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.11,2John 1:11,10,Anyone who welcomes him shares in his wicked work.
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.12,2John 1:12,11,"I have much to write to you, but I do not want to use paper and ink. Instead, I hope to visit you and talk with you face to face, so that our joy may be complete."
en,NIV,2John,2John,62,2John.1,2John 1,0,2John.1.13,2John 1:13,12,The children of your chosen sister send their greetings.
