languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.1,Jude 1:1,0,"Jude, a servant of Jesus Christ and a brother of James, To those who have been called, who are loved by God the Father and kept by Jesus Christ:"
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.2,Jude 1:2,1,"Mercy, peace and love be yours in abundance."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.3,Jude 1:3,2,"Dear friends, although I was very eager to write to you about the salvation we share, I felt I had to write and urge you to contend for the faith that was once for all entrusted to the saints."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.4,Jude 1:4,3,"For certain men whose condemnation was written about long ago have secretly slipped in among you. They are godless men, who change the grace of our God into a license for immorality and deny Jesus Christ our only Sovereign and Lord."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.5,Jude 1:5,4,"Though you already know all this, I want to remind you that the Lord delivered his people out of Egypt, but later destroyed those who did not believe."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.6,Jude 1:6,5,"And the angels who did not keep their positions of authority but abandoned their own home--these he has kept in darkness, bound with everlasting chains for judgment on the great Day."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.7,Jude 1:7,6,"In a similar way, Sodom and Gomorrah and the surrounding towns gave themselves up to sexual immorality and perversion. They serve as an example of those who suffer the punishment of eternal fire."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.8,Jude 1:8,7,"In the very same way, these dreamers pollute their own bodies, reject authority and slander celestial beings."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.9,Jude 1:9,8,"But even the archangel Michael, when he was disputing with the devil about the body of Moses, did not dare to bring a slanderous accusation against him, but said, ""The Lord rebuke you!"""
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.10,Jude 1:10,9,"Yet these men speak abusively against whatever they do not understand; and what things they do understand by instinct, like unreasoning animals--these are the very things that destroy them."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.11,Jude 1:11,10,Woe to them! They have taken the way of Cain; they have rushed for profit into Balaam's error; they have been destroyed in Korah's rebellion.
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.12,Jude 1:12,11,"These men are blemishes at your love feasts, eating with you without the slightest qualm--shepherds who feed only themselves. They are clouds without rain, blown along by the wind; autumn trees, without fruit and uprooted--twice dead."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.13,Jude 1:13,12,"They are wild waves of the sea, foaming up their shame; wandering stars, for whom blackest darkness has been reserved forever."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.14,Jude 1:14,13,"Enoch, the seventh from Adam, prophesied about these men: ""See, the Lord is coming with thousands upon thousands of his holy ones"
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.15,Jude 1:15,14,"to judge everyone, and to convict all the ungodly of all the ungodly acts they have done in the ungodly way, and of all the harsh words ungodly sinners have spoken against him."""
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.16,Jude 1:16,15,These men are grumblers and faultfinders; they follow their own evil desires; they boast about themselves and flatter others for their own advantage.
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.17,Jude 1:17,16,"But, dear friends, remember what the apostles of our Lord Jesus Christ foretold."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.18,Jude 1:18,17,"They said to you, ""In the last times there will be scoffers who will follow their own ungodly desires."""
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.19,Jude 1:19,18,"These are the men who divide you, who follow mere natural instincts and do not have the Spirit."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.20,Jude 1:20,19,"But you, dear friends, build yourselves up in your most holy faith and pray in the Holy Spirit."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.21,Jude 1:21,20,Keep yourselves in God's love as you wait for the mercy of our Lord Jesus Christ to bring you to eternal life.
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.22,Jude 1:22,21,Be merciful to those who doubt;
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.23,Jude 1:23,22,"snatch others from the fire and save them; to others show mercy, mixed with fear--hating even the clothing stained by corrupted flesh."
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.24,Jude 1:24,23,To him who is able to keep you from falling and to present you before his glorious presence without fault and with great joy--
en,NIV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.25,Jude 1:25,24,"to the only God our Savior be glory, majesty, power and authority, through Jesus Christ our Lord, before all ages, now and forevermore! Amen."
