languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.1,Josh 1:1,0,"Et factum est, ut post mortem Moysi servi Domini loqueretur Dominus ad Iosue filium Nun ministrum Moysi et diceret ei:"
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.2,Josh 1:2,1,""" Moyses servus meus mortuus est; nunc igitur surge et transi Iordanem istum, tu et omnis populus iste, in terram, quam ego dabo filiis Israel."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.3,Josh 1:3,2,"Omnem locum, quem calcaverit vestigium pedis vestri, vobis tradidi, sicut locutus sum Moysi."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.4,Josh 1:4,3,"A deserto et Libano isto usque ad fluvium magnum Euphraten, omnis terra Hetthaeorum usque ad mare Magnum contra solis occasum erit terminus vester."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.5,Josh 1:5,4,"Nullus tibi poterit resistere cunctis diebus vitae tuae: sicut fui cum Moyse, ero et tecum; non dimittam nec derelinquam te."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.6,Josh 1:6,5,"Confortare et esto robustus; tu enim sorte divides populo huic terram, pro qua iuravi patribus suis, ut traderem eam illis."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.7,Josh 1:7,6,"Confortare tantum et esto robustus valde, ut custodias et facias iuxta omnem legem, quam praecepit tibi Moyses servus meus. Ne declines ab ea ad dexteram vel ad sinistram, ut prospereris in omnibus, ad quaecumque perrexeris."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.8,Josh 1:8,7,"Non recedat hoc volumen legis de ore tuo, sed meditaberis in eo diebus ac noctibus, ut custodias et facias iuxta omnia, quae scripta sunt in eo: tunc optime diriges viam tuam et tunc prosperaberis."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.9,Josh 1:9,8,"Nonne praecepi tibi: Confortare et esto robustus, noli metuere et noli timere, quoniam tecum est Dominus Deus tuus in omnibus, ad quaecumque perrexeris?""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.10,Josh 1:10,9,"Praecepitque Iosue praefectis populi dicens: "" Transite per medium castrorum et imperate populo ac dicite:"
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.11,Josh 1:11,10,"Praeparate vobis cibaria, quoniam post diem tertium transibitis Iordanem hunc et intrabitis ad possidendam terram, quam Dominus Deus vester daturus est vobis ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.12,Josh 1:12,11,Rubenitis quoque et Gaditis et dimidiae tribui Manasse ait:
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.13,Josh 1:13,12,""" Mementote sermonis, quem praecepit vobis Moyses famulus Domini dicens: ""Dominus Deus vester dedit vobis requiem et terram hanc""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.14,Josh 1:14,13,"Uxores vestrae et filii ac iumenta manebunt in terra, quam tradidit vobis Moyses trans Iordanem; vos autem transibitis armati ante fratres vestros, omnes viri fortes, et adiuvabitis eos,"
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.15,Josh 1:15,14,"donec det requiem Dominus fratribus vestris, sicut et vobis dedit, et possideant ipsi quoque terram, quam Dominus Deus vester daturus est eis. Et sic revertemini in terram possessionis vestrae et habitabitis in ea, quam vobis dedit Moyses famulus Domini trans Iordanem contra solis ortum."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.16,Josh 1:16,15,"Responderuntque ad Iosue atque dixerunt: "" Omnia, quae praecepisti nobis, faciemus et, quocumque miseris, ibimus."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.17,Josh 1:17,16,"Sicut oboedivimus in cunctis Moysi, ita oboediemus et tibi; tantum sit Dominus Deus tuus tecum, sicut fuit cum Moyse."
la,NOVA_VULGATA,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.18,Josh 1:18,17,"Quicumque contradixerit ori tuo et non oboedierit cunctis sermonibus, quos praeceperis ei, moriatur; tu tantum confortare et viriliter age ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.1,Josh 2:1,0,"Misit ergo Iosue filius Nun de Settim duos viros exploratores in abscondito et dixit eis; ""Ite et considerate terram urbemque Iericho "". Qui pergentes ingressi sunt domum mulieris meretricis nomine Rahab et quieverunt ibi."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.2,Josh 2:2,1,"Nuntiatumque est regi Iericho et dictum: "" Ecce viri ingressi sunt huc per noctem de filiis Israel, ut explorarent terram ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.3,Josh 2:3,2,"Misitque rex Iericho ad Rahab dicens: "" Educ viros, qui venerunt ad te et ingressi sunt domum tuam; exploratores quippe sunt et omnem terram considerare venerunt ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.4,Josh 2:4,3,"Tollensque mulier viros abscondit et ait: "" Fateor, venerunt ad me, sed nesciebam unde essent;"
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.5,Josh 2:5,4,"cumque porta clauderetur in tenebris, et illi pariter exierunt, nescio quo abierunt. Persequimini cito et comprehendetis eos ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.6,Josh 2:6,5,"Ipsa autem fecit ascendere viros in solarium domus suae operuitque eos lini stipula, quae ibi erat."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.7,Josh 2:7,6,"Hi autem, qui missi fuerant, secuti sunt eos per viam, quae ducit ad vadum Iordanis; illisque egressis, statim porta clausa est."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.8,Josh 2:8,7,"Necdum obdormierant qui latebant, et ecce mulier ascendit ad eos et ait:"
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.9,Josh 2:9,8,""" Novi quod tradiderit Dominus vobis terram, et irruit in nos terror vester, et elanguerunt omnes habitatores terrae coram vobis."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.10,Josh 2:10,9,"Audivimus enim quod siccaverit Dominus aquas maris Rubri ad vestrum introitum, quando egressi estis ex Aegypto, et quae feceritis duobus Amorraeorum regibus, qui erant trans Iordanem, Sehon et Og, quos interfecistis."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.11,Josh 2:11,10,"Et haec audientes pertimuimus, et elanguit cor nostrum, nec remansit in nobis spiritus ad introitum vestrum; Dominus enim Deus vester ipse est Deus in caelo sursum et in terra deorsum."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.12,Josh 2:12,11,"Nunc ergo iurate mihi per Dominum, ut, quomodo ego feci vobiscum misericordiam, ita et vos faciatis cum domo patris mei detisque mihi signum verum,"
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.13,Josh 2:13,12,"ut salvetis patrem meum et matrem, fratres ac sorores meas et omnia, quae eorum sunt, et eruatis animas nostras de morte ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.14,Josh 2:14,13,"Qui responderunt ei: "" Anima nostra sit pro vobis in mortem, si tamen non prodideris; cumque tradiderit nobis Dominus terram, faciemus in te misericordiam et veritatem ""."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.15,Josh 2:15,14,"Demisit ergo eos per funem de fenestra; domus enim eius haerebat muro, et in muro habitabat."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.16,Josh 2:16,15,"Dixitque ad eos: "" Ad montana pergite, ne forte occurrant vobis persecutores, ibique latete diebus tribus, donec redeant; et postea ibitis per viam vestram."
la,NOVA_VULGATA,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.17,Josh 2:17,16,"Qui dixerunt ad eam: "" Innoxii erimus a iuramento hoc, quo adiurasti nos,"
