languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.1,Judg 1:1,0,"Post mortem Iosue consulue runt filii Israel Dominum dicen tes: "" Quis nostrum primus ascendet ad Chananaeum ad pugnandum contra eum? ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.2,Judg 1:2,1,"Dixitque Dominus: "" Iudas ascendet: ecce tradidi terram in manus eius ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.3,Judg 1:3,2,"Et ait Iudas Simeoni fratri suo: "" Ascende mecum in sorte mea, et pugnemus contra Chananaeum, et ego pergam tecum in sorte tua "". Et abiit cum eo Simeon."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.4,Judg 1:4,3,"Ascenditque Iudas, et tradidit Dominus Chananaeum ac Pherezaeum in manus eorum, et percusserunt in Bezec decem milia virorum."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.5,Judg 1:5,4,Inveneruntque Adonibezec in Bezec et pugnaverunt contra eum ac percusserunt Chananaeum et Pherezaeum.
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.6,Judg 1:6,5,"Fugit autem Adonibezec, quem persecuti comprehenderunt, caesis pollicibus manuum eius ac pedum."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.7,Judg 1:7,6,"Dixitque Adonibezec: "" Septuaginta reges, amputatis manuum ac pedum pollicibus, colligebant sub mensa mea ciborum reliquias. Sicut feci, ita reddidit mihi Deus "". Adduxeruntque eum in Ierusalem, et ibi mortuus est."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.8,Judg 1:8,7,Oppugnantes ergo filii Iudae Ierusalem ceperunt eam; et percusserunt in ore gladii tradentes incendio civitatem.
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.9,Judg 1:9,8,"Et postea descendentes pugnaverunt contra Chananaeum, qui habitabat in montanis et in Nageb et in Sephela."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.10,Judg 1:10,9,"Pergensque Iuda contra Chananaeum, qui habitabat in Hebron, cui nomen fuit antiquitus Cariatharbe, percussit Sesai et Ahiman et Tholmai."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.11,Judg 1:11,10,"Atque inde profectus abiit ad habitatores Dabir, cuius nomen vetus erat Cariathsepher (id est civitas Litterarum)."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.12,Judg 1:12,11,"Dixitque Chaleb: "" Qui percusserit Cariathsepher et ceperit eam, dabo ei Axam filiam meam uxorem ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.13,Judg 1:13,12,"Cumque cepisset eam Othoniel filius Cenez frater Chaleb minor, dedit ei Axam filiam suam coniugem."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.14,Judg 1:14,13,"Quae cum veniret, incitavit eum, ut peteret a patre suo agrum. Demisit ergo se de asino, et dixit ei Chaleb: "" Quid habes? ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.15,Judg 1:15,14,"At illa respondit: "" Da mihi benedictionem; quia terram arentem dedisti mihi, da et irriguam aquis "". Dedit ergo ei Chaleb irriguum superius et irriguum inferius."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.16,Judg 1:16,15,"Filii autem Hobab Cinaei cognati Moysi ascenderunt de civitate Palmarum cum filiis Iudae in desertum Iudae, quod est ad meridiem Arad, et habitaverunt cum Amalecitis."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.17,Judg 1:17,16,"Abiit autem Iudas cum Simeone fratre suo et percusserunt simul Chananaeum, qui habitabat in Sephath, et percusserunt urbem anathemate. Vocatumque est nomen eius Horma (id est Anathema)."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.18,Judg 1:18,17,Cepitque Iudas Gazam cum finibus suis et Ascalonem atque Accaron cum terminis suis.
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.19,Judg 1:19,18,"Fuitque Dominus cum Iuda, et montana possedit; nec potuit expellere habitatores vallis, quia falcatis curribus abundabant."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.20,Judg 1:20,19,"Dederuntque Chaleb Hebron, sicut dixerat Moyses, qui expulit ex ea tres filios Enac."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.21,Judg 1:21,20,"Iebusaeum autem habitatorem Ierusalem non expulerunt filii Beniamin, habitavitque Iebusaeus cum filiis Beniamin in Ierusalem usque in praesentem diem."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.22,Judg 1:22,21,"Domus quoque Ioseph ascendit Bethel, fuitque Dominus cum eis."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.23,Judg 1:23,22,"Nam, cum explorarent urbem, quae prius Luza vocabatur,"
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.24,Judg 1:24,23,"viderunt custodes hominem egredientem de civitate dixeruntque ad eum: "" Ostende nobis introitum civitatis, et faciemus tecum misericordiam ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.25,Judg 1:25,24,"Qui cum ostendisset eis, percusserunt urbem in ore gladii; hominem autem illum et omnem cognationem eius dimiserunt."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.26,Judg 1:26,25,"Qui dimissus abiit in terram Hetthim et aedificavit ibi civitatem vocavitque eam Luzam, quae ita appellatur usque in praesentem diem."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.27,Judg 1:27,26,Manasses quoque non occupavit Bethsan et Thanach cum viculis suis nec expulit habitatores Dor et Ieblaam et Mageddo cum viculis suis; mansitque Chananaeus in terra hac.
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.28,Judg 1:28,27,"Postquam autem confortatus est Israel, fecit eos tributarios et expellere noluit."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.29,Judg 1:29,28,"Ephraim etiam non expulit Chananaeum, qui habitabat in Gazer, sed habitavit Chananaeus in medio eius in Gazer."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.30,Judg 1:30,29,"Zabulon non expulit habitatores Cetron et Naalol, sed habitavit Chananaeus in medio eius factusque est ei tributarius."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.31,Judg 1:31,30,"Aser quoque non expulit habitatores Achcho et Sidonis, Ahalab et Achazib et Helba et Aphec et Rohob;"
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.32,Judg 1:32,31,"habitavitque Aser in medio Chananaei habitatoris illius terrae, quia non expulit eum."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.33,Judg 1:33,32,"Nephthali non expulit habitatores Bethsames et Bethanath et habitavit inter Chananaeum habitatorem terrae, fueruntque ei Bethsamitae et Bethanitae tributarii."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.34,Judg 1:34,33,"Artavitque Amorraeus filios Dan in montem nec dedit eis locum, ut ad planiora descenderent."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.35,Judg 1:35,34,"Habitavitque Amorraeus in Hathares, in Aialon et Salebim; et aggravata est manus domus Ioseph, factusque est ei tributarius."
la,NOVA_VULGATA,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.36,Judg 1:36,35,Fuit autem terminus Amorraei ab ascensu Acrabbim ad Petram et superiora loca.
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.1,Judg 2:1,0,"Ascenditque angelus Domini de Galgalis in Bochim et ait: "" Eduxi vos de Aegypto et introduxi in terram, pro qua iuravi patribus vestris et pollicitus sum, ut non facerem irritum pactum meum vobiscum in sempiternum,"
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.2,Judg 2:2,1,"ita dumtaxat ut non feriretis foedus cum habitatoribus terrae huius, sed aras eorum subverteretis. Et noluistis audire vocem meam. Cur hoc fecistis?"
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.3,Judg 2:3,2,"Quam ob rem nolui expellere eos a facie vestra, ut sint vobis in laqueum, et dii eorum in ruinam ""."
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.4,Judg 2:4,3,"Cumque loqueretur angelus Domini verba haec ad omnes filios Israel, elevaverunt vocem suam et fleverunt."
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.5,Judg 2:5,4,Et vocatum est nomen loci illius Bochim (id est locus Flentium); immolaveruntque ibi hostias Domino.
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.6,Judg 2:6,5,"Dimisit ergo Iosue populum, et abierunt filii Israel unusquisque in possessionem suam, ut obtinerent terram."
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.7,Judg 2:7,6,"Servieruntque Domino cunctis diebus Iosue et seniorum, qui longo post eum vixerunt tempore et viderant universum opus magnum Domini, quod fecerat cum Israel."
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.8,Judg 2:8,7,Mortuus est autem Iosue filius Nun famulus Domini centum et decem annorum;
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.9,Judg 2:9,8,et sepelierunt eum in finibus possessionis suae in Thamnathsare in monte Ephraim a septentrionali plaga montis Gaas.
la,NOVA_VULGATA,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.10,Judg 2:10,9,"Omnisque illa generatio congregata est ad patres suos, et surrexerunt alii post illam, qui non noverant Dominum et opus, quod fecerat cum Israel."
