languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.1,Hos 1:1,0,"Verbum Domini, quod factum est ad Osee filium Beeri in die bus Oziae, Ioatham, Achaz, Ezechiae regum Iudae, et in diebus Ieroboam filii Ioas regis Israel."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.2,Hos 1:2,1,"Principium verbi Domini per Osee. Dixit Dominus ad Osee: Vade, sume tibi mulierem fornicationumet filios fornicationum,quia fornicans fornicatur terra a Domino ""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.3,Hos 1:3,2,"Et abiit et accepit Gomer filiam Debelaim, quae concepit et peperit ei filium."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.4,Hos 1:4,3,"Et dixit Dominus ad eum: "" Voca nomen eius 'Iezrahel', quoniam adhuc modicum et visitabo sanguinem Iezrahel super domum Iehu et cessare faciam regnum domus Israel;"
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.5,Hos 1:5,4,"et in illa die conteram arcum Israel in valle Iezrahel ""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.6,Hos 1:6,5,"Et concepit adhuc et peperit filiam; et dixit ei: "" Voca nomen eius Absque misericordia"", quia non addam ultra misereri domui Israel, ut ignoscam eis."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.7,Hos 1:7,6,"Et domui Iudae miserebor et salvabo eos in Domino Deo suo et non salvabo eos in arcu et gladio et in bello et in equis et in equitibus ""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.8,Hos 1:8,7,"Et ablactavit eam, quae erat 'Absque misericordia', et concepit et peperit filium."
la,NOVA_VULGATA,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.9,Hos 1:9,8,"Et dixit: "" Voca nomen eius 'Non populus meus', quia vos non populus meus, et ego 'Non sum' vobis."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.1,Hos 2:1,0,"Et erit numerus filiorum Israelquasi arena maris,quae sine mensura est et non numerabitur.Et erit: in loco, ubi dicebatur eis:Non populus meus vos"",dicetur eis: ""Filii Dei viventis""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.2,Hos 2:2,1,"Et congregabuntur filii Iudaeet filii Israel pariteret ponent sibimet caput unumet ascendent de terra,quia magnus dies Iezrahel."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.3,Hos 2:3,2,"Dicite fratribus vestris: ""Populus meus""et sororibus vestris: ""Misericordiam consecuta""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.4,Hos 2:4,3,"Contendite adversum matrem vestram; contendite,quoniam ipsa non uxor mea,et ego non vir eius;auferat fornicationes suas a facie suaet adulteria sua de medio uberum suorum,"
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.5,Hos 2:5,4,ne forte exspoliem eam nudamet statuam eam secundum diem nativitatis suaeet ponam eam quasi solitudinemet statuam eam velut terram aridamet interficiam eam siti.
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.6,Hos 2:6,5,"Et filiorum illius non miserebor,quoniam filii fornicationum sunt,"
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.7,Hos 2:7,6,"quia fornicata est mater eorum,turpiter egit, quae concepit eos;quia dixit: ""Vadam post amatores meos,qui dant panes mihi et aquas meas,lanam meam et linum meum,oleum meum et potum meum""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.8,Hos 2:8,7,"Propter hoc ecce ego saepiamviam tuam spiniset saepiam eam maceria,et semitas suas non inveniet;"
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.9,Hos 2:9,8,"et sequetur amatores suoset non apprehendet eos;et quaeret eos et non invenietet dicet: ""Vadam et revertarad virum meum priorem,quia bene mihi erat tunc magis quam nunc""."
la,NOVA_VULGATA,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.10,Hos 2:10,9,"Et haec nescivit quia egodedi ei frumentum et vinum et oleumet argentum multiplicavi eiet aurum, quae fecerunt Baal."
