languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.1,Joel 1:1,0,"Verbum Domini, quod factum est ad loel filium Phatuel."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.2,Joel 1:2,1,"Audite hoc, senes,et auribus percipite, omnes habitatores terrae,si factum est istud in diebus vestrisaut in diebus patrum vestrorum."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.3,Joel 1:3,2,"Super hoc filiis vestris narrate,et filii vestri filiis suis,et filii eorum generationi alterae."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.4,Joel 1:4,3,"Residuum erucae comedit locusta,et residuum locustae comedit bruchus,et residuum bruchi comedit gryllus."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.5,Joel 1:5,4,"Expergiscimini, ebrii, et flete,et ululate, omnes, qui bibitis vinum,propter mustum,quoniam periit ab ore vestro."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.6,Joel 1:6,5,"Gens enim ascendit super terram meamfortis et innumerabilis;dentes eius ut dentes leonis,et molares leaenae sunt ei."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.7,Joel 1:7,6,"Posuit vineam meam in desertumet ficum meam in lignum confractum;nudans spoliavit eam et proiecit,albi facti sunt rami eius."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.8,Joel 1:8,7,"Plange, quasi virgo accincta saccosuper virum pubertatis suae."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.9,Joel 1:9,8,Periit oblatio et libatiode domo Domini;luxerunt sacerdotesministri Domini.
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.10,Joel 1:10,9,"Depopulata est regio;luxit humus,quoniam devastatum est triticum,defecit mustum,elanguit oleum."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.11,Joel 1:11,10,"Confundemini, agricolae,ululate, vinitores,super frumento et hordeo,quia periit messis agri."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.12,Joel 1:12,11,"Vinea exaruit,et ficus elanguit,malogranatum et palma et malumet omnia ligna agri aruerunt,quia evanuit gaudiuma filiis hominum."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.13,Joel 1:13,12,"Accingite vos et plangite, sacerdotes;ululate, ministri altaris.Ingredimini, cubate in sacco,ministri Dei mei,quoniam interiit de domo Dei vestrioblatio et libatio."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.14,Joel 1:14,13,"Sanctificate ieiunium,vocate coetum,congregate senes,omnes habitatores terraein domum Dei vestri,et clamate ad Dominum:"
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.15,Joel 1:15,14,""" Heu diei!Quia prope est dies Domini,et quasi vastitas a potente veniet."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.16,Joel 1:16,15,"Numquid non coram oculis vestrisalimenta perierunt,de domo Dei nostrilaetitia et exsultatio?""."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.17,Joel 1:17,16,"Computruerunt seminasubtus glebas suas,demolita sunt horrea,dissipatae sunt apothecae,eo quod exaruit triticum."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.18,Joel 1:18,17,"Quid ingemuit animal,perterrita sunt armenta boum,quia non est pascua eis?Sed et greges pecorum disperierunt."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.19,Joel 1:19,18,"Ad te, Domine, clamo,quia ignis comeditpascua deserti,et flamma succenditomnia ligna agri."
la,NOVA_VULGATA,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.20,Joel 1:20,19,"Sed et bestiae agrisuspirant ad te,quoniam exsiccati sunt fontes aquarum,et ignis devoravitpascua deserti."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.1,Joel 2:1,0,"Canite tuba in Sion,ululate in monte sancto meo;conturbentur omnes habitatores terrae,quia venit dies Domini,quia prope est."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.2,Joel 2:2,1,"Dies tenebrarum et caliginis,dies nubis et turbinis;quasi aurora expansa super montespopulus multus et fortis:similis ei non fuit a principio,et post eum non eritusque in annos generationis et generationis."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.3,Joel 2:3,2,"Ante faciem eius ignis vorat,et post eum exurit flamma.Quasi hortus Eden terra coram eo,et post eum solitudo deserti;neque est quod effugiat eum."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.4,Joel 2:4,3,"Quasi aspectus equorum aspectus eorum,et quasi equites sic current."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.5,Joel 2:5,4,"Sicut sonitus quadrigarumsuper capita montium exsiliunt,sicut sonitus flammae ignisdevorantis stipulam,velut populus fortispraeparatus ad proelium."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.6,Joel 2:6,5,"A facie eius cruciabuntur populi,omnes vultus candentes."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.7,Joel 2:7,6,"Sicut fortes currunt,quasi viri bellatores ascendunt murum;unusquisque in viis suis graditur,et non declinant a semitis suis."
la,NOVA_VULGATA,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.8,Joel 2:8,7,"Unusquisque fratrem suum non coarctat,singuli in calle suo ambulant,per media tela prorumpuntsine intermissione."
