languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Paulus, apostolus Christi Iesu per voluntatem Dei, sanctis, qui sunt Ephesi, et fidelibus in Christo Iesu:"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,gratia vobis et pax a Deo Patre nostro et Domino Iesu Christo.
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Benedictus Deus et Pater Domini nostri Iesu Christi,qui benedixit nos in omni benedictione spiritali in caelestibus in Christo,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,"sicut elegit nos in ipso ante mundi constitutionem,ut essemus sancti et immaculati in conspectu eius in caritate;"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"qui praedestinavit nos in adoptionem filiorumper Iesum Christum in ipsum,secundum beneplacitum voluntatis suae,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"in laudem gloriae gratiae suae,in qua gratificavit nos in Dilecto,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"in quo habemus redemptionem per sanguinem eius,remissionem peccatorum,secundum divitias gratiae eius,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,"quam superabundare fecit in nobisin omni sapientia et prudentia,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"notum faciens nobis mysterium voluntatis suae,secundum beneplacitum eius, quod proposuit in eo,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"in dispensationem plenitudinis temporum:recapitulare omnia in Christo,quae in caelis et quae in terra, in ipso;"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"in quo etiam sorte vocati sumus, praedestinati secundum propositum eius, qui omnia operatur secundum consilium voluntatis suae,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,"ut simus in laudem gloriae eius, qui ante speravimus in Christo;"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,"in quo et vos cum audissetis verbum veritatis, evangelium salutis vestrae, in quo et credentes signati estis Spiritu promissionis Sancto,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,"qui est arrabo hereditatis nostrae in redemptionem acquisitionis, in laudem gloriae ipsius."
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,"Propterea et ego audiens fidem vestram, quae est in Domino Iesu, et dilectionem in omnes sanctos,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,"non cesso gratias agens pro vobis memoriam faciens in orationibus meis,"
la,NOVA_VULGATA,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,"ut Deus Domini nostri Iesu Christi, Pater gloriae, det vobis Spiritum sapientiae et revelationis in agnitione eius,"
