languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.1,Col 1:1,0,"Paulus, apostolus Christi Iesu per voluntatem Dei, et Timo theus frater"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.2,Col 1:2,1,"his, qui sunt Colossis, sanctis et fidelibus fratribus in Christo: gratia vobis et pax a Deo Patre nostro."
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.3,Col 1:3,2,"Gratias agimus Deo Patri Domini nostri Iesu Christi semper pro vobis orantes,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.4,Col 1:4,3,"audientes fidem vestram in Christo Iesu et dilectionem, quam habetis in sanctos omnes,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.5,Col 1:5,4,"propter spem, quae reposita est vobis in caelis, quam ante audistis in verbo veritatis evangelii,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.6,Col 1:6,5,"quod pervenit ad vos, sicut et in universo mundo est fructificans et crescens, sicut et in vobis, ex ea die, qua audistis et cognovistis gratiam Dei in veritate;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.7,Col 1:7,6,"sicut didicistis ab Epaphra carissimo conservo nostro, qui est fidelis pro nobis minister Christi,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.8,Col 1:8,7,qui etiam manifestavit nobis dilectionem vestram in Spiritu.
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.9,Col 1:9,8,"Ideo et nos, ex qua die audivimus, non cessamus pro vobis orantes et postulantes, ut impleamini agnitione voluntatis eius in omni sapientia et intellectu spiritali,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.10,Col 1:10,9,"ut ambuletis digne Domino per omnia placentes, in omni opere bono fructificantes et crescentes in scientia Dei,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.11,Col 1:11,10,"in omni virtute confortati secundum potentiam claritatis eius in omnem patientiam et longanimitatem, cum gaudio"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.12,Col 1:12,11,"gratias agentes Patri,qui idoneos vos fecit in partem sortis sanctorum in lumine;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.13,Col 1:13,12,"qui eripuit nos de potestate tenebrarumet transtulit in regnum Filii dilectionis suae,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.14,Col 1:14,13,"in quo habemus redemptionem,remissionem peccatorum;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.15,Col 1:15,14,"qui est imago Dei invisibilis,primogenitus omnis creaturae,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.16,Col 1:16,15,"quia in ipso condita sunt universa in caelis et in terra,visibilia et invisibilia,sive throni sive dominationessive principatus sive potestates.Omnia per ipsum et in ipsum creata sunt,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.17,Col 1:17,16,"et ipse est ante omnia,et omnia in ipso constant."
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.18,Col 1:18,17,"Et ipse est caput corporis ecclesiae;qui est principium, primogenitus ex mortuis,ut sit in omnibus ipse primatum tenens,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.19,Col 1:19,18,quia in ipso complacuit omnem plenitudinem habitare
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.20,Col 1:20,19,"et per eum reconciliare omnia in ipsum,pacificans per sanguinem crucis eius,sive quae in terris sive quae in caelis sunt."
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.21,Col 1:21,20,"Et vos, cum essetis aliquando alienati et inimici sensu in operibus malis,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.22,Col 1:22,21,nunc autem reconciliavit in corpore carnis eius per mortem exhibere vos sanctos et immaculatos et irreprehensibiles coram ipso;
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.23,Col 1:23,22,"si tamen permanetis in fide fundati et stabiles et immobiles a spe evangelii, quod audistis, quod praedicatum est in universa creatura, quae sub caelo est, cuius factus sum ego Paulus minister."
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.24,Col 1:24,23,"Nunc gaudeo in passionibus pro vobis et adimpleo, ea quae desunt passionum Christi in carne mea pro corpore eius, quod est ecclesia,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.25,Col 1:25,24,"cuius factus sum ego minister secundum dispensationem Dei, quae data est mihi in vos, ut impleam verbum Dei;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.26,Col 1:26,25,"mysterium, quod absconditum fuit a saeculis et generationibus, nunc autem manifestatum est sanctis eius,"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.27,Col 1:27,26,"quibus voluit Deus notas facere divitias gloriae mysterii huius in gentibus, quod est Christus in vobis, spes gloriae;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.28,Col 1:28,27,"quem nos annuntiamus, commonentes omnem hominem et docentes omnem hominem in omni sapientia, ut exhibeamus omnem hominem perfectum in Christo;"
la,NOVA_VULGATA,Col,Col,50,Col.1,Col 1,0,Col.1.29,Col 1:29,28,"ad quod et laboro certando secundum operationem eius, quae operatur in me in virtute."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.1,Col 2:1,0,"Volo enim vos scire qualem sollicitudinem habeam pro vo bis et pro his, qui sunt Laodiciae, et quicumque non viderunt faciem meam in carne,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.2,Col 2:2,1,"ut consolentur corda ipsorum instructi in caritate et in omnes divitias plenitudinis intellectus, in agnitionem mysterii Dei, Christi,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.3,Col 2:3,2,in quo sunt omnes thesauri sapientiae et scientiae absconditi.
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.4,Col 2:4,3,"Hoc dico, ut nemo vos decipiat in subtilitate sermonum."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.5,Col 2:5,4,"Nam etsi corpore absens sum, sed spiritu vobiscum sum, gaudens et videns ordinem vestrum et firmamentum eius, quae in Christum est, fidei vestrae."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.6,Col 2:6,5,"Sicut ergo accepistis Christum Iesum Dominum, in ipso ambulate,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.7,Col 2:7,6,"radicati et superaedificati in ipso et confirmati fide, sicut didicistis, abundantes in gratiarum actione."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.8,Col 2:8,7,"Videte, ne quis vos depraedetur per philosophiam et inanem fallaciam secundum traditionem hominum, secundum elementa mundi et non secundum Christum;"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.9,Col 2:9,8,"quia in ipso inhabitat omnis plenitudo divinitatis corporaliter,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.10,Col 2:10,9,"et estis in illo repleti, qui est caput omnis principatus et potestatis;"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.11,Col 2:11,10,"in quo et circumcisi estis circumcisione non manufacta in exspoliatione corporis carnis, in circumcisione Christi;"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.12,Col 2:12,11,"consepulti ei in baptismo, in quo et conresuscitati estis per fidem operationis Dei, qui suscitavit illum a mortuis;"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.13,Col 2:13,12,"et vos, cum mortui essetis in delictis et praeputio carnis vestrae, convivificavit cum illo, donans nobis omnia delicta,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.14,Col 2:14,13,"delens, quod adversum nos erat, chirographum decretis, quod erat contrarium nobis, et ipsum tulit de medio affigens illud cruci;"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.15,Col 2:15,14,"exspolians principatus et potestates traduxit confidenter, triumphans illos in semetipso."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.16,Col 2:16,15,"Nemo ergo vos iudicet in cibo aut in potu aut ex parte diei festi aut neomeniae aut sabbatorum,"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.17,Col 2:17,16,"quae sunt umbra futurorum, corpus autem Christi."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.18,Col 2:18,17,"Nemo vos bravio defraudet complacens sibi in humilitate et religione angelorum propter ea, quae vidit, ingrediens, frustra inflatus sensu carnis suae"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.19,Col 2:19,18,"et non tenens caput, ex quo totum corpus per nexus et coniunctiones subministratum et compaginatum crescit in augmentum Dei."
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.20,Col 2:20,19,"Si mortui estis cum Christo ab elementis mundi, quid tamquam viventes in mundo decretis subicimini:"
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.21,Col 2:21,20,""" Ne tetigeris neque gustaveris neque contrectaveris "","
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.22,Col 2:22,21,quae sunt omnia in corruptionem ipso usu secundum praecepta et doctrinas hominum?
la,NOVA_VULGATA,Col,Col,50,Col.2,Col 2,1,Col.2.23,Col 2:23,22,"Quae sunt rationem quidem habentia sapientiae in superstitione et humilitate, et non parcendo corpori, non in honore aliquo ad saturitatem carnis."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.1,Col 3:1,0,"Igitur, si conresurrexistis Chri sto, quae sursum sunt quaerite, ubi Christus est in dextera Dei sedens;"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.2,Col 3:2,1,"quae sursum sunt sapite, non quae supra terram."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.3,Col 3:3,2,"Mortui enim estis, et vita vestra abscondita est cum Christo in Deo!"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.4,Col 3:4,3,"Cum Christus apparuerit, vita vestra, tunc et vos apparebitis cum ipso in gloria."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.5,Col 3:5,4,"Mortificate ergo membra, quae sunt super terram: fornicationem, immunditiam, libidinem, concupiscentiam malam et avaritiam, quae est simulacrorum servitus,"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.6,Col 3:6,5,propter quae venit ira Dei super filios incredulitatis;
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.7,Col 3:7,6,"in quibus et vos ambulastis aliquando, cum viveretis in illis."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.8,Col 3:8,7,"Nunc autem deponite et vos omnia: iram, indignationem, malitiam, blasphemiam, turpem sermonem de ore vestro;"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.9,Col 3:9,8,"nolite mentiri invicem, qui exuistis vos veterem hominem cum actibus eius"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.10,Col 3:10,9,"et induistis novum, eum, qui renovatur in agnitionem secundum imaginem eius, qui creavit eum,"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.11,Col 3:11,10,"ubi non est Graecus et Iudaeus, circumcisio et praeputium, barbarus, Scytha, servus, liber, sed omnia et in omnibus Christus."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.12,Col 3:12,11,"Induite vos ergo, sicut electi Dei, sancti et dilecti, viscera misericordiae, benignitatem, humilitatem, mansuetudinem, longanimitatem,"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.13,Col 3:13,12,"supportantes invicem et donantes vobis ipsis, si quis adversus aliquem habet querelam; sicut et Dominus donavit vobis, ita et vos;"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.14,Col 3:14,13,"super omnia autem haec: caritatem, quod est vinculum perfectionis."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.15,Col 3:15,14,"Et pax Christi dominetur in cordibus vestris, ad quam et vocati estis in uno corpore. Et grati estote."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.16,Col 3:16,15,"Verbum Christi habitet in vobis abundanter, in omni sapientia docentes et commonentes vosmetipsos psalmis, hymnis, canticis spiritalibus, in gratia cantantes in cordibus vestris Deo;"
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.17,Col 3:17,16,"et omne, quodcumque facitis in verbo aut in opere, omnia in nomine Domini Iesu gratias agentes Deo Patri per ipsum."
la,NOVA_VULGATA,Col,Col,50,Col.3,Col 3,2,Col.3.18,Col 3:18,17,"Mulieres, subditae estote viris, sicut oportet in Domino."
