languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.1,Lev 1:1,0,"І кликнув Господь до Мойсея, і промовляв до нього з скинії заповіту, говорячи:"
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.2,Lev 1:2,1,"Промовляй до Ізраїлевих синів та й скажеш до них: Коли хто з вас принесе жертву для Господа зо скотини, то з худоби великої й худоби дрібної принесете вашу жертву."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.3,Lev 1:3,2,"Якщо жертва його цілопалення з худоби великої, то нехай принесе його, самця безвадного; нехай приведе його до скинії заповіту, щоб він був уподобаний перед лицем Господнім."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.4,Lev 1:4,3,"І покладе він руку свою на голову цілопалення, і буде йому дано вподобання на очищення від гріхів його."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.5,Lev 1:5,4,"І заріже він ягня перед Господнім лицем. А Ааронові сини, священики, принесуть кров, і покроплять тією кров'ю на жертівника навколо, що при вході до скинії заповіту."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.6,Lev 1:6,5,"І здере він шкуру з жертви цілопалення, і розітне його на куски його."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.7,Lev 1:7,6,"І дадуть сини священика Аарона огню на жертівника, і покладуть дров на тім огні."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.8,Lev 1:8,7,"І порозкладають Ааронові сини, священики, ті куски, голову та товщ, на дровах, що на огні, який на жертівнику."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.9,Lev 1:9,8,"А його нутрощі та голінки його обмиє водою. І священик усе те спалить на жертівнику, це цілопалення, огняна жертва, пахощі любі для Господа."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.10,Lev 1:10,9,"А якщо його жертва з дрібної худобини, з овець або з кіз на цілопалення, то нехай приведе його, безвадного самця,"
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.11,Lev 1:11,10,"і заріже його на боці жертівника на північ, перед Господнім лицем. І покроплять сини Ааронові, священики, кров'ю його на жертівника навколо."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.12,Lev 1:12,11,"І розітне його на куски його, голову його, і товщ його, а священик порозкладає їх на дровах, що на огні, який на жертівнику."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.13,Lev 1:13,12,"А нутрощі та голінки обмиє водою. І священик принесе все це, та й спалить на жертівнику, це цілопалення, огняна жертва, пахощі любі для Господа."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.14,Lev 1:14,13,"А якщо цілопалення його жертва для Господа з птаства, то нехай з горлиць або з голубенят принесе жертву свою."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.15,Lev 1:15,14,"І принесе її священик до жертівника, і проб'є йому нігтем великим голову, та й спалить на жертівнику, а кров його буде вилита при стіні жертівника."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.16,Lev 1:16,15,"І здійме його воло в пір'ї його, і кине його при жертівнику на схід на місце попелу."
uk,NPU,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.17,Lev 1:17,16,"І роздере його між крильми його, але не відділить їх. А священик спалить його на жертівнику на дровах, що на огні, воно цілопалення, огняна жертва, пахощі любі для Господа."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.1,Lev 2:1,0,"А коли хто принесе жертву, жертву хлібну для Господа, то нехай пшенична мука буде жертва його, а він поллє на неї оливи, і дасть на неї ладану."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.2,Lev 2:2,1,"І принесе її до Ааронових синів, священиків, і візьме звідти повну свою жменю пшеничної муки її, і оливи її зо всім її ладаном, та й спалить священик на жертівнику за пригадувальну частину, це огняна жертва, пахощі любі для Господа."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.3,Lev 2:3,2,"А позостале з цієї хлібної жертви для Аарона та для синів його, це Найсвятіше з Господніх жертов!"
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.4,Lev 2:4,3,"А коли принесеш жертву, жертву хлібну випеченого в печі, то нехай це буде пшенична мука, прісні калачі, мішані в оливі, та прісні коржики, помазані оливою."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.5,Lev 2:5,4,"А якщо твоя жертва жертва хлібна на лопатці, то нехай це буде пшенична мука, мішана в оливі, прісна."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.6,Lev 2:6,5,"Поламати її на шматочки, і поллєш на неї оливи, це хлібна жертва."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.7,Lev 2:7,6,"А якщо твоя жертва жертва хлібна смаження, то нехай буде зроблена в оливі з пшеничної муки."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.8,Lev 2:8,7,"І принесеш хлібну жертву, що зроблена з тих речей, для Господа, і подаси її до священика, а він принесе її до жертівника."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.9,Lev 2:9,8,"І принесе священик із хлібної жертви за пригадувальну частину її, та й спалить на жертівнику, це огняна жертва, любі пахощі для Господа."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.10,Lev 2:10,9,А позостале з цієї хлібної жертви для Аарона та для синів його: це Найсвятіше з Господніх жертов!
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.11,Lev 2:11,10,"Кожна хлібна жертва, яку принесете Господеві, не буде зроблена квашена, бо все квашене й усякий мед не спалите з нього огняної жертви для Господа."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.12,Lev 2:12,11,"Як жертву первоплоду принесіть її для Господа, а на жертівника вона не приноситься на любі пахощі."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.13,Lev 2:13,12,"І кожну жертву, жертву хлібну, посолиш сіллю. І хлібної жертви твоєї не позбавиш соли заповіту Бога твого, на кожній жертві твоїй принесеш соли."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.14,Lev 2:14,13,"А якщо принесеш хлібну жертву первоплодів для Господа, то колосся, пряжене в огні, як потовчене зерно принесеш хлібну жертву своїх первоплодів."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.15,Lev 2:15,14,"І полий на неї оливи, і поклади на неї ладану, це жертва хлібна."
uk,NPU,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.16,Lev 2:16,15,"І спалить священик за пригадувальну частину її з потовченого зерна, із оливи її на всім ладані її, це огняна жертва для Господа."
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.1,Lev 3:1,0,"А якщо його жертва мирна, якщо з великої худоби він приносить чи самця, чи самицю, він принесе її безвадну перед Господнє лице,"
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.2,Lev 3:2,1,"і покладе свою руку на голову жертви своєї, та й заріже її при вході до скинії заповіту. А Ааронові сини, священики, покроплять тією кров'ю на жертівника навколо."
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.3,Lev 3:3,2,"І принесе він із мирної жертви огняну жертву для Господа, лій, що закриває нутрощі, та ввесь лій, що на нутрощах,"
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.4,Lev 3:4,3,"і обидві нирки, і лій, що на них, що на стегнах, а сальника на печінці здійме його з нирками."
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.5,Lev 3:5,4,"І спалять те сини Ааронові на жертівнику на цілопалення, що на дровах, яке на огні, це огняна жертва, пахощі любі для Господа."
uk,NPU,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.6,Lev 3:6,5,"А якщо з дрібної худоби його жертва на мирну жертву для Господа, самець чи самиця, то безвадну принесе її."
