languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.1,Num 1:1,0,"І Господь промовляв до Мойсея в Сінайській пустині в скинії заповіту першого дня другого місяця, другого року від виходу їх з єгипетського краю, говорячи:"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.2,Num 1:2,1,"Перелічіть усю громаду Ізраїлевих синів за родами їхніми, за домами їхніх батьків числом усіх чоловічої статі за їх головами,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.3,Num 1:3,2,"від віку двадцяти літ і вище, кожного, хто здатний до війська в Ізраїлі, за військовими відділами їхніми перелічіть їх ти та Аарон."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.4,Num 1:4,3,А з вами будуть по одному мужеві для племени; той муж голова дому батьків своїх він.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.5,Num 1:5,4,"А оце ймення тих мужів, що стануть із вами: для Рувима Еліцур, син Шедеурів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.6,Num 1:6,5,"для Симеона Шелуміїл, син Цурішаддаїв;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.7,Num 1:7,6,"для Юди Нахшон, син Аммінадавів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.8,Num 1:8,7,"для Іссахара Натанаїл, син Цуарів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.9,Num 1:9,8,"для Завулона Елів, син Хелонів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.10,Num 1:10,9,"для Йосипових синів, від Єфрема Елішама, син Аммігудів; від Манасії Гамаліїл, син Педацурів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.11,Num 1:11,10,"для Веніямина Авідан, син Ґід'оніїв;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.12,Num 1:12,11,"для Дана Ахіезер, син Аммішаддаїв;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.13,Num 1:13,12,"для Асира Паґ'іїл, син Охранів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.14,Num 1:14,13,"для Ґада Ел'ясаф, син Деуїлів;"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.15,Num 1:15,14,"для Нефталима Ахіра, син Енанів."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.16,Num 1:16,15,"Оце покликані громади, начальники племен їхніх батьків. Вони голови тисяч Ізраїлевих."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.17,Num 1:17,16,"І взяв Мойсей та Аарон тих мужів, що були названі пойменно,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.18,Num 1:18,17,"і вони зібрали всю ту громаду першого дня другого місяця. І вони виявили родоводи свої за домами їхніх батьків числом імен від віку двадцяти літ і вище, за головами їх,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.19,Num 1:19,18,як Господь наказав був Мойсеєві. І він перелічив їх у Сінайській пустині.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.20,Num 1:20,19,"І було синів Рувима, перворідного Ізраїлевого, їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен за головами їх, усіх чоловічої статі від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.21,Num 1:21,20,перелічені їхні від Рувимового племені сорок і шість тисяч і п'ятсот.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.22,Num 1:22,21,"У Симеонових синів їхніх нащадків за їхніми родами, за домами їхніх батьків перелік їх числом імен за головами їхніми, усі чоловічої статі від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.23,Num 1:23,22,перелічені їхні від Симеонового племени п'ятдесят і дев'ять тисяч і триста.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.24,Num 1:24,23,"У Ґадових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.25,Num 1:25,24,перелічені їхні від Ґадового племени сорок і п'ять тисяч і шістсот і п'ятдесят.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.26,Num 1:26,25,"У Юдових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.27,Num 1:27,26,перелічені їхні від Юдового племени сімдесят і чотири тисячі й шістсот.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.28,Num 1:28,27,"У Іссахарових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.29,Num 1:29,28,перелічені їхні від Іссахарового племени п'ятдесят і чотири тисячі й чотириста.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.30,Num 1:30,29,"У Завулонових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.31,Num 1:31,30,перелічені їхні від Завулонового племени п'ятдесят і сім тисяч і чотириста.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.32,Num 1:32,31,"У Йосипових синів: у Єфремових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.33,Num 1:33,32,перелічені їхні від Єфремового племени сорок тисяч і п'ятсот.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.34,Num 1:34,33,"У синів Манасії їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.35,Num 1:35,34,перелічені їхні від племени Манасіїного тридцять і дві тисячі й двісті.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.36,Num 1:36,35,"У Веніяминових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.37,Num 1:37,36,перелічені їхні від Веніяминового племени тридцять і п'ять тисяч і чотириста.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.38,Num 1:38,37,"У Данових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.39,Num 1:39,38,перелічені їхні від Данового племени шістдесят і дві тисячі й сімсот.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.40,Num 1:40,39,"У Асирових синів їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.41,Num 1:41,40,"перелічені їхні від Асирового племени, сорок і одна тисяча й п'ятсот."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.42,Num 1:42,41,"У синів Нефталимових їхніх нащадків за їхніми родами, за домами їхніх батьків числом імен від віку двадцяти літ і вище, кожен, хто здатний до війська,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.43,Num 1:43,42,перелічені їхні від племени Нефталимового п'ятдесят і три тисячі й чотириста.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.44,Num 1:44,43,"Оце ті перелічені, кого перелічив Мойсей й Аарон та Ізраїлеві начальники, дванадцятеро мужа, вони були по одному мужеві для дому батьків своїх."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.45,Num 1:45,44,"І були всі перелічені з Ізраїлевих синів за домами батьків своїх від віку двадцяти літ і вище, кожен, хто здатний до війська, в Ізраїлі,"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.46,Num 1:46,45,і були всі перелічені шістсот тисяч і три тисячі й п'ятсот і п'ятдесят.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.47,Num 1:47,46,А Левити не були перелічені серед них за племенем батьків своїх.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.48,Num 1:48,47,"І Господь промовляв до Мойсея, говорячи:"
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.49,Num 1:49,48,Тільки Левієвого племени не переглянеш і не перелічиш їх серед Ізраїлевих синів.
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.50,Num 1:50,49,"А ти постав Левитів наглядачами над скинією свідоцтва, і над усіма речами її та над усім, що її. Вони будуть носити скинію та всі її речі, і вони будуть обслуговувати її, і отаборяться навколо скинії."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.51,Num 1:51,50,"А коли скинія буде рушати, Левити розберуть її, а коли буде спинятися скинія, Левити поставлять її. А якщо наблизиться чужий, він нехай буде забитий."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.52,Num 1:52,51,"І отаборяться Ізраїлеві сини кожен у таборі своїм, і кожен при своїм прапорі за своїми військовими відділами."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.53,Num 1:53,52,"А Левити отаборяться навколо скинії свідоцтва, щоб не було гніву на громаду Ізраїлевих синів. І будуть Левити виконувати сторожу скинії свідоцтва."
uk,NPU,Num,Num,3,Num.1,Num 1,0,Num.1.54,Num 1:54,53,"І зробили Ізраїлеві сини, згідно зо всім, як наказав був Господь Мойсеєві, так зробили вони."
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.1,Num 2:1,0,"І Господь промовляв до Мойсея та до Аарона, говорячи:"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.2,Num 2:2,1,"Отаборяться Ізраїлеві сини кожен при прапорі своїм за ознаками домів своїх батьків, навпроти скинії заповіту навколо отаборяться."
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.3,Num 2:3,2,"Напереді на схід отаборяться: прапор Юдиного табору за своїми військовими відділами, а начальник Юдиних синів Нахшон, син Аммінадавів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.4,Num 2:4,3,а його військо та його перелік сімдесят і чотири тисячі й шістсот.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.5,Num 2:5,4,"А при ньому отабориться Іссахарове плем'я, а начальник Іссахарових синів Натанаїл, син Цуарів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.6,Num 2:6,5,а його військо та його перелік п'ятдесят і чотири тисячі й чотириста.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.7,Num 2:7,6,"Плем'я Завулонове, а начальник Завулонових синів Еліяв, син Хелонів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.8,Num 2:8,7,а його військо та його перелік п'ятдесят і сім тисяч і чотириста.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.9,Num 2:9,8,Усіх перелічених Юдиного табору сто тисяч і вісімдесят тисяч і шість тисяч і чотириста за своїми військовими відділами. Вони рушать найперше.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.10,Num 2:10,9,"Прапор Рувимового табору на південь, за військовими відділами своїми, а начальник Рувимових синів Еліцур, син Шедеурів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.11,Num 2:11,10,а його військо та його перелік сорок і шість тисяч і п'ятсот.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.12,Num 2:12,11,"А при ньому отабориться Симеонове плем'я, а начальник Симеонових синів Шелуміїл, син Цурішаддаїв;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.13,Num 2:13,12,а його військо та його перелік п'ятдесят і дев'ять тисяч і триста.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.14,Num 2:14,13,"І Ґадове плем'я, а начальник Ґадових синів Ел'ясаф, син Реуїлів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.15,Num 2:15,14,а його військо та його перелік сорок і п'ять тисяч і шістсот і п'ятдесят.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.16,Num 2:16,15,Усіх перелічених Рувимового табору сто тисяч і п'ятдесят і одна тисяча й чотириста й п'ятдесят за своїми військовими відділами. Вони рушать другі.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.17,Num 2:17,16,"І як рушить скинія заповіту, то табір Левитів буде серед таборів. Як вони отаборяться, так вирушать, кожен на своїм місці за своїми прапорами."
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.18,Num 2:18,17,"Прапор Єфремового табору за військовими відділами своїми на захід, а начальник Єфремових синів Елішама, син Аммігудів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.19,Num 2:19,18,а його військо та їхній перелік сорок тисяч і п'ятсот.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.20,Num 2:20,19,"А при ньому плем'я Манасіїне, а начальник синів Манасіїних Гамаліїл, син Педацурів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.21,Num 2:21,20,а його військо та їхній перелік тридцять і дві тисячі й двісті.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.22,Num 2:22,21,"І Веніяминове плем'я, а начальник Веніяминових синів Авідан, син Ґід'оніїв;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.23,Num 2:23,22,а його військо та їхній перелік тридцять і п'ять тисяч і чотириста.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.24,Num 2:24,23,Усіх перелічених Єфремового табору сто тисяч і вісім тисяч і сто за своїми військовими відділами. Вони рушать треті.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.25,Num 2:25,24,"Прапор Данового табору північ, за своїми військовими відділами, а начальник Данових синів Ахіезер, син Аммішаддаїв;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.26,Num 2:26,25,а його військо та їхній перелік шістдесят і дві тисячі й сімсот.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.27,Num 2:27,26,"А при ньому отабориться Асирове плем'я, а начальник Асирових синів Паґ'іїл, син Охранів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.28,Num 2:28,27,а його військо та їхній перелік сорок і одна тисяча й п'ятсот.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.29,Num 2:29,28,"І плем'я Нефталимове, а начальник синів Нефталимових Ахіра, син Енанів;"
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.30,Num 2:30,29,а його військо та їхній перелік п'ятдесят і три тисячі й чотириста.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.31,Num 2:31,30,Усіх перелічених Данового табору сто тисяч і п'ятдесят і сім тисяч і шістсот. Вони рушать наостанку за прапорами своїми.
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.32,Num 2:32,31,"Оце перелічені Ізраїлевих синів за домами батьків своїх, усіх перелічених тих таборів за своїми військовими відділами шістсот тисяч і три тисячі й п'ятсот і п'ятдесят."
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.33,Num 2:33,32,"А Левити не перелічені серед Ізраїлевих синів, як Господь наказав був Мойсеєві."
uk,NPU,Num,Num,3,Num.2,Num 2,1,Num.2.34,Num 2:34,33,"І Ізраїлеві сини зробили все, що Господь наказав був Мойсеєві, так вони таборували за прапорами своїми, і так рушали кожен за своїми родами при домі своїх батьків."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.1,Num 3:1,0,"А оце нащадки Ааронові та Мойсеєві в дні, коли Господь промовляв до Мойсея на Сінайській горі."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.2,Num 3:2,1,"І оце імена Ааронових синів: перворідний Надав, і Авігу, Елеазар та Ітамар."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.3,Num 3:3,2,"Оце імена Ааронових синів, помазаних священиків, що він посвятив їх бути священиками."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.4,Num 3:4,3,"Та помер Надав та Авігу перед Господнім лицем, коли вони принесли були чужий огонь перед Господнім лицем у Сінайській пустині, а синів у них не було. І були священиками Елеазар та Ітамар за життя батька свого Аарона."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.5,Num 3:5,4,"І Господь промовляв до Мойсея, говорячи:"
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.6,Num 3:6,5,"Приведи Левієве плем'я, і постав його перед священиком Аароном, і вони будуть услуговувати йому."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.7,Num 3:7,6,"І будуть вони виконувати сторожу його та всієї громади перед скинією заповіту, щоб виконувати службу скинійну."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.8,Num 3:8,7,"І будуть вони стерегти всі речі скинії заповіту та сторожу Ізраїлевих синів, щоб виконувати службу скинійну."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.9,Num 3:9,8,"І даси Левитів Ааронові та синам його, власне йому вони дані від Ізраїлевих синів."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.10,Num 3:10,9,"А Аарона та синів його постав, щоб вони пильнували свого священства, а чужий, хто наблизиться, буде забитий."
uk,NPU,Num,Num,3,Num.3,Num 3,2,Num.3.11,Num 3:11,10,"І Господь промовляв до Мойсея, говорячи:"
