languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.1,Deut 1:1,0,"Оце ті слова, що Мойсей говорив був до всього Ізраїля по тім боці Йордану в пустині, на степу, навпроти Червоного моря, між Параном, і між Тофелем, і Лаваном, і Гецеротом, і Ді-Загавом,"
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.2,Deut 1:2,1,"одинадцять день дороги від Хориву, дорога до гори Сеїру, аж до Кадеш-Барнеа."
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.3,Deut 1:3,2,"І сталося сорокового року, одинадцятого місяця, першого дня місяця говорив Мойсей до Ізраїлевих синів усе, що Господь наказав був йому про них,"
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.4,Deut 1:4,3,"по тому, як забив він Сигона, царя аморейського, що сидів у Хешбоні, і Оґа, царя башанського, що сидів в Аштароті в Едреї."
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.5,Deut 1:5,4,"На тім боці Йордану в моавському краї став Мойсей виясняти Закона, говорячи:"
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.6,Deut 1:6,5,"Господь, Бог наш, промовляв до нас на Хориві, говорячи: Досить вам сидіти на цій горі!"
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.7,Deut 1:7,6,"Оберніться й рушайте, і йдіть на гору амореянина, та до всіх сусідів його на степу, на горі, і в долині, і на півдні, і на побережжі моря, до Краю ханаанського та до Ливану, аж до Великої Річки, річки Ефрату."
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.8,Deut 1:8,7,"Ось Я дав вам цей Край! Увійдіть, і заволодійте цим Краєм, що за нього Господь був присяг вашим батькам, Авраамові, Ісакові та Якову, що дасть його їм та їхньому насінню по них."
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.9,Deut 1:9,8,"І сказав я того часу до вас, говорячи: Не можу я сам носити вас."
uk,NPU,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.10,Deut 1:10,9,"Господь, Бог ваш, розмножив вас, і ось ви сьогодні, щодо численности, як зорі небесні!"
