languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.1,Josh 1:1,0,"І сталося по смерті Мойсея, раба Божого, і сказав Господь до Ісуса, сина Навинового, Мойсеєвого слуги, говорячи:"
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.2,Josh 1:2,1,"Мойсей, раб Мій, помер. А тепер уставай, перейди цей Йордан ти та ввесь народ цей до того Краю, що Я даю їм, Ізраїлевим синам."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.3,Josh 1:3,2,"Кожне місце, що стопа ноги вашої ступить на ньому, Я дав вам, як Я говорив був Мойсеєві."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.4,Josh 1:4,3,"Від пустині й цього Ливану й аж до Великої Річки, річки Ефрату, увесь край хіттеян, і аж до Великого моря на захід буде ваша границя."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.5,Josh 1:5,4,"Не встоїть ніхто перед тобою по всі дні життя твого. Як був Я з Мойсеєм, так буду з тобою, не залишу тебе й не покину тебе."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.6,Josh 1:6,5,"Будь сильний та відважний, бо ти зробиш, що народ цей посяде той Край, що Я присягнув був їхнім батькам дати їм."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.7,Josh 1:7,6,"Тільки будь дуже сильний та відважний, щоб додержувати чинити за всім тим Законом, що наказав був тобі Мойсей, Мій раб, не відхилишся від нього ні праворуч, ні ліворуч, щоб щастило тобі в усьому, де ти будеш ходити."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.8,Josh 1:8,7,"Нехай книга цього Закону не відійде від твоїх уст, але будеш роздумувати про неї вдень та вночі, щоб додержувати чинити все, що написано в ній, бо тоді зробиш щасливими дороги свої, і тоді буде щастити тобі."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.9,Josh 1:9,8,"Чи ж не наказав Я тобі: будь сильний та відважний? Не бійся й не лякайся, бо з тобою Господь, Бог твій, у всьому, де ти будеш ходити."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.10,Josh 1:10,9,"І наказав Ісус урядникам народу, говорячи:"
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.11,Josh 1:11,10,"Перейдіть посеред табору, і накажіть народові, говорячи: Приготуйте собі поживу на дорогу, бо по трьох днях ви переходите цей Йордан, щоб увійти посісти той Край, що Господь, Бог ваш, дає вам його на спадщину."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.12,Josh 1:12,11,"А Рувимовому й Ґадовому та половині племени Манасіїного Ісус сказав, говорячи:"
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.13,Josh 1:13,12,"Пам'ятайте те слово, що вам наказав був Мойсей, раб Господній, говорячи: Господь, Бог ваш, що відпочинок дає вам, дав вам цей Край."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.14,Josh 1:14,13,"Ваші жінки, діти ваші та ваша худоба зостануться в Краї, що дав вам Мойсей по той бік Йордану, а ви перейдете озброєні перед вашими братами, усі сильні військові, і допоможете їм,"
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.15,Josh 1:15,14,"аж поки Господь не дасть відпочинку вашим братам, як вам, і посядуть і вони той Край, що Господь, Бог ваш, дає їм. І ви вернетеся до Краю вашого спадку, і посядете його, що дав вам Мойсей, раб Господній, по той бік Йордану на схід сонця."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.16,Josh 1:16,15,"А вони відповіли Ісусові, говорячи: Усе, що накажеш нам, ми зробимо, і до всього, куди пошлеш нас, підемо."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.17,Josh 1:17,16,"Усе так, як слухалися ми Мойсея, так будемо слухатися тебе, тільки нехай буде Господь, Бог твій, з тобою, як був Він із Мойсеєм."
uk,NPU,Josh,Josh,5,Josh.1,Josh 1,0,Josh.1.18,Josh 1:18,17,"Кожен, хто буде неслухняний наказам твоїм, і не буде слухатися слів твоїх щодо всього, що накажеш йому, нехай буде вбитий. Тільки будь сильний та відважний!"
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.1,Josh 2:1,0,"І послав Ісус, син Навинів, із Ситтіму двох таємних вивідувачів, говорячи: Ідіть, розгляньте цей Край та Єрихон. І вони пішли, і ввійшли до дому однієї блудниці, а ім'я їй Рахав. І переночували вони там."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.2,Josh 2:2,1,"І було донесено єрихонському цареві, говорячи: Ось цієї ночі прийшли сюди якісь люди з Ізраїлевих синів, щоб вивідати цей Край."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.3,Josh 2:3,2,"І послав єрихонський цар до Рахави, говорячи: Виведи тих людей, що до тебе прийшли, що ввійшли до твого дому, бо вони прийшли, щоб вивідати ввесь цей Край."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.4,Josh 2:4,3,"А та жінка взяла двох тих людей, та й сховала їх. І сказала: Так, приходили були до мене ті люди, та я не знала, звідки вони."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.5,Josh 2:5,4,"А коли замикалася брама зо смерком, то ті люди вийшли. Не знаю, куди ті люди пішли. Швидко женіться за ними, то ви доженете їх."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.6,Josh 2:6,5,"А вона відвела їх на дах, та й сховала їх у жмутах льону, що були зложені в неї на даху."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.7,Josh 2:7,6,"А ті люди погналися за ними йорданською дорогою аж до бродів; а браму замкнули, як тільки вийшла погоня за ними."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.8,Josh 2:8,7,"І поки вони лягли спати, то вона ввійшла до них на дах,"
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.9,Josh 2:9,8,"і сказала до тих людей: Я знаю, що Господь дав вам цей Край, і що жах перед вами напав на нас, і що всі мешканці цього Краю умлівають зо страху перед вами."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.10,Josh 2:10,9,"Бо ми чули те, що Господь висушив воду Червоного моря перед вами, коли ви виходили з Єгипту, і що зробили ви обом аморейським царям, що по той бік Йордану, Сигонові та Оґові, яких ви вчинили закляттям."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.11,Josh 2:11,10,"І чули ми це, і зомліло наше серце, і не стало вже духу в людини зо страху перед вами, бо Господь, Бог ваш, Він Бог на небесах угорі й на землі долі!"
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.12,Josh 2:12,11,"А тепер присягніть мені Господом, що як я вчинила з вами милість, так зробите й ви милість з домом батька мого, і дасте мені правдивого знака."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.13,Josh 2:13,12,"І зоставите при житті батька мого, і матір мою, і братів моїх, і сестер моїх, і все, що їхнє, і врятуєте наше життя від смерти."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.14,Josh 2:14,13,"І сказали їй ті люди: Душа наша за вас нехай віддана буде на смерть, якщо ви не відкриєте цієї нашої справи. І буде, коли Господь передаватиме нам оцей Край, то ми вчинимо тобі милість та правду."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.15,Josh 2:15,14,"І вона спустила їх шнуром через вікно, бо дім її був у стіні міського муру, і в мурі вона жила."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.16,Josh 2:16,15,"І сказала вона їм: Ідіть на гору, щоб не спіткала вас погоня. І ховайтеся там три дні, аж поки не вернеться погоня, а потому підете своєю дорогою."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.17,Josh 2:17,16,"І сказали до неї ті люди: Ми будемо чисті від цієї присяги тобі, що ти заприсягла нас, якщо ти не вчиниш так."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.18,Josh 2:18,17,"Оце, як ми будемо входити до Краю, то ти прив'яжеш шнурка з цієї нитки червені в вікні, що ти ним нас спустила. А батька свого, і матір свою, і братів своїх, і ввесь дім свого батька збереш до себе до дому."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.19,Josh 2:19,18,"І буде, усі, хто вийде з дверей твого дому назовні, кров його на голові його, а ми чисті. А всі, хто буде в домі з тобою, кров його на голові нашій, якщо наша рука буде на ньому."
uk,NPU,Josh,Josh,5,Josh.2,Josh 2,1,Josh.2.20,Josh 2:20,19,"А коли ти відкриєш цю нашу справу, то ми будемо чисті від присяги тобі, якою ти заприсягла нас."
