languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.1,2Sam 1:1,0,"І сталося по Сауловій смерті, коли Давид вернувся, розбивши Амалика, то він сидів у Ціклаґу два дні."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.2,2Sam 1:2,1,"І сталося третього дня, аж ось прийшов чоловік із табору від Саула, а одежа його роздерта, і порох на його голові. І сталося, як прийшов він до Давида, то впав на землю й поклонився."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.3,2Sam 1:3,2,І сказав йому Давид: Звідки це ти приходиш? А той відказав: Я втік з Ізраїлевого табору.
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.4,2Sam 1:4,3,"І сказав до нього Давид: Що це сталося, розкажи но мені! А той відказав: Народ утік із бою, а також багато з народу попадало й повмирало, і теж Саул та син його Йонатан померли."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.5,2Sam 1:5,4,"А Давид сказав юнакові, що розповідав йому: Як ти пізнав, що помер Саул та син його Йонатан?"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.6,2Sam 1:6,5,"І сказав той юнак, що розповідав йому: Припадком натрапив я на горі Ґілбоа, аж ось Саул, настромлений на списа свого, а колесниці та їздці доганяють його."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.7,2Sam 1:7,6,"І він обернувся до мене, і побачив мене, та й покликав мене. А я відповів: Ось я!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.8,2Sam 1:8,7,І сказав він до мене: Хто ти? А я відказав йому: Я амаликитянин.
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.9,2Sam 1:9,8,"І сказав він до мене: Стань надо мною, та й убий мене, бо схопив мене корч, а вся душа ще в мені!..."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.10,2Sam 1:10,9,"І став я при ньому, та й убив його, бо я знав, що він не буде живий по упадку своїм. І взяв я вінця, що на голові його, та наплечника, що на плечі його, і приніс сюди до пана свого."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.11,2Sam 1:11,10,"І схопився Давид за одежі свої, та й роздер їх, і теж усі люди, що були з ним."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.12,2Sam 1:12,11,"І голосили вони й плакали, та постили аж до вечора за Саулом та за сином його Йонатаном, і за народом Господнім та за Ізраїлевим домом, що попадали від меча."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.13,2Sam 1:13,12,"І сказав Давид юнакові, що розповідав йому: Звідки ти? А той відказав: Я син одного приходька, амаликитянина."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.14,2Sam 1:14,13,"І сказав йому Давид: Як ти не побоявся простягти руку свою, щоб убити Господнього помазанця?"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.15,2Sam 1:15,14,"І покликав Давид одного з слуг своїх і сказав: Підійди, убий його! І той ударив його, і він помер."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.16,2Sam 1:16,15,"І сказав до нього Давид: Кров твоя на голові твоїй, бо уста твої посвідчили проти тебе, говорячи: Я вбив Господнього помазанця."
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.17,2Sam 1:17,16,"І Давид заголосив за Саулом та за його сином Йонатаном такою жалобною піснею,"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.18,2Sam 1:18,17,та й сказав навчити Юдиних синів пісні про лука. Ось вона написана в книзі Праведного:
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.19,2Sam 1:19,18,"О пишното Ізраїлева, побита із лука на згір'ях своїх, ой попадали лицарі!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.20,2Sam 1:20,19,"Не розказуйте в Ґаті про це, не сповіщайте на вулицях Ашкалону, щоб не тішилися филистимлянські дочки, щоб не раділи дочки необрізаних!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.21,2Sam 1:21,20,"Ґілбоавські гори, щоб на вас не було ні роси, ні дощу, ані поля для жертви принесення! Бо сплямлений там щит хоробрих, щит Саулів, як ніби оливою він не помазаний!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.22,2Sam 1:22,21,"Від крови забитих, від лою хоробрих не відривався був лук Йонатанів, і не вертався меч Саулів напорожньо!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.23,2Sam 1:23,22,"Саул та Йонатан, ці улюблені й милі за свойого життя, і в смерті своїй нерозлучні, прудкіші були від орлів та сильніші від левів!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.24,2Sam 1:24,23,"Дочки Ізраїлеві, за Саулом заплачте, що вас зодягав у багряницю з прикрасами, що оздоблював золотом вашу одежу!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.25,2Sam 1:25,24,"Ой, попадали лицарі посеред бою!... Йонатан на пагірках твоїх ось забитий!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.26,2Sam 1:26,25,"Скорблю по тобі, Йонатане, мій брате! Ти для мене був вельми улюблений, кохання твоє розкішніше для мене було від кохання жіночого!"
uk,NPU,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.27,2Sam 1:27,26,"Ой, попадали лицарі, і загинула зброя військова!..."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.1,2Sam 2:1,0,"І сталося потому, і запитався Давид Господа, говорячи: Чи йти мені в одне з Юдиних міст? А Господь відказав йому: Іди! І сказав Давид: Куди я піду? А Він відказав: У Хеврон!"
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.2,2Sam 2:2,1,"І ввійшов туди Давид, а також дві жінки його: їзреелітка Ахіноам та Авіґаїл, колишня жінка кармелянина Навала."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.3,2Sam 2:3,2,"І людей своїх, що були з ним, привів Давид кожного та дім його, і вони осілися по хевронських містах."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.4,2Sam 2:4,3,"І посходилися Юдині мужі, і помазали там Давида царем над Юдиним домом. А Давидові розповіли, кажучи: Люди ґілеадського Явешу поховали Саула."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.5,2Sam 2:5,4,"І послав Давид людей до ґілеадського Явешу, і сказав до них: Благословенні ви для Господа, що зробили цю милість із своїм паном, із Саулом, та поховали його!"
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.6,2Sam 2:6,5,"А тепер нехай Господь зробить вам милість та правду, і я теж зроблю вам те добро за те, що ви зробили цю річ."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.7,2Sam 2:7,6,"А тепер нехай зміцняться ваші руки, і будьте мужні, бо помер пан ваш Саул, а також Юдин дім помазав мене царем над собою."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.8,2Sam 2:8,7,"А Авнер, Нерів син, провідник Саулового війська, узяв Іш-Бошета, Саулового сина, та й привів його до Маханаїму."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.9,2Sam 2:9,8,"І він настановив його царем над Ґілеадом, і над Ашуреянином, і над Їзреелем, і над Єфремом, і над Веніямином, і над усім Ізраїлем."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.10,2Sam 2:10,9,"Іш-Бошет, Саулів син, був віку сорока літ, коли зацарював над Ізраїлем, і царював два роки, тільки дім Юди був за Давидом."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.11,2Sam 2:11,10,"А число днів, що Давид був царем у Хевроні над Юдиним домом, сім літ і шість місяців."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.12,2Sam 2:12,11,"І вийшов Авнер, Нерів син, та слуги Іш-Бошета, Саулового сина, з Маханаїму до Ґів'ону."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.13,2Sam 2:13,12,"А Йоав, син Церуї, та Давидові слуги вийшли й зустріли їх разом при ґів'онському ставі. І засіли вони ті з того боку ставу, а ті з цього боку ставу."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.14,2Sam 2:14,13,"І сказав Авнер до Йоава: Нехай встануть ці юнаки, і побавляться перед нами! І сказав Йоав: Нехай встануть."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.15,2Sam 2:15,14,"І встали, і перейшли в числі дванадцяти для Веніямина та для Іш-Бошета, Саулового сина, та дванадцять із Давидових слуг."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.16,2Sam 2:16,15,"І схопили один одного за голову, та й всадили свого меча до боку один одного, і попадали разом. І назвали ім'я тому місцю: Хелкат-Гаццурім, що в Ґів'оні."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.17,2Sam 2:17,16,"І знявся того дня дуже жорстокий бій, і був побитий Авнер та Ізраїлеві люди Давидовими слугами."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.18,2Sam 2:18,17,"І були там три сини Церуї: Йоав, і Авішай, і Асаїл. А Асаїл був легкий в ногах своїх, як польова та газеля."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.19,2Sam 2:19,18,"І гнався Асаїл за Авнером, і не збочував, ані праворуч, ані ліворуч із погоні за Авнером."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.20,2Sam 2:20,19,"І обернувся Авнер позад себе й сказав: Чи це ти, Асаїле? А той відказав: Я."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.21,2Sam 2:21,20,"І сказав йому Авнер: Збоч собі на правицю свою чи на лівицю свою, і схопи собі одного із слуг, і візьми собі зброю його. Та не хотів Асаїл спинити погоні за ним."
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.22,2Sam 2:22,21,А Авнер знов говорив до Асаїла: Спинися в гонитві за мною! Нащо я вб'ю тебе? І як зведу я обличчя своє до брата твого Йоава?
uk,NPU,2Sam,2Sam,9,2Sam.2,2Sam 2,1,2Sam.2.23,2Sam 2:23,22,"А той відмовився спинитися. І вдарив його Авнер заднім кінцем списа в живіт, і спис вийшов іззаду його! І впав він там, і помер на місці... І сталося, кожен, хто приходив до того місця, де впав Асаїл та помер, то спинявся."
