languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.1,Ezra 1:1,0,"А першого року Кіра, царя перського, щоб сповнилось слово Господнє, проречене устами Єреміїними, збудив Господь духа Кіра, царя перського, і він оголосив по всьому царству своєму, а також на письмі, говорячи:"
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.2,Ezra 1:2,1,"Так говорить Кір, цар перський: Усі земні царства дав мені Господь, Бог Небесний, і Він наказав мені збудувати Йому храма в Єрусалимі, що в Юдеї."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.3,Ezra 1:3,2,"Хто між вами з усього Його народу, нехай буде Бог його з ним, і нехай він іде до Єрусалиму, що в Юдеї, і нехай будує дім Господа, Бога Ізраїлевого. Це той Бог, що в Єрусалимі."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.4,Ezra 1:4,3,"А кожному позосталому по всіх тих містах, хто мешкає там, нехай допоможуть йому люди його місця сріблом, і золотом, і маєтком, і худобою, з добровільною жертвою для дому Божого, що в Єрусалимі."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.5,Ezra 1:5,4,"І повставали голови батьківських родів Юди та Веніямина, і священики, і Левити, аж до всякого, що Бог збудив духа його, щоб піти будувати дім Господа, що в Єрусалимі."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.6,Ezra 1:6,5,"А все їхнє довкілля зміцнило їм руки речами срібними та золотими, маєтком, і худобою, і коштовностями, окрім того, що хто пожертвував був добровільно."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.7,Ezra 1:7,6,"А цар Кір повиносив речі Господнього дому, які забрав був Навуходоносор з Єрусалиму, і дав їх до дому бога свого,"
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.8,Ezra 1:8,7,"і повиносив їх Кір, цар перський, рукою скарбника Мітредата, а той відрахував їх Шешбаццарові, Юдиному начальникові."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.9,Ezra 1:9,8,"І оце їхнє число: мисок золотих тридцять, мисок срібних тисяча, ножів двадцять і дев'ять,"
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.10,Ezra 1:10,9,"келіхів золотих тридцять, келіхів срібних подвійних чотири сотні й десять, посуду іншого тисяча."
uk,NPU,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.11,Ezra 1:11,10,"Усього золотого й срібного посуду п'ять тисяч і чотири сотні. Усе це завіз Шешбаццар, коли вигнанці верталися з Вавилону до Єрусалиму."
uk,NPU,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.1,Ezra 2:1,0,"А оце виходьки з округи, що прийшли з полону вигнання, яких вигнав був Навуходоносор, цар вавилонський, до Вавилону, і вони повернулися до Єрусалиму та Юдеї, кожен до міста свого,"
