languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.1,Neh 1:1,0,"Слова Неемії, Гахаліїного сина: І сталося в місяці кіслеві двадцятого року, і був я в замку Шушан."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.2,Neh 1:2,1,"І прийшов Ханані, один із братів моїх, він та люди з Юдеї. І запитався я їх про юдеїв, що врятувалися, що позостали від полону, та про Єрусалим."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.3,Neh 1:3,2,"А вони сказали мені: Позосталі, що лишилися з полону, там в окрузі, живуть у великій біді та в ганьбі, а мур Єрусалиму поруйнований, а брами його попалені огнем..."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.4,Neh 1:4,3,"І сталося, як почув я ці слова, сів я та й плакав, і був у жалобі кілька днів, і постив, і молився перед лицем Небесного Бога."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.5,Neh 1:5,4,"І сказав я: Молю Тебе, Господи, Боже Небесний, Боже великий та грізний, що дотримуєш заповіта та милість для тих, хто любить Тебе та дотримуєш заповіді Свої,"
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.6,Neh 1:6,5,"нехай же буде ухо Твоє чутке, а очі Твої відкриті, щоб прислухуватися до молитви раба Твого, якою я молюся сьогодні перед Твоїм лицем день та ніч за Ізраїлевих синів, Твоїх рабів, і сповідаюся в гріхах Ізраїлевих синів, якими грішили ми проти Тебе, і я і дім батька мого грішили!"
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.7,Neh 1:7,6,"Ми сильно провинилися перед Тобою, і не дотримували заповідей, і уставів, і прав, які наказав Ти Мойсеєві, рабові Своєму."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.8,Neh 1:8,7,"Пам'ятай же те слово, що Ти наказав був Мойсеєві, Своєму рабові, говорячи: як ви спроневіритеся, Я розпорошу вас поміж народами!"
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.9,Neh 1:9,8,"Та коли навернетеся до Мене, і будете дотримувати заповіді Мої й виконувати їх, то якщо будуть ваші вигнанці на краю небес, то й звідти позбираю їх, і приведу до того місця, яке Я вибрав, щоб там перебувало Ім'я Моє!"
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.10,Neh 1:10,9,"А вони раби Твої та народ Твій, якого Ти викупив Своєю великою силою та міцною Своєю рукою."
uk,NPU,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.11,Neh 1:11,10,"Молю Тебе, Господи, нехай же буде ухо Твоє чутке до молитви Твойого раба та до молитви Твоїх рабів, що прагнуть боятися Ймення Твого! І дай же сьогодні успіху Своєму рабові, і дай знайти милосердя перед оцим мужем! А я був чашником царевим."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.1,Neh 2:1,0,"І сталося в місяці нісані, двадцятого року царя Артаксеркса, було раз вино перед ним. І взяв я те вино й дав цареві. І я, здавалося, не був сумний перед ним."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.2,Neh 2:2,1,"Та сказав мені цар: Чому обличчя твоє сумне, чи ти не хворий? Це не інше що, як тільки сум серця... І я вельми сильно злякався!"
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.3,Neh 2:3,2,"І сказав я до царя: Нехай цар живе навіки! Чому не буде сумне обличчя моє, коли місто дому гробів батьків моїх поруйноване, а брами його попалені огнем!..."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.4,Neh 2:4,3,"І сказав мені цар: Чого ж ти просиш? І я помолився до Небесного Бога,"
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.5,Neh 2:5,4,"і сказав цареві: Якщо це цареві вгодне, і якщо раб твій уподобаний перед обличчям твоїм, то пошли мене до Юдеї, до міста гробів батьків моїх, і я відбудую його!"
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.6,Neh 2:6,5,"І сказав мені цар (а цариця сиділа при ньому): Скільки часу буде дорога твоя, і коли ти повернешся? І сподобалось це цареві, і він послав мене, а я призначив йому час."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.7,Neh 2:7,6,"І сказав я цареві: Якщо це цареві вгодне, нехай дадуть мені листи до намісників Заріччя, щоб провадили мене, аж поки не прийду до Юдеї,"
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.8,Neh 2:8,7,"і листа до Асафа, дозорця царевого лісу, щоб дав мені дерева на брусся для замкових брам, що належать до Божого дому, і для міського муру, і для дому, що до нього ввійду. І дав мені цар в міру того, як добра була Божа рука надо мною."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.9,Neh 2:9,8,"І прибув я до намісників Заріччя, і дав їм цареві листи. А цар послав зо мною зверхників війська та верхівців."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.10,Neh 2:10,9,"І почув про це хоронянин Санваллат та раб аммонітянин Товія, і було їм прикро, дуже прикро, що прийшов чоловік клопотатися про добро для Ізраїлевих синів."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.11,Neh 2:11,10,"І прийшов я до Єрусалиму, і був там три дні."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.12,Neh 2:12,11,"І встав я вночі, я та трохи людей зо мною, і не розповів я нікому, що Бог мій дав до мого серця зробити для Єрусалиму. А худоби не було зо мною, окрім тієї худоби, що я нею їздив."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.13,Neh 2:13,12,"І вийшов я Долинною брамою вночі, і пішов до джерела Таннін, і до брами Смітникової. І я докладно оглянув мури Єрусалиму, що були поруйновані, а брами його були попалені огнем."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.14,Neh 2:14,13,"І перейшов я до Джерельної брами та до царського ставу, та там не було місця для переходу худоби, що була підо мною."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.15,Neh 2:15,14,"І йшов я долиною вночі, і докладно оглядав мура. Потім я вернувся, і ввійшов Долинною брамою, і вернувся."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.16,Neh 2:16,15,"А заступники не знали, куди я пішов та що я роблю, а юдеям, і священикам, і шляхті, і заступникам, і решті тих, що робили працю, я доти нічого не розповідав."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.17,Neh 2:17,16,"І сказав я до них: Ви бачите біду, що ми в ній, що Єрусалим зруйнований, а брами його попалені огнем. Ідіть, і збудуйте мура Єрусалиму, і вже не будемо ми ганьбою!..."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.18,Neh 2:18,17,"І розповів я їм про руку Бога мого, що вона добра до мене, а також слова царя, які сказав він мені. І сказали вони: Станемо й збудуємо! І зміцнили вони руки свої на добре діло."
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.19,Neh 2:19,18,"І почув це хоронянин Санваллат та аммонітянин раб Товія, і араб Ґешем, і сміялися з нас, і погорджували нами й говорили: Що це за річ, яку ви робите? Чи проти царя ви бунтуєтесь?"
uk,NPU,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.20,Neh 2:20,19,"А я їм відповів і сказав до них: Небесний Бог Він дасть нам успіх, а ми, Його раби, станемо й збудуємо! А вам нема ані частки, ані права, ані пам'ятки в Єрусалимі!"
uk,NPU,Neh,Neh,15,Neh.3,Neh 3,2,Neh.3.1,Neh 3:1,0,"І встав Еліяшів, первосвященик, та брати його священики, і збудували Овечу браму. Вони освятили її, і повставляли її двері, й аж до башти Меа освятили її, аж до башти Ханан'їла."
uk,NPU,Neh,Neh,15,Neh.3,Neh 3,2,Neh.3.2,Neh 3:2,1,"А поруч нього будували єрихоняни, а поруч них будував Заккур, син Імріїв."
uk,NPU,Neh,Neh,15,Neh.3,Neh 3,2,Neh.3.3,Neh 3:3,2,"А браму Рибну збудували сини Сенаїні, і вони покрили її бруссями, і повставляли двері її, замки її та засуви її."
uk,NPU,Neh,Neh,15,Neh.3,Neh 3,2,Neh.3.4,Neh 3:4,3,"А поруч них направляв Меремот, син Урії, Коцового сина, а поруч них направляв Мешуллам, син Берехії, Мешав'їлового сина, а поруч них направляв Садок, Баанин син."
