languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.1,Esth 1:1,0,"І сталося за днів Ахашвероша, це той Ахашверош, що царював від Індії аж до Етіопії, сто й двадцять і сім округ,"
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.2,Esth 1:2,1,"за тих днів, коли цар Ахашверош засів на троні свого царства, на замку Сузи."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.3,Esth 1:3,2,"Третього року свого царювання справив він гостину для всіх своїх князів та для своїх слуг війська перського та мідійського, старших та правителів округ,"
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.4,Esth 1:4,3,"показуючи багатство слави царства свого й пишну славу своєї величности довгі дні, сто й вісімдесят день."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.5,Esth 1:5,4,"А по скінченні цих днів справив цар для всього народу, що знаходився в замку Сузи, від великого й аж до малого, гостину на сім день на садковому подвір'ї царського палацу."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.6,Esth 1:6,5,"Біла, зелена та блакитна тканина, тримана віссоновими та пурпуровими шнурами, висіла на срібних стовпцях та мармурових колонах. Золоті та срібні ложа стояли на підлозі з плиток з зеленого, білого, жовтого й чорного мармуру."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.7,Esth 1:7,6,"А напої подавали в золотому посуді, в посуді все різному, і царського вина було вельми щедро, за великою спроможністю царя."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.8,Esth 1:8,7,"А пиття було за встановленим порядком, ніхто не примушував, бо цар так установив усім значним свого дому, щоб чинили за вподобою кожного."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.9,Esth 1:9,8,Також цариця Вашті справила гостину для жінок в царському домі царя Ахашвероша.
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.10,Esth 1:10,9,"Сьомого дня, коли цареві стало весело на серці від вина, він сказав Мегуманові, Біззеті, Харвоні, Біґті, і Аваґті, Зетарові та Каркасові, сімом евнухам, які служили перед обличчям царя Ахашвероша,"
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.11,Esth 1:11,10,"привести царицю Вашті перед цареве обличчя в короні царській, щоб показати народам та зверхникам її красу, бо була вона вродливого вигляду."
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.12,Esth 1:12,11,"Та цариця Вашті відмовилася прийти за царським словом, що було передане їй через евнухів. І сильно загнівався цар, і в ньому горіла його лютість!"
uk,NPU,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.13,Esth 1:13,12,"І сказав цар до мудреців, що знають часи бо так царська справа йшла перед усіма, що знали закона та право,"
