languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.1,Job 1:1,0,"Був чоловік у країні Уц, на ім'я йому Йов. І був чоловік цей невинний та праведний, і він Бога боявся, а від злого втікав."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.2,Job 1:2,1,І народилися йому семеро синів та три дочки.
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.3,Job 1:3,2,"А маєток його був: сім тисяч худоби дрібної, і три тисячі верблюдів, і п'ять сотень пар худоби великої, і п'ять сотень ослиць та дуже багато рабів. І був цей чоловік більший від усіх синів сходу."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.4,Job 1:4,3,"А сини його ходили один до одного, і справляли гостину в домі того, чий був день. І посилали вони, і кликали трьох своїх сестер, щоб їсти та пити із ними."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.5,Job 1:5,4,"І бувало, як миналося коло бенкетних днів, то Йов посилав за дітьми й освячував їх, і вставав він рано вранці, і приносив цілопалення за числом їх усіх, бо Йов казав: Може згрішили сини мої, і зневажили Бога в серці своєму. Так робив Йов по всі дні."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.6,Job 1:6,5,"І сталося одного дня, і поприходили Божі сини, щоб стати при Господі. І прийшов поміж ними й сатана."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.7,Job 1:7,6,І сказав Господь до сатани: Звідки ти йдеш? А сатана відповів Господеві й сказав: Я мандрував по землі та й перейшов її.
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.8,Job 1:8,7,"І сказав Господь до сатани: Чи звернув ти увагу на раба Мого Йова? Бо немає такого, як він, на землі: муж він невинний та праведний, що Бога боїться, а від злого втікає."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.9,Job 1:9,8,І відповів сатана Господеві й сказав: Чи ж Йов дармо боїться Бога?
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.10,Job 1:10,9,"Чи ж Ти не забезпечив його, і дім його, і все, що його? Чин його рук Ти поблагословив, а маєток його поширився по краю."
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.11,Job 1:11,10,"Але простягни тільки руку Свою, і доторкнися до всього, що його, чи він не зневажить Тебе перед лицем Твоїм?"
uk,NPU,Job,Job,17,Job.1,Job 1,0,Job.1.12,Job 1:12,11,"І сказав Господь до сатани: Ось усе, що його, у твоїй руці, тільки на нього самого не простягай своєї руки! І пішов сатана від лиця Господнього."
