languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.1,Prov 1:1,0,"Приповісті Соломона, сина Давидового, царя Ізраїлевого,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.2,Prov 1:2,1,"щоб пізнати премудрість і карність, щоб зрозуміти розсудні слова,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.3,Prov 1:3,2,"щоб прийняти напоумлення мудрости, праведности, і права й простоти,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.4,Prov 1:4,3,"щоб мудрости дати простодушним, юнакові пізнання й розважність."
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.5,Prov 1:5,4,"Хай послухає мудрий і примножить науку, а розумний здобуде хай мудрих думок,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.6,Prov 1:6,5,"щоб пізнати ту приповість та загадкове говорення, слова мудреців та їхні загадки."
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.7,Prov 1:7,6,"Страх Господній початок премудрости, нерозумні погорджують мудрістю та напучуванням."
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.8,Prov 1:8,7,"Послухай, мій сину, напучення батька свого, і не відкидай науки матері своєї,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.9,Prov 1:9,8,"вони бо хороший вінок для твоєї голови, і прикраса на шию твою."
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.10,Prov 1:10,9,"Мій сину, як грішники будуть тебе намовляти, то з ними не згоджуйся ти!"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.11,Prov 1:11,10,"Якщо скажуть вони: Ходи з нами, чатуймо на кров, безпричинно засядьмо на неповинного,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.12,Prov 1:12,11,"живих поковтаймо ми їх, як шеол, та здорових, як тих, які сходять до гробу!"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.13,Prov 1:13,12,"Ми знайдемо всіляке багатство цінне, переповнимо здобиччю наші хати."
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.14,Prov 1:14,13,"Жеребок свій ти кинеш із нами, буде саква одна для всіх нас,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.15,Prov 1:15,14,"сину мій, не ходи ти дорогою з ними, спини ногу свою від їхньої стежки,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.16,Prov 1:16,15,"бо біжать їхні ноги на зло, і поспішають, щоб кров проливати!"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.17,Prov 1:17,16,Бож надармо поставлена сітка на очах усього крилатого:
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.18,Prov 1:18,17,"то вони на кров власну чатують, засідають на душу свою!"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.19,Prov 1:19,18,"Такі то дороги усіх, хто заздрий чужого добра: воно бере душу свого власника!"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.20,Prov 1:20,19,"Кличе мудрість на вулиці, на площах свій голос дає,"
uk,NPU,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.21,Prov 1:21,20,"на шумливих місцях проповідує, у місті при входах до брам вона каже слова свої:"
