languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.1,Jer 1:1,0,"Слова Єремії, сина Хілкійїного, з священиків, що в Анатоті, у Веніяминовому краї,"
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.2,Jer 1:2,1,"що було до нього Господнє слово за днів Йосії, Амонового сина, Юдиного царя, тринадцятого року його царювання."
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.3,Jer 1:3,2,"І було воно й за днів Єгоякима, сина Йосіїного, Юдиного царя, аж до кінця одинадцятого року Седекії, сина Йосіїного, Юдиного царя, аж до виходу Єрусалиму на вигнання в п'ятому місяці."
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.4,Jer 1:4,3,"І прийшло мені слово Господнє, говорячи:"
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.5,Jer 1:5,4,"Ще поки тебе вформував в утробі матерній, Я пізнав був тебе, і ще поки ти вийшов із нутра, тебе посвятив, дав тебе за пророка народам!"
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.6,Jer 1:6,5,"А я відповів: О, Господи, Боже, таж я промовляти не вмію, бо я ще юнак!..."
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.7,Jer 1:7,6,"Господь же мені відказав: Не кажи: Я юнак, бо ти підеш до всіх, куди тільки пошлю Я тебе, і скажеш усе, що тобі накажу."
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.8,Jer 1:8,7,"Не лякайсь перед ними, бо Я буду з тобою, щоб тебе рятувати, говорить Господь!"
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.9,Jer 1:9,8,"І простяг Господь руку Свою, і доторкнувсь моїх уст та й до мене сказав: Ось Я дав в твої уста слова Мої!"
uk,NPU,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.10,Jer 1:10,9,"Дивись, Я сьогодні призначив тебе над народами й царствами, щоб виривати та бурити, і щоб губити та руйнувати, щоб будувати й насаджувати!"
