languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.1,Hos 1:1,0,"Слово Господнє, що було до Осії, Беерового сина, за днів Уззійї, Йотама, Ахаза, Єзекії, Юдиних царів, та за днів Єровоама, Йоашового сина, Ізраїлевого царя."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.2,Hos 1:2,1,"Початок того, що Господь говорив через Осію. І сказав Господь до Осії: Іди, візьми собі жінку блудливу, і вона породить дітей блуду, бо сильно блудодіє цей Край, відступивши від Господа."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.3,Hos 1:3,2,"І він пішов, і взяв Ґомер, дочку Дівлаїма, і вона зачала, і породила йому сина."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.4,Hos 1:4,3,"І сказав Господь до нього: Назви ім'я йому Їзреел, бо ще трохи, і покараю кров Їзреелу на домі Єгу, і вчиню кінець царству Ізраїлевого дому."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.5,Hos 1:5,4,"І станеться того дня, і Я зламаю Ізраїлевого лука в долині Їзреел."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.6,Hos 1:6,5,"І зачала вона ще, і породила дочку. І сказав Він йому: Назви ім'я їй Ло-Рухама, бо більше Я вже не змилуюся над Ізраїлевим домом, бо вже більше не прощу Я їм."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.7,Hos 1:7,6,"А над Юдиним домом Я змилуюся, і допоможу їм через Господа, їхнього Бога, але не допоможу їм ані луком, ані мечем, ані війною, кіньми чи верхівцями."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.8,Hos 1:8,7,"І відлучила вона Ло-Рухаму, і зачала знову, і породила сина."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.9,Hos 1:9,8,"А Він сказав: Назви ім'я йому Ло-Аммі, бо ви не народ Мій, і Я не буду ваш!"
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.10,Hos 1:10,9,"(2-1) І буде число Ізраїлевих синів, як морський пісок, що його не можна ані зміряти, ані злічити. І станеться, замість того, що говориться їм: Ви не народ Мій, буде їм сказано: Ви сини Бога Живого."
uk,NPU,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.11,Hos 1:11,10,"(2-2) І будуть зібрані разом сини Юдині та сини Ізраїлеві, і настановлять собі одного голову, і повиходять з землі, бо великий день Їзреелу."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.1,Hos 2:1,0,"(2-3) Скажіть своїм братам: Народ Мій, а своїм сестрам: Помилувана."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.2,Hos 2:2,1,"(2-4) Судіться з вашою матір'ю, судіться, бо вона не жінка Моя, а Я не її чоловік, і нехай вона відкине від себе свій блуд, і з-поміж своїх перс свій перелюб,"
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.3,Hos 2:3,2,"(2-5) щоб Я не роздягнув її до нага, і не поставив її такою, як у день її народження, і щоб не зробив Я її пустинею, і не обернув її на суху землю, і не забив її спрагою."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.4,Hos 2:4,3,"(2-6) Над синами ж її Я не змилуюся, бо вони сини блуду,"
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.5,Hos 2:5,4,"(2-7) бо їхня мати блудлива була, та, що ними була вагітна, сором чинила, бо казала вона: Я піду за своїми полюбовниками, що дають мені хліб мій та воду мою, мою вовну та льон мій, оливу мою та напої мої."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.6,Hos 2:6,5,"(2-8) Тому то ось Я вкрию твою дорогу тернями, і обгороджу її огорожею, і стежок своїх не знайде вона."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.7,Hos 2:7,6,"(2-9) І буде вона гнатися за своїми полюбовниками, але не дожене їх, і буде шукати їх, та не знайде. І скаже вона: Піду я, і вернуся до мого першого чоловіка, бо краще було мені тоді, як тепер."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.8,Hos 2:8,7,"(2-10) А вона не знає, що то Я давав їй збіжжя, і виноградний сік, і свіжу оливу, і примножив їй срібло та золото, яке вони звернули на Ваала."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.9,Hos 2:9,8,"(2-11) Тому то заберу назад Своє збіжжя в його часі, а Мій сік виноградний в його умовленому часі, і заберу Свою вовну та Свій льон, що був на покриття її наготи."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.10,Hos 2:10,9,"(2-12) А тепер відкрию її наготу на очах її коханців, і ніхто не врятує її від Моєї руки."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.11,Hos 2:11,10,"(2-13) І зроблю кінець усякій радості її, святу її, новомісяччю її, і суботі її, та всякому святковому часові."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.12,Hos 2:12,11,"(2-14) І спустошу її виноградника та її фіґове дерево, про які вона говорила: Це мені дар за блудодійство, що дали мені мої полюбовники. А Я оберну їх на ліс, і їх пожере польова звірина!"
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.13,Hos 2:13,12,"(2-15) І навіщу її за дні Ваалів, коли вона кадила. І приоздоблювалася ти своєю носовою сережкою та своїм нашийником, і ходила за своїми полюбовниками, а Мене забувала, говорить Господь."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.14,Hos 2:14,13,"(2-16) Тому то ось Я намовлю її, і попроваджу її до пустині, і буду говорити до серця її."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.15,Hos 2:15,14,"(2-17) І дам їй виноградники звідти та долину Ахор за двері надії, і вона буде там співати, як за днів своєї молодости, як за дня виходу її з єгипетського краю."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.16,Hos 2:16,15,"(2-18) І станеться, того дня говорить Господь ти кликатимеш: Чоловіче мій, і не будеш більше кликати Мене: Мій ваале."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.17,Hos 2:17,16,"(2-19) І усуну імена Ваалів з її уст, і вони не будуть більше згадувані своїм іменем."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.18,Hos 2:18,17,"(2-20) І складу їм заповіта того дня з польовою звіриною, і з птаством небесним, та з плазуючим по землі, і лука й меча та війну знищу з землі, і покладу їх безпечно."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.19,Hos 2:19,18,"(2-21) І заручуся з тобою навіки, і заручуся з тобою справедливістю, і правосуддям, і милістю та любов'ю."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.20,Hos 2:20,19,"(2-22) І заручуся з тобою вірністю, і ти пізнаєш Господа."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.21,Hos 2:21,20,"(2-23) І станеться того дня, Я почую, говорить Господь, почую небо, а воно почує землю,"
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.22,Hos 2:22,21,"(2-24) а земля задоволить збіжжя, і виноградний сік, і оливу, а вони задовольнять Їзреела."
uk,NPU,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.23,Hos 2:23,22,"(2-25) І обсію її Собі на землі, і змилуюся над Ло-Рухамою, і скажу до Ло-Амі: Ти народ Мій, а він скаже: Мій Боже!"
uk,NPU,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.1,Hos 3:1,0,"І сказав Господь мені ще: Іди, покохай жінку, кохану приятелем, але перелюбну, подібно, як любить Господь Ізраїлевих синів, а вони звертаються до інших богів, і кохаються у виноградних коржиках."
uk,NPU,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.2,Hos 3:2,1,І я купив її собі за п'ятнадцять шеклів срібла й хомер ячменю та летех ячменю.
uk,NPU,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.3,Hos 3:3,2,"І сказав я до неї: Сиди довгі дні в мене, не будь блудлива, і не будь нічия, також і я буду такий до тебе."
uk,NPU,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.4,Hos 3:4,3,"Бо Ізраїлеві сини будуть сидіти довгі дні без царя та без князя, і без жертви та без камінного стовпа, і без ефода та без домашніх божків."
uk,NPU,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.5,Hos 3:5,4,"Потому Ізраїлеві сини навернуться, і будуть шукати Господа, Бога свого, та царя свого Давида, і за останніх днів з тремтінням обернуться до Господа та до Його добра."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.1,Hos 4:1,0,"Послухайте слова Господнього, Ізраїлеві сини, бо Господь має прю із мешканцями земними, бо нема на землі ані правди, ні милости, ані богопізнання."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.2,Hos 4:2,1,"Клянуть та неправду говорять, і вбивають та крадуть, і чинять перелюб, поставали насильниками, а кров доторкається крови."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.3,Hos 4:3,2,"Тому то в жалобу земля упаде, і стане нещасним усякий мешканець на ній з польовою звіриною й з птаством небесним, і також морські риби погинуть."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.4,Hos 4:4,3,"Та тільки ніхто хай не свариться, і хай не плямує ніхто! А народ Мій як суперечник з священиком."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.5,Hos 4:5,4,"І спіткнешся ти вдень, і спіткнеться з тобою й пророк уночі, і знищу Я матір твою!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.6,Hos 4:6,5,"Погине народ Мій за те, що не має знання: тому, що знання ти відкинув, відкину й тебе, щоб не був ти для Мене священиком. А тому, що забув ти Закон свого Бога, забуду синів твоїх й Я!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.7,Hos 4:7,6,"Що більше розмножуються, то більше грішать проти Мене. Їхню славу зміню Я на ганьбу!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.8,Hos 4:8,7,"Вони жертву за прогріх народу Мого їдять, і до провини його свою душу схиляють."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.9,Hos 4:9,8,"І буде священикові, як і народові, і дороги його навіщу Я на нім, і йому відплачу згідно вчинків його."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.10,Hos 4:10,9,"І вони будуть їсти, але не наситяться, чинитимуть блуд, та не розмножаться, бо покинули дбати про Господа."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.11,Hos 4:11,10,Блуд і вино та сік виноградний володіють їхнім серцем.
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.12,Hos 4:12,11,"Народ Мій допитується в свого дерева, і об'являє йому його палиця, бо дух блудодійства заводить до блуду, і вони заблудили від Бога свого."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.13,Hos 4:13,12,"На верховинах гірських вони жертви приносять, і кадять на взгір'ях під дубом, і тополею та теребінтом, бо хороша їхня тінь, тому ваші дочки блудливими стали, а ваші невістки вчиняють перелюб."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.14,Hos 4:14,13,"Та не покараю ще ваших дочок, що вони блудодіють, та ваших невісток, що чинять перелюб, як відходять вони з блудодійками і жертви приносять з розпусницями. А народ без знання загибає!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.15,Hos 4:15,14,"Якщо ти блудливий, Ізраїлю, нехай Юда не буде провинний! І не ходіть до Ґілґалу, і не приходьте до Бет-Авену, і не присягайте: Як живий Господь!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.16,Hos 4:16,15,"Бо Ізраїль зробився упертий, немов та уперта корова. Та тепер Господь пастиме їх, як вівцю на привіллі!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.17,Hos 4:17,16,"Прилучивсь до бовванів Єфрем, покинь ти його!"
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.18,Hos 4:18,17,"Збір п'яниць звироднілих учинився розпусним, їхні провідники покохали нечистість."
uk,NPU,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.19,Hos 4:19,18,"Вітер їх похапає на крила свої, і вони посоромляться жертов своїх."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.1,Hos 5:1,0,"Послухайте цього, священики, і почуйте, Ізраїлів доме, а ви, царський доме, візьміть до вух, бо вам буде суд, бо ви для Міцпи були пасткою й сіткою, розтягненою на Фавор."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.2,Hos 5:2,1,"І глибоко вгрузли в розпусті вони, та Я поплямую всіх їх."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.3,Hos 5:3,2,"Я знаю Єфрема, а Ізраїль не схований передо Мною, бо тепер блудодійним, Єфреме, ти став, занечистивсь Ізраїль."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.4,Hos 5:4,3,"Не дають їхні вчинки вернутись до Бога, бо дух блудодійства в середині їхній, і не відають Господа."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.5,Hos 5:5,4,"І гордість Ізраїлева засвідчиться перед обличчям його. А Ізраїль й Єфрем упадуть за провину свою, також Юда із ними впаде."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.6,Hos 5:6,5,"З своєю отарою та з своєю худобою вони Господа підуть шукати, але не знайдуть, Він від них віддалився."
uk,NPU,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.7,Hos 5:7,6,"Вони зрадили Господа, бо породили сторонніх дітей, тепер їх пожере молодик разом із частками їхнього поля."
