languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.1,Joel 1:1,0,"Слово Господнє, що було до Йоіла, Петуїлового сина."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.2,Joel 1:2,1,"Послухайте це, ви старші, і візьміть до вух, усі мешканці землі: чи бувало таке за днів ваших, або за днів ваших батьків?"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.3,Joel 1:3,2,"Оповідайте про це синам вашим, а ваші сини своїм дітям, а їхні сини поколінню наступному."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.4,Joel 1:4,3,"Що лишилось по гусені, зжерла те все сарана, що ж зосталося по сарані пожер коник, а решту по конику зжерла черва."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.5,Joel 1:5,4,"Пробудіться, п'яниці, і плачте й ридайте за виноградовим соком усі, хто вина напивається, бо віднятий він від уст ваших!"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.6,Joel 1:6,5,"Бо на Край Мій прийшов люд міцний й незчисленний, його зуби як лев'ячі зуби, а паща його як в левиці."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.7,Joel 1:7,6,"Виноград Мій зробив він спустошенням, Моє ж фіґове дерево геть поламав, дощенту його оголив та й покинув, галузки його побіліли."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.8,Joel 1:8,7,"Голоси, як та дівчина, веретою оперезана, за нареченим юнацтва свого."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.9,Joel 1:9,8,"Жертва хлібна й жертва лита спинилася в домі Господньому, впали в жалобу священики, слуги Господні."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.10,Joel 1:10,9,"Опустошене поле, упала в жалобу земля, бо спустошене збіжжя, вино молоде пересохло, зів'яла оливка."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.11,Joel 1:11,10,"Засоромилися рільники, голосили були виноградарі за пшеницю й ячмінь, бо вигинуло жниво поля."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.12,Joel 1:12,11,"Усох виноград, а фіґа зів'яла, гранатове дерево, й пальма та яблуня, і повсихали всі пільні дерева, бо Він висушив радість від людських синів."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.13,Joel 1:13,12,"Опережіться веретою, і ридайте, священики, голосіть, слуги жертівника, входьте, ночуйте в веретах, служителі Бога мого, бо хлібна жертва і жертва та лита затримана буде від дому вашого Бога!"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.14,Joel 1:14,13,"Оголосіть святий піст, скличте збори, позбирайте старших, всіх мешканців землі до дому Господа, вашого Бога, і кличте до Господа."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.15,Joel 1:15,14,"Горе дневі тому! Бо близький день Господній, і прийде він від Всемогутнього, мов те спустошення!"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.16,Joel 1:16,15,"Чи ж з-перед очей наших не відіймається їжа, з дому нашого Бога веселість та втіха?"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.17,Joel 1:17,16,"Покорчились зерна під своїми грудами, спорожніли комори, поруйновані клуні, бо висохло збіжжя."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.18,Joel 1:18,17,"Як стогне товар, поголомшені череди, бо немає їм паші, отари спустошені!"
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.19,Joel 1:19,18,"До тебе я кличу, о Господи, пожер бо огонь пасовища пустині, а жар попалив усі дерева на полі."
uk,NPU,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.20,Joel 1:20,19,"Навіть пільна худоба прагне до Тебе, бо водні джерела посохли, огонь же пожер пасовища пустині!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.1,Joel 2:1,0,"Засурміть на Сіоні в сурму, здійміть крик на святій горі Моїй! Затремтіть, всі мешканці землі, бо прийшов день Господній, бо близько вже він,"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.2,Joel 2:2,1,"день темноти та темряви, день хмари й імли! Як несеться досвітня зоря по горах, так народ цей великий й міцний. Такого, як він, не бувало відвіку, і по ньому не буде вже більш аж до літ з роду в рід!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.3,Joel 2:3,2,"Перед ним пожирає огонь, і палахкотить за ним полум'я! Земля перед ним, як еденський садок, а за ним опустіла пустиня, і рятунку від нього нема!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.4,Joel 2:4,3,"Його вигляд ніби коні, гарцюють вони, наче ті верхівці!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.5,Joel 2:5,4,"Як гуркіт військових возів, вони скачуть гірськими верхів'ями, як вереск огнистого полум'я, що солому жере, наче потужний народ, що до бою поставлений."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.6,Joel 2:6,5,"Народи тремтять перед ним, всі обличчя поблідли."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.7,Joel 2:7,6,"Як лицарі, мчаться вони, немов вояки вибігають на мур, і кожен своєю дорогою йдуть, і з стежок своїх не позбиваються,"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.8,Joel 2:8,7,"не пхають вони один одного, ходять своєю дорогою битою, а коли на списа упадуть, то не зраняться."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.9,Joel 2:9,8,"По місті хурчать, по мурі біжать, увіходять в доми, через вікна пролазять, як злодій."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.10,Joel 2:10,9,"Трясеться земля перед ним, тремтить небо, сонце та місяць темніють, а зорі загублюють сяйво своє."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.11,Joel 2:11,10,"І голос Свій видасть Господь перед військом Своїм, бо табір Його величезний, бо міцний виконавець слова Його, бо великий день Господа й вельми страшний, і хто зможе його перенести?"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.12,Joel 2:12,11,"Тому то тепер промовляє Господь: Верніться до Мене всім серцем своїм, і постом святим, і плачем та риданням!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.13,Joel 2:13,12,"І деріть своє серце, а не свою одіж, і наверніться до Господа, вашого Бога, бо ласкавий Він та милосердний, довготерпеливий та многомилостивий, і жалкує за зло!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.14,Joel 2:14,13,"Хто знає, чи Він не повернеться та не пожалує, і по Собі не залишить благословення, жертву хлібну та жертву ту литу для Господа, вашого Бога."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.15,Joel 2:15,14,"Засурміть на Сіоні в сурму, оголосіть святий піст, скличте зібрання!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.16,Joel 2:16,15,"Зберіте народ, оголосіть святі збори, старців згромадьте, позбирайте дітей та грудних немовлят, нехай вийде з кімнати своєї також молодий, молода ж з-під свого накриття!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.17,Joel 2:17,16,"Між притвором та жертівником нехай плачуть священики, слуги Господні, хай молять вони: Змилуйся, Господи, над народом Своїм, і не видай на ганьбу спадку Свого, щоб над ним панували погани. Нащо будуть казати між народами: Де їхній Бог?"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.18,Joel 2:18,17,"І заздрісним стане Господь за Свій Край, і змилується над народом Своїм."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.19,Joel 2:19,18,"І Господь відповів і сказав до народу Свого: Ось Я посилаю вам збіжжя й вино молоде та оливу, і насититесь нею, і більше не дам вас на наругу народам."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.20,Joel 2:20,19,"А цього північного ворога віддалю Я від вас, і його в край сухий та спустошений вижену, його перед до східнього моря, його ж край до того моря заднього. І вийде злий запах його, і підійметься сморід його, бо він лихо велике чинив."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.21,Joel 2:21,20,"Не бійся ти, земле, а тішся й радій, бо велике Господь учинив!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.22,Joel 2:22,21,"Не бійтеся, ти пільна худобо, бо пустинні пасовиська зазеленіють, бо дерево видасть свій плід, фіґовниця та виноград свою силу дадуть."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.23,Joel 2:23,22,"А ви, сіонські сини, радійте та тіштеся Господом, Богом своїм, бо вам їжі Він дасть на спасіння, і найперше зішле вам дощу, дощу раннього й пізнього."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.24,Joel 2:24,23,"І токи наповняться збіжжям, чавильні ж кадки будуть переливатись вином молодим та оливою."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.25,Joel 2:25,24,"І надолужу Я вам за ті роки, що пожерла була сарана, коник і черва та гусінь, Моє військо велике, що Я посилав проти вас."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.26,Joel 2:26,25,"А їсти ви будете їсти й насичуватись, і хвалитимете Ім'я Господа, вашого Бога, що з вами на подив зробив, і посоромлений більше не буде народ Мій навіки!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.27,Joel 2:27,26,"І пізнаєте ви, що Я серед Ізраїля, і що Я Господь, Бог ваш, і немає вже іншого, і посоромлений більше не буде народ Мій навіки!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.28,Joel 2:28,27,"(3-1) І буде потому, виллю Я Духа Свого на кожне тіло, і пророкуватимуть ваші сини й ваші дочки, а вашим старим будуть снитися сни, юнаки ваші бачити будуть видіння."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.29,Joel 2:29,28,(3-2) І також на рабів та невільниць за тих днів виллю Духа Свого.
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.30,Joel 2:30,29,"(3-3) І дам Я ознаки на небі й землі, кров та огонь, та стовпи диму."
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.31,Joel 2:31,30,"(3-4) Заміниться сонце на темність, а місяць на кров перед приходом Господнього дня, великого та страшного!"
uk,NPU,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.32,Joel 2:32,31,"(3-5) І станеться, кожен, хто кликати буде Господнє Ім'я, той спасеться, бо на Сіонській горі та в Єрусалимі буде спасіння, як Господь говорив, та для тих позосталих, що Господь їх покличе."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.1,Joel 3:1,0,"(4-1) Бо ось тими днями та часу того, коли долю Юді та Єрусалиму верну,"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.2,Joel 3:2,1,"(4-2) то зберу всі народи, зведу їх у долину Йосафатову, і там буду судитися з ними за народ Мій й спадщину Мою, за Ізраїля, що його розпорошили поміж народами, а Мій Край поділили."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.3,Joel 3:3,2,"(4-3) І за народ Мій вони кидали жереба, і юнака за блудницю давали, а дівчину за вино продавали, і пили."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.4,Joel 3:4,3,"(4-4) І що вам до Мене, Тире й Сидоне, та всі филистимські довкілля? Чи свій чин на Мені надолужите? Може хочете щось учинити Мені, то легко та скоро зверну Я ваш чин вам на голову,"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.5,Joel 3:5,4,"(4-5) що срібло Моє й Моє золото позабирали, а коштовні клейноди Мої в свої храми повносили..."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.6,Joel 3:6,5,"(4-6) А синів Юди та Єрусалиму ви грецьким синам продали, щоб їх віддалити від їхніх границь..."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.7,Joel 3:7,6,"(4-7) Ось Я їх позбуджую з місця того, куди їх продали, ваш чин поверну вам на голову!"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.8,Joel 3:8,7,"(4-8) І попродаю ваших синів та ваших дочок в руку Юдських синів, а вони віддадуть їх шев'янам, до люду далекого, бо Господь так сказав."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.9,Joel 3:9,8,"(4-9) Кличте про це між народами, оголосіте святую війну, збудіте лицарство, хай сходяться, нехай підіймаються всі вояки."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.10,Joel 3:10,9,"(4-10) Перекуйте свої лемеші на мечі, а ваші серпи на списи, хай навіть безсилий говорить: Я лицар!"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.11,Joel 3:11,10,"(4-11) Поспішіть і прийдіть, всі народи з довкілля, й зберіться, туди, Господи, спустиш лицарство Своє."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.12,Joel 3:12,11,"(4-12) Нехай збудяться й зійдуть народи в долину Йосафатову, бо сяду Я там, щоб судити всі народи з довкілля."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.13,Joel 3:13,12,"(4-13) Пошліть на роботу серпа, бо жниво дозріло, приходьте, зійдіть, бо чавило наповнене, кадки переливаються, бо зло їхнє розмножилось!"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.14,Joel 3:14,13,"(4-14) Натовпи, натовпи у вирішальній долині, бо близький день Господній у вирішальній долині."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.15,Joel 3:15,14,"(4-15) Сонце та місяць стемніють, а зорі загублять свій блиск,"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.16,Joel 3:16,15,"(4-16) і Господь загримить із Сіону, та з Єрусалиму Свій голос подасть, і небо й земля затремтять, та Господь охорона Своєму народові, і твердиня синам Ізраїлевим!"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.17,Joel 3:17,16,"(4-17) І пізнаєте ви, що Я Господь, Бог ваш, Який пробуває в Сіоні, на святій Своїй горі. І станеться Єрусалим за святиню, і чужі вже не будуть ходити по ньому."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.18,Joel 3:18,17,"(4-18) І станеться в день той, гори будуть кропити виноградовий сік, а підгірки стоятимуть у молоці, і всі Юдські потоки водою заб'ють, а з дому Господнього вийде джерело, і напоїть долину Шіттім."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.19,Joel 3:19,18,"(4-19) Єгипет спустошенням стане, і пустинею голою стане Едом за насильство синам Юди, за те, що лили кров невинну у їхньому Краї."
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.20,Joel 3:20,19,"(4-20) А Юдея жити буде повіки, і Єрусалим з роду в рід,"
uk,NPU,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.21,Joel 3:21,20,"(4-21) і помщу за їхню кров, що за неї Я ще не помстив, і буде Господь пробувати на Сіоні!"
