languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.1,Amos 1:1,0,"Слова Амоса, що був між вівчарями з Текої, які він бачив на Ізраїля за днів Уззійї, Юдиного царя, та за днів Єровоама, Йоашового сина, Ізраїлевого царя, за два роки перед землетрусом."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.2,Amos 1:2,1,"І він проказав: Загримить із Сіону Господь, і з Єрусалиму Свій голос подасть, і впадуть пасовища пастуші в жалобу та всохне вершина Кармелу!"
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.3,Amos 1:3,2,"Так говорить Господь: За три переступи Дамаску й за чотири цього не прощу: за те, що вони молотили Ґілеада ціпами залізними."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.4,Amos 1:4,3,"І пошлю Я огонь на дім Хазаїла, і пожере він палати Бен-Гадада."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.5,Amos 1:5,4,"І зламаю засува Дамаску, і мешканця витну з долини Авен, і того, хто держатиме берло з Бет-Едене, і арамський народ піде в Кір на вигнання, говорить Господь."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.6,Amos 1:6,5,"Так говорить Господь: За три переступи Аззи й за чотири цього не прощу: що всіх гнали в полон, щоб віддати Едомові."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.7,Amos 1:7,6,"І пошлю Я огонь на мур Ґази, і поїсть він палати її."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.8,Amos 1:8,7,"І мешканця витну з Ашдоду, і берлодержця з Ашкелону, і зверну Свою руку на Екрон, і вигинуть рештки филистимлян, говорить Господь."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.9,Amos 1:9,8,"Так говорить Господь: За три переступи Тиру й за чотири цього не прощу: за те, що він видав усіх на вигнання в Едом, і не пам'ятав заповіту братів."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.10,Amos 1:10,9,"І пошлю Я огонь на мур Тиру, і пожере він палати його!"
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.11,Amos 1:11,10,"Так говорить Господь: За три переступи Едому й за чотири цього не прощу: за те, що мечем він гнав брата свого, і знищив своє милосердя, свій гнів завжди стеріг, а лютість свою пильнував повсякчасно."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.12,Amos 1:12,11,І пошлю Я огонь до Теману і пожере він палати Боцри!
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.13,Amos 1:13,12,"Так говорить Господь: За три переступи Аммонових синів й за чотири цього не прощу: за те, що пороли ґілеадських вагітних, щоб поширити границі свої!"
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.14,Amos 1:14,13,"І огонь запалю Я на мурі Рабби, і пожере він палати її, із криком в день бою, із вихром в день бурі."
uk,NPU,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.15,Amos 1:15,14,"І піде їхній цар на вигнання, він і князі його разом, говорить Господь."
uk,NPU,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.1,Amos 2:1,0,"Так говорить Господь: За три переступи Моава й за чотири цього не прощу: за те, що спалив на вапно кості едомського царя!"
uk,NPU,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.2,Amos 2:2,1,"І пошлю Я огонь на Моава, і пожере він палати Керіййоту, і загине Моав серед галасу, серед крику, при голосі рога."
uk,NPU,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.3,Amos 2:3,2,"І витну суддю з-серед нього, а з ним позабиваю князів його всіх, говорить Господь."
