languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.1,Obad 1:1,0,"Видіння Овдія. Так сказав Господь Бог на Едом: Почули ми вістку від Господа, і посланий був між народів посол, щоб сказати: Уставайте, і станьмо на нього до бою!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.2,Obad 1:2,1,"Оце Я малим тебе дав між народи, ти дуже погорджений."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.3,Obad 1:3,2,"Гордість серця твого обманила тебе, який перебуваєш по щілинах скельних, у високім сидінні своїм, що говориш у серці своєму: Хто скине на землю мене?"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.4,Obad 1:4,3,"Якщо б ти піднісся, немов той орел, і якщо б ти кубло своє склав поміж зорями, то й звідти Я скину тебе, промовляє Господь!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.5,Obad 1:5,4,"Чи ж до тебе злодії приходили, чи нічні ті грабіжники, такий ти понищений! чи ж вони не накрали б собі скільки треба? Якщо б до тебе прийшли збирачі винограду, чи ж вони не лишили б хоч вибірків?"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.6,Obad 1:6,5,"Як Ісав перешуканий, як криївки його переглянені!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.7,Obad 1:7,6,"Аж до границі прогнали тебе, обманять тебе твої всі союзники, переможуть тебе твої приятелі! Ті, що хліб твій їдять, пастку розставлять на тебе, нема в тому розуму!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.8,Obad 1:8,7,"Чи ж не станеться це того дня, промовляє Господь, і вигублю Я мудреців із Едому, а розум з гори Ісавової?"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.9,Obad 1:9,8,"І настрашене буде лицарство твоє, о Темане, щоб був витятий кожен з Ісава убивством."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.10,Obad 1:10,9,"Через насилля на Якова на брата твого сором покриє тебе, і ти витятий будеш навіки."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.11,Obad 1:11,10,"Того дня, коли став ти навпроти, того дня, як чужі полонили були його військо, і коли чужинці в його брами ввійшли і жереба кидали про Єрусалим, то й ти був, як один з них!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.12,Obad 1:12,11,"І тому не дивися на день свого брата, на день лиха його, і не тішся з Юдиних синів у день їхньої згуби, і не розкривай своїх уст у день утиску."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.13,Obad 1:13,12,"І не входь ти до брами народу Мого у день лиха його, і не приглядайся до зла його й ти в день нещастя його, і не простягайте своєї руки до багатства його в день нещастя його!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.14,Obad 1:14,13,"І на роздоріжжі не стій, щоб витинати його втікачів, і в день утиску не видавай його решток!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.15,Obad 1:15,14,"Бо близький день Господній над усіма народами, як зробив ти, то так і тобі буде зроблено: вернеться на твою голову чин твій!"
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.16,Obad 1:16,15,"Бо як ви пили на святій Моїй горі, так народи усі завжди питимуть! І будуть пити вони, і будуть хлептати, і стануть вони, немов їх не було."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.17,Obad 1:17,16,"А на Сіонській горі буде спасіння, і буде святою вона, і спадки свої вже посяде дім Яковів."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.18,Obad 1:18,17,"І дім Якова стане огнем, і дім Йосипа полум'ям, а дім Ісава соломою, і будуть палати вони проти них, і їх пожеруть, і останку не буде із дому Ісава, бо Господь це сказав."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.19,Obad 1:19,18,"І посядуть південні Ісавову гору, а мешканці долин филистимлян, і посядуть Єфремове поле та поле самарійське, а Веніямин Ґілеад."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.20,Obad 1:20,19,"А полонені війська Ізраїлевих синів заволодіють тим, що хананейське аж до Цорфату, а єрусалимські вигнанці в неволі, що в Сефараді, посядуть міста полудневі."
uk,NPU,Obad,Obad,30,Obad.1,Obad 1,0,Obad.1.21,Obad 1:21,20,"І спасителі прийдуть на гору Сіон, щоб гору Ісава судити, і царство Господнє настане!"
