languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.1,Jonah 1:1,0,"І було слово Господнє до Йони, Аміттаєвого сина, таке:"
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.2,Jonah 1:2,1,"Устань, іди до Ніневії, великого міста, і проповідуй проти нього, бо їхнє зло прийшло перед лице Моє."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.3,Jonah 1:3,2,"І встав Йона, щоб утекти до Таршішу з-перед Господнього лиця. І зійшов він до Яфи, і знайшов корабля, що йшов до Таршішу, і дав заплату його, і ввійшов у нього, щоб відплисти з ними до Таршішу з-перед Господнього лиця."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.4,Jonah 1:4,3,"А Господь кинув сильного вітра на море, і знялася на морі велика буря, і вже думали, що корабель буде розбитий."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.5,Jonah 1:5,4,"І налякалися моряки, і кликали кожен до своїх богів, і викидали ті речі, що були на кораблі, до моря, щоб полегшити себе. А Йона зійшов до споду корабля, і ліг, і заснув."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.6,Jonah 1:6,5,"І приступив до нього керівник корабля, та й сказав йому: Чого ти спиш? Уставай, заклич до свого Бога, може згадає цей Бог про нас, і ми не згинемо."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.7,Jonah 1:7,6,"І сказали вони один до одного: Ідіть, і киньмо жеребки, та й пізнаємо, через кого нам оце лихо. І кинули вони жеребки, і впав жеребок на Йону."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.8,Jonah 1:8,7,"І сказали до нього: Об'яви ж нам, через що нам це лихо? Яке твоє зайняття, і звідки ти йдеш? Який твій край, і з якого ти народу?"
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.9,Jonah 1:9,8,"І сказав він до них: Я єврей, і боюся я Господа, Небесного Бога, що вчинив море та суходіл."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.10,Jonah 1:10,9,"І налякалися ті люди великим страхом, і сказали до нього: Що це ти наробив? Бо ці люди довідалися, що він утікає з-перед Господнього лиця, бо він це їм об'явив."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.11,Jonah 1:11,10,"І вони сказали до нього: Що ми зробимо тобі, щоб утихомирилось море, щоб не заливало нас? Бо море бушувало все більше."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.12,Jonah 1:12,11,"І сказав він до них: Візьміть мене, і киньте мене до моря, і втихомириться море перед вами; бо я знаю, що через мене оця велика буря на вас."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.13,Jonah 1:13,12,"І міцно гребли ці люди, щоб дістатися до суходолу, та не могли, бо море бушувало все більш проти них."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.14,Jonah 1:14,13,"І вони кликнули до Господа та й сказали: О Господи, нехай же не згинемо ми за душу цього чоловіка, і не давай на нас неповинної крови, бо Ти, Господи, чиниш, як бажаєш!"
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.15,Jonah 1:15,14,"І підняли вони Йону, і кинули його до моря, і спинилося море від своєї лютости."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.16,Jonah 1:16,15,"І налякалися ці люди Господа великим страхом, і приносили Господеві жертви, і складали обітниці."
uk,NPU,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.17,Jonah 1:17,16,"(2-1) І призначив Господь велику рибу, щоб вона проковтнула Йону. І був Йона в середині цієї риби три дні та три ночі."
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.1,Jonah 2:1,0,"(2-2) І молився Йона до Господа, Бога свого, з утроби тієї риби,"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.2,Jonah 2:2,1,"(2-3) та й казав: Я кликав з нещастя свого до Господа, і відповідь дав Він мені, із нутра шеолу кричав я, і почув Ти мій голос!"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.3,Jonah 2:3,2,"(2-4) І Ти кинув мене в глибочінь, у серце моря, і потік оточив був мене. Усі хвилі Твої та буруни Твої надо мною пройшли."
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.4,Jonah 2:4,3,"(2-5) І сказав я: Я вигнаний з-перед очей Твоїх, проте ще побачу я храм Твій святий."
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.5,Jonah 2:5,4,"(2-6) Вода аж по душу мене обгорнула, безодня мене оточила, очерет обвиває кругом мою голову!"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.6,Jonah 2:6,5,"(2-7) Я зійшов аж до споду гори, а земля її засуви стали за мною навіки! Та підіймеш із ями життя моє, Господи, Боже Ти мій!"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.7,Jonah 2:7,6,"(2-8) Як у мені омлівала душа моя, Господа я спогадав, і молитва моя ця до Тебе долинула, до храму святого Твого!"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.8,Jonah 2:8,7,"(2-9) Ті, що тримаються марних божків, свого Милосердного кидають."
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.9,Jonah 2:9,8,"(2-10) А я голосною подякою принесу Тобі жертву, про що присягав я, те виконаю. Спасіння у Господа!"
uk,NPU,Jonah,Jonah,31,Jonah.2,Jonah 2,1,Jonah.2.10,Jonah 2:10,9,"(2-11) І Господь звелів рибі, і вона викинула Йону на суходіл."
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.1,Jonah 3:1,0,І було Господнє слово до Йони вдруге таке:
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.2,Jonah 3:2,1,"Устань, іди до Ніневії, великого міста, і проповідуй на нього те слово, що Я говорив був тобі!"
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.3,Jonah 3:3,2,"І Йона встав, і пішов до Ніневії за Господнім словом. А Ніневія була місто велике-превелике, на три дні ходи."
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.4,Jonah 3:4,3,"І зачав Йона ходити по місті, на один день ходи, і проповідував і казав: Ще сорок день, і Ніневія буде зруйнована!"
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.5,Jonah 3:5,4,"І ніневітяни ввірували в Бога, і оголосили піст, і позодягали верети, від найбільшого з них аж до найменшого."
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.6,Jonah 3:6,5,"І дійшло це слово до царя Ніневії, і він устав зо свого трону, і скинув плаща свого з себе, і покрився веретою, та й сів на попелі."
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.7,Jonah 3:7,6,"І він звелів кликнути й сказати в Ніневії з наказу царя та його вельмож, говорячи: Нехай не покуштують нічого ані людина, ані худоба, худоба велика чи худоба дрібна, нехай вони не пасуться, і нехай не п'ють води!"
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.8,Jonah 3:8,7,"І нехай покриваються веретами та людина й та худоба, і нехай сильно кличуть до Бога, і нехай кожен зверне з своєї дороги та від насильства, що в їхніх руках."
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.9,Jonah 3:9,8,"Хто знає, може Бог обернеться й пожалує, і відвернеться з жару гніву Свого, і ми не погинемо!"
uk,NPU,Jonah,Jonah,31,Jonah.3,Jonah 3,2,Jonah.3.10,Jonah 3:10,9,"І побачив Бог їхні вчинки, що звернули зо своєї злої дороги, і пожалував Бог щодо того лиха, про яке говорив, що їм учинить, і не вчинив."
uk,NPU,Jonah,Jonah,31,Jonah.4,Jonah 4,3,Jonah.4.1,Jonah 4:1,0,"І було це для Йони на досаду, досаду велику, і він запалився."
uk,NPU,Jonah,Jonah,31,Jonah.4,Jonah 4,3,Jonah.4.2,Jonah 4:2,1,"І молився він до Господа та й казав: О Господи, чи ж не це моє слово, поки я ще був на своїй землі? Тому я перед тим утік до Таршішу, бо я знав, що Ти Бог милостивий та милосердий, довготерпеливий та многомилостивий, і Ти жалкуєш за зло."
uk,NPU,Jonah,Jonah,31,Jonah.4,Jonah 4,3,Jonah.4.3,Jonah 4:3,2,"А тепер, Господи, візьми мою душу від мене, бо краще мені смерть від мого життя!"
