languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.1,Mic 1:1,0,"Слово Господнє, що було до морешетського Михея за днів Йотама, Ахаза та Єзекії, Юдиних царів, яке він бачив на Самарію та Єрусалим."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.2,Mic 1:2,1,"Почуйте оце, всі народи, послухай, ти земле та все, що на ній! і хай буде за свідка на вас Господь Бог, Господь з храму святого Свого!"
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.3,Mic 1:3,2,"Бо Господь ось виходить із місця Свого, і Він сходить і ступає по висотах землі."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.4,Mic 1:4,3,"І топляться гори під Ним, і тануть долини, мов віск від огню, мов ті води, що ллються з узбіччя."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.5,Mic 1:5,4,"Усе це за провинення Якова, за гріхи дому Ізраїля. Хто провинення Якова, чи ж не Самарія? А хто гріх дому Юдиного, чи ж не Єрусалим?"
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.6,Mic 1:6,5,"І зроблю Самарію руїною в полі, за місце садити виноград, і повикидаю в долину каміння її, і відкрию основи її."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.7,Mic 1:7,6,"І потовчені будуть усі її ідоли, всі ж дарунки її за розпусту попалені будуть в огні, і всіх бовванів її Я віддам на спустошення. Бо зібрала вона від дарунків за блуд, і на подарунки за блуд це повернеться."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.8,Mic 1:8,7,"Над оцим голоситиму я та ридатиму, ходитиму босий й нагий, заводити буду, немов ті шакали, і буду тужити, як струсі!"
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.9,Mic 1:9,8,"Бо рани її невигойні, бо це аж до Юди прийшло, воно досягло аж до брами народу Мого, аж до Єрусалиму."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.10,Mic 1:10,9,"Цього не оголошуйте в Ґаті, і плакати не плачте, качайтесь по поросі в Бет-Леафрі."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.11,Mic 1:11,10,"Переходь собі ти, о мешканко Шафіру, нага, осоромлена, вже бо не вийде мешканка Цаанану, голосіння Бет-Гаецелу не дасть вам спинитися в ньому."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.12,Mic 1:12,11,"Бо мешканка Мароту чекала добра, та до єрусалимської брами зійшло оце лихо від Господа."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.13,Mic 1:13,12,"Запряжи баскі коні до воза, мешканко Лахішу! Ти початок гріха для сіонської доньки, бо знайшлись серед тебе провини Ізраїлеві,"
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.14,Mic 1:14,13,тому то даси розводові листи на Морешет-Ґат. Доми Ахзіва омана для Ізраїлевих царів.
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.15,Mic 1:15,14,"Спроваджу тобі ще спадкоємця Я, о мешканко Мареші, Аж по Адуллам прийде слава Ізраїля."
uk,NPU,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.16,Mic 1:16,15,"Зроби собі лисину та острижися за синів своїх любих, пошир свою лисину, мов ув орла, бо пішли на вигнання від тебе вони!"
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.1,Mic 2:1,0,"Горе тим, що задумують кривду і на ложах своїх учиняють лихе! За світла поранку виконують це, бо їхня рука має силу."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.2,Mic 2:2,1,"Якщо піль жадають, то грабують вони, а домів то хапають. І вони переслідують мужа та дома його, і чоловіка й спадки його."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.3,Mic 2:3,2,"Тому так промовляє Господь: Ось Я замишляю на цей рід лихе, що ший своїх з нього не визволите, і ходити не будете гордо, бо це час лихий."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.4,Mic 2:4,3,"Того дня проголосять на вас приповістку, і співатимуть пісню жалобну, говорячи: Сталось! До пня опустошені ми, уділ народу мого змінився, як це діткнуло мене! Наше поле поділене буде чужинцями,"
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.5,Mic 2:5,4,"тому в тебе не буде нікого, хто кидав би шнура мірничого, як жеребка на Господнім зібранні."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.6,Mic 2:6,5,"Не проповідуйте, та вони проповідують! Хай нам не проповідують, не досягне нас ганьба."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.7,Mic 2:7,6,"О ти, що звешся Яковів дім, чи змалів Дух Господній? Чи ці чини Його? Хіба добре не роблять слова Мої тому, хто ходить правдиво?"
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.8,Mic 2:8,7,"Ще вчора були ви народом Моїм, тепер же стаєте за ворога, з одежі верхньої плаща ви стягаєте з тих, хто проходить безпечно, як здобич війни."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.9,Mic 2:9,8,"Жінок Мого народу з приємного дому її виганяєте кожну, з дітей славу Мою ви берете навіки."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.10,Mic 2:10,9,"Устаньте й ідіть, бо тут не спочинок, це за занечищення ваше, що загладу для вас принесе, вирішальну загладу."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.11,Mic 2:11,10,"Коли б чоловік, який ходить за вітром, і брехню набрехав, говорячи: Буду тобі проповідувати про вино та про напій п'янкий, то був би він любим пророком оцьому народові."
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.12,Mic 2:12,11,"Невідмінно зберу тебе всього, о Якове, невідмінно згромаджу останок Ізраїлів, разом поставлю його, як отару в Боцрі, як ту череду на пасовищі, і будуть гомоніти вони від многолюдства!"
uk,NPU,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.13,Mic 2:13,12,"Перед ними виламувач піде, вони продеруться та браму перейдуть і вийдуть із неї. І піде їхній цар перед ними, а Господь на чолі їх!"
uk,NPU,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.1,Mic 3:1,0,"А я відказав: Послухайте ж, голови Якова та начальники дому Ізраїля, чи ж не вам знати право?"
uk,NPU,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.2,Mic 3:2,1,"Добро ви ненавидите та кохаєте зло, шкіру їхню здираєте з них, а їхнє тіло з костей їхніх."
uk,NPU,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.3,Mic 3:3,2,"Ви останок народу Мого їсте та стягаєте з них їхню шкіру, а їхні кості ламаєте, і січете, немов до горняти, і мов м'ясо в котел."
uk,NPU,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.4,Mic 3:4,3,"Вони тоді кликати будуть до Господа, та Він відповіді їм не дасть, і заховає обличчя Своє того часу від них, коли будуть робити лихі свої вчинки."
uk,NPU,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.5,Mic 3:5,4,"Так говорить Господь на пророків, що вводять народ Мій у блуд, що зубами своїми гризуть та покликують: Мир! А на того, хто їм не дає що до рота, на нього святую війну оголошують."
