languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.1,Hab 1:1,0,"Пророцтво, яке бачив пророк Авакум."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.2,Hab 1:2,1,"Аж доки я, Господи, кликати буду, а Ти не почуєш? До тебе я кличу: Насильство! та Ти не спасаєш!"
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.3,Hab 1:3,2,"Для чого неправість мені Ти показуєш та позираєш на муку? А передо мною грабіж та насильство, і суперечка стається, і носиться сварка."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.4,Hab 1:4,3,"Тому то Закон припиняється, і не виходить до чину назавсіди право, бо несправедливий вигублює праведного, тому правосуддя виходить покривленим."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.5,Hab 1:5,4,"Пригляньтеся ви до народів, і дивіться, і дуже здивуйтесь, бо вчиню Я за ваших днів діло, про яке не повірите ви, коли буде розказане."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.6,Hab 1:6,5,"Бо оце Я поставлю халдеїв, народ лютий та скорий, що ґрасує по широкій землі, щоб захопити оселі, які не його."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.7,Hab 1:7,6,"Страшний та грізний він, від нього самого виходить і право його, і великість його."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.8,Hab 1:8,7,"І від пантер його коні швидші, і від вовків вечерових лютіші."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.9,Hab 1:9,8,"Він приходить увесь на насильство, а ціль їх обличчя вперед, і набере полонених, як того піску."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.10,Hab 1:10,9,"І він глузує з царів, а князі сміх для нього. Він сміється з твердині усякої, бо на вал насипає землі, і її здобуває!"
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.11,Hab 1:11,10,"Тоді він несеться, як вітер, і перейде, і згрішить, бо зробить за бога свого оцю силу свою."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.12,Hab 1:12,11,"Хіба ж Ти не віддавна, о Господи? Боже Ти мій, мій Святий, не помремо! Господи, Ти для суду поставив його, і, о Скеле, призначив його на карання!"
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.13,Hab 1:13,12,"Твої очі занадто пречисті, щоб міг Ти дивитись на зло, і на насильство дивитись не можеш. Чому ж дивишся Ти на грабіжників, мовчиш, коли несправедливий винищує справедливішого від себе?"
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.14,Hab 1:14,13,"Ти ж маєш людей, як у морі тих риб, немов ту черву, що пана над нею нема."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.15,Hab 1:15,14,"Усе це грабіжник витягує вудкою, своїм неводом тягне оце, та збирає оце в свою сітку, тому тішиться він та радіє."
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.16,Hab 1:16,15,"Тому жертву приносить він неводові, і кадить для сітки своєї, бо від них ситий уділ його та добірна пожива його!"
uk,NPU,Hab,Hab,34,Hab.1,Hab 1,0,Hab.1.17,Hab 1:17,16,"Чи на це випорожнює він свого невода, і завжди готов убивати народи без милости?"
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.1,Hab 2:1,0,"Нехай я стою на сторожі своїй, і нехай на облозі я стану, і хай виглядаю, щоб бачити, що він буде казати мені, і що відповість на жалобу мою."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.2,Hab 2:2,1,"А Господь відповів та й сказав: Напиши це видіння і поясни на таблицях, щоб читач його легко читав."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.3,Hab 2:3,2,"Бо ще на умовлений час це видіння, і приспішає кінець, і не обмане. Якщо б протягнулось, чекай ти його, бо воно конче прийде, не спізниться."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.4,Hab 2:4,3,"Ось надута, не проста душа його в ньому, а праведний житиме вірою своєю."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.5,Hab 2:5,4,"І що ж, як зрадливе вино, так горда людина спокою не знає: він роззявлює пащу свою, як шеол, і не насичується, як та смерть, і всіх людей він до себе збирає, і всі народи до себе згромаджує."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.6,Hab 2:6,5,"Чи ж усі вони не складуть приповістки на нього та загадки насмішливої йому не прокажуть: Горе тому, хто для себе розмножує те, що не його! Аж доки це буде? Горе тому, хто чинить тяжкою заставу на себе!"
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.7,Hab 2:7,6,"Хіба нагло не встануть оті, хто тебе буде гризти, і збудяться ті, хто тебе попихає, і за здобич ти станеш для них?"
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.8,Hab 2:8,7,"За те, що ти грабував був багато народів, вся решта народів тебе пограбує за ту людську кров, і за насильство над краєм, над містом та над усіма, хто мешкає в ньому."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.9,Hab 2:9,8,"Горе тому, хто неправедний зиск побирає для дому свого, щоб покласти гніздо своє на висоті, і тим із рук злого врятованим бути!"
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.10,Hab 2:10,9,"Нарадив ти сором для дому свого, щоб кінець учинити численним народам, і ти прогрішився за душу свою."
uk,NPU,Hab,Hab,34,Hab.2,Hab 2,1,Hab.2.11,Hab 2:11,10,"Бо камінь з стіни буде кликати, і йому відповість сволок із дерева."
