languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.1,Zeph 1:1,0,"Слово Господнє, що було до Софонії, сина Куші, сина Ґедалії, сина Амарії, сина Єзекії, за днів Йосії, Амонового сина, Юдиного царя."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.2,Zeph 1:2,1,"Забираючи, все заберу з-над поверхні землі, промовляє Господь."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.3,Zeph 1:3,2,"Заберу Я людину й худобу, заберу птаство небесне і риби морські, і спокуси з безбожними, і витну людину з поверхні землі, промовляє Господь."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.4,Zeph 1:4,3,"І руку Свою простягну Я на Юду і на всіх мешканців Єрусалиму, і вигублю з місця оцього останок Ваала, імення жерців зо священиками,"
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.5,Zeph 1:5,4,"і тих, хто вклоняється на дахах світилам небесним, і тих, хто вклоняється, хто присягає Господом, і хто присягає царем своїм,"
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.6,Zeph 1:6,5,"і тих, хто відступає від Господа, і хто не шукає Господа, і не звертається до Нього."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.7,Zeph 1:7,6,"Замовчи перед Господом Богом, бо близький день Господній, бо жертву Господь приготовив, посвятив Своїх покликаних."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.8,Zeph 1:8,7,"І станеться в день Господньої жертви, і навіщу Я князів, і синів царя, і всіх, хто зодягає одежу чужинну."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.9,Zeph 1:9,8,"І навіщу Я кожного, хто перескакує через поріг того дня, тих, хто наповнює дім свого пана насиллям й оманою."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.10,Zeph 1:10,9,"І буде в дні тому, говорить Господь, голос крику із Рибної брами, і завивання із Міста Нового, і велика руїна із пагірків."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.11,Zeph 1:11,10,"Ридайте, мешканці Махтешу, бо понищений буде ввесь купецький народ, будуть вигублені всі, хто важить срібло."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.12,Zeph 1:12,11,"І станеться часу того, і перешукаю Я з лямпами Єрусалим, і навіщу Я тих мужів, які задубіли на дріжджах своїх, що говорять у серці своєму: Господь не вчинить добра, і лиха не зробить."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.13,Zeph 1:13,12,"І здобиччю стане все їхнє багатство, а їхні доми за спустошення, і будуть вони будувати доми, але в них не сидітимуть, і виноградники будуть садити, та вина їхнього не питимуть."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.14,Zeph 1:14,13,"Близький день Господній великий, він близький й дуже швидко настане. Ось голос Господнього дня, тоді гірко кричатиме навіть хоробрий!"
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.15,Zeph 1:15,14,"День гніву цей день, день смутку й насилля, день збурення та зруйнування, день темноти та темряви, день хмари й імли,"
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.16,Zeph 1:16,15,день сурмлення й окрику проти укріплених міст та проти високих міських заборолів.
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.17,Zeph 1:17,16,"І буду чинити Я утиск людині, і будуть ходити вони, як сліпі, бо згрішили вони проти Господа. І виллється кров їхня, немов той пісок, а їхнє тіло, як гній."
uk,NPU,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.18,Zeph 1:18,17,"Спасти їх не зможе в день гніву Господнього ні їхнє срібло, ані золото їхнє, і огнем Його заздрощів буде поїджена ціла земля, бо скінчення тільки приспішене зробить зо всіми мешканцями Краю цього."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.1,Zeph 2:1,0,"Посоромтеся та застидайтесь, народе без сорому,"
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.2,Zeph 2:2,1,"поки народиться установлене, мине день, як полова! поки не прийде на вас лютість гніву Господнього, поки не прийде на вас день Господнього гніву!"
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.3,Zeph 2:3,2,"Шукайте Господа, всі покірні землі, хто виконує право Його! Шукайте правди, шукайте смирення, може будете сховані ви в день Господнього гніву!"
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.4,Zeph 2:4,3,"Бо покинута буде Азза, а Ашкелон опустошенням стане, Ашдод опівдня його виженуть, а Екрон буде вирваний."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.5,Zeph 2:5,4,"Горе мешканцям довкілля морського, народові критському! Слово Господнє на вас, хананеї, краю филистимлян, Я тебе вигублю так, що не буде мешканця!"
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.6,Zeph 2:6,5,"І буде довкілля морське пасовищами, повними ям пастухів та кошар для отари,"
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.7,Zeph 2:7,6,"і буде оце побережжя останкові дому Юдиного, на них пасти будуть, у домах Ашкелону ввечорі будуть лягати, бо їх відвідає Господь, їхній Бог, і Він їхню долю приверне."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.8,Zeph 2:8,7,"Чув Я ганьбу Моавову й образи Аммонових синів, які ображали народ Мій і чванилися над границею їхньою."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.9,Zeph 2:9,8,"Тому як живий Я! говорить Господь Саваот, Бог Ізраїлів, стане Моав як Содом, а Аммонові сини як Гоморра: землею тернини, і солончаком, і навіки спустошенням! Пограбує їх решта народу Мого, а залишок люду Мого їх посяде."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.10,Zeph 2:10,9,"Оце їм за їхню пиху, бо вони ображали й чванилися проти народу Господа Саваота."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.11,Zeph 2:11,10,"Господь буде грізний проти них, бо Він знищить всіх богів землі, і вклонятися будуть Йому кожен з місця свого, усі острови тих народів."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.12,Zeph 2:12,11,"Також ви, етіопляни, побиті мечем Моїм будете."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.13,Zeph 2:13,12,"І на північ простягне Він руку Свою, та й погубить Ашшура, і Ніневію учинить спустошенням, суходолом, мов ту пустелю."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.14,Zeph 2:14,13,"І будуть лежати серед неї стада, усяка польова звірина, і пелікан, і їжак будуть ночувати на мистецьких прикрасах її, сова буде кричати в вікні, на порозі ворона, бо віддерто кедрину його."
uk,NPU,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.15,Zeph 2:15,14,"Оце оте радісне місто, що безпечно живе, що говорить у серці своєму: Я, і немає вже більше нікого! Як стало воно опустошенням, леговищем для звірини! Кожен, хто буде проходить повз нього, засвище, своєю рукою махне!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.1,Zeph 3:1,0,"Горе місту тому ворохобному та занечищеному, місту насильникові!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.2,Zeph 3:2,1,"Не слухається воно голосу, не приймає картання, не складає надії на Господа, до Бога свого не зближається."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.3,Zeph 3:3,2,"Його зверхники посеред нього то леви ревучі, його судді вечірні вовки, які не лишають до ранку нічого."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.4,Zeph 3:4,3,"Пророки його чванькуваті, зрадливі, його священики зневажають святиню, ламають Закона."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.5,Zeph 3:5,4,"Серед нього Господь справедливий, Він кривди не чинить, щоранку дає Своє право на соняшне світло, не бракне його, але кривдник не відає сорому."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.6,Zeph 3:6,5,"Народи Я вигубив, попустошені їхні заборола, Я вулиці їхні зруйнував, і нема перехожого, їхні міста поруйновані, так що немає й людини, немає й мешканця!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.7,Zeph 3:7,6,"Я йому говорив: Тільки будеш боятись Мене, тільки приймеш картання, і не витяте буде мешкання його, усе, що про нього Я постановив, та вони ревно псули всі чини свої!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.8,Zeph 3:8,7,"Тому то чекайте Мене, промовляє Господь, на той день, коли встану, як свідок, бо право Моє позбирати народи, згромадити царства, щоб вилити на них Свою лють, увесь жар Свого гніву, бо огнем Моїх заздрощів буде поглинута ціла земля!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.9,Zeph 3:9,8,"Бо тоді уста чисті народам Я дам, щоб усі вони кликали Ймення Господнє, щоб раменом одним послужити Йому."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.10,Zeph 3:10,9,"З другого боку річок Етіопії Моїх поклонників, Моїх розпорошених дарунком Мені принесуть."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.11,Zeph 3:11,10,"Того дня ти не будеш соромитись всіма своїми ділами, якими грішив проти Мене, бо тоді Я відкину з твоєї середини тих, хто радіє твоєю пишнотою, і ти високо більш не стоятимеш вже на святій Моїй горі."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.12,Zeph 3:12,11,"І серед тебе зоставлю убогий й нужденний народ, і будуть шукати пристановища в Іменні Господнім вони."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.13,Zeph 3:13,12,"Останок Ізраїлів кривди не буде робити, і не будуть казати неправди, і облудний язик в їхніх устах не знайдеться, бо пастися будуть вони та вилежуватись, і не буде такого, хто б їх настрашив."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.14,Zeph 3:14,13,"Співай, дочко Сіону! Втішайся, Ізраїлю! Радій та втішайся всім серцем, дочко Єрусалиму!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.15,Zeph 3:15,14,"Відкинув Господь твої присуди, усунув у кут твого ворога! Серед тебе Господь, цар Ізраїлів, уже ти не будеш боятися зла!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.16,Zeph 3:16,15,Того дня буде сказане Єрусалимові: Не бійся! Сіонові: Нехай не опустяться руки твої!
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.17,Zeph 3:17,16,"Господь, Бог твій, серед тебе, Велет спасе! Він у радості буде втішатись тобою, обновить любов Свою, зо співом втішатися буде тобою!"
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.18,Zeph 3:18,17,"Тих, що сумують за святами, Я позбираю, від тебе вони, тягарем над ними був сором."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.19,Zeph 3:19,18,"Ось Я вчиню зо всіма мучителями твоїми кінець того часу, і спасу кульгаве, і позбираю розігнане, і зроблю їх хвалою та йменням у цілому Краї їхнього сорому."
uk,NPU,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.20,Zeph 3:20,19,"Того часу спроваджу Я вас, і того часу Я вас позбираю, бо на ймення й на славу віддам вас поміж усіх народів землі, коли долю верну вам на ваших очах, промовляє Господь."
