languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.1,Mal 1:1,0,Пророцтво Господнього слова до Ізраїля через Малахію.
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.2,Mal 1:2,1,"Я вас покохав, говорить Господь, а ви кажете: Як Ти нас покохав? Чи ж не брат Ісав Якову? каже Господь, а Я Якова був покохав,"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.3,Mal 1:3,2,"а Ісава зненавидів, і зробив його гори спустошенням, а спадок його для шакалів пустині."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.4,Mal 1:4,3,"Коли скаже Едом: Ми зруйновані, та знову збудуємо руїни, то так промовляє Господь Саваот: Вони побудують, а Я розвалю! І звати їх будуть: Країна безбожности, і народ, на якого навіки розгнівавсь Господь!"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.5,Mal 1:5,4,"І ваші очі побачать оце, і ви скажете: Стане великий Господь понад границю Ізраїлеву!"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.6,Mal 1:6,5,"Шанує син батька, а раб свого пана; та якщо Я вам батько, де пошана Моя? А якщо Я вам пан, де страх передо Мною? говорить Господь Саваот вам, священики, що погорджуєте Моїм Іменням та й кажете: Чим ми погордили Йменням Твоїм?"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.7,Mal 1:7,6,"На жертівник Мій ви приносите хліб занечищений і кажете: Чим Тебе ми зневажили? Тим, що кажете ви: Трапеза Господня вона погорджена!"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.8,Mal 1:8,7,"І коли ви проносите в жертву сліпе, це не зле? І як кульгаве та хворе приносите, чи ж це не зле? Принеси но подібне своєму намісникові, чи тебе він вподобає, чи підійме обличчя твоє? промовляє Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.9,Mal 1:9,8,"А тепер ублагайте ви Боже лице, і хай стане для нас милостивим. З ваших рук це було, то хіба кому з вас Він обличчя підійме? говорить Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.10,Mal 1:10,9,"Нехай хто серед вас замкне двері святині, і не буде надармо освічувати Мого жертівника! Я не маю вподоби до вас, говорить Господь Саваот, і з ваших рук не вподобаю дару!"
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.11,Mal 1:11,10,"Бо від сходу сонця й аж по захід його звеличиться Ймення Моє між народами, і кадиться в кожному місці для Ймення Мого дар чистий, бо звеличиться Ймення Моє між народами, каже Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.12,Mal 1:12,11,"Ви ж Його зневажаєте, кажучи: Трапеза Господня вона занечищена, й дохід її, обриджена страва її."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.13,Mal 1:13,12,"І до того говорите: Ось стільки праці! і ним нехтуєте, говорить Господь Саваот, і приносите крадене, і кульгаве та хворе, і таку жертву хлібну приносите. Чи буде воно Мені миле з рук ваших? говорить Господь."
uk,NPU,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.14,Mal 1:14,13,"І проклятий обманець, що в стаді його є самець, а він обіцяє та в жертву дає Господеві зіпсуте, а Я Цар великий, говорить Господь, і серед народів грізне Моє Ймення!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.1,Mal 2:1,0,"А тепер до вас заповідь цяя, священики!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.2,Mal 2:2,1,"Якщо ви не послухаєтесь, і не покладете на серце собі, щоб Іменню Моєму давати хвалу, говорить Господь Саваот, то пошлю Я прокляття на вас, і прокляну благословення ваші, і вже проклинаю, бо ви не берете до серця цього!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.3,Mal 2:3,2,"Ось Я обітну вам рамено, і розпорошу нечистість на ваших обличчях, нечистість свят ваших, і до неї вас винесуть."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.4,Mal 2:4,3,"І пізнаєте ви, що Я заповідь вам цю послав, щоб був заповіт Мій з Левієм, каже Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.5,Mal 2:5,4,"Заповіт Мій з ним був для життя та для миру, і Я дав йому страх, і він налякався Мене, та боявсь перед Іменням Моїм."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.6,Mal 2:6,5,"Закон правди в устах його був, і не знайшлась на губах його кривда, у мирі й простоті ходив він зо Мною, і багато-кого відвернув від вини."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.7,Mal 2:7,6,"Бо уста священикові знання стережуть та Закона шукають із уст його, бо він Ангол Господа Саваота."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.8,Mal 2:8,7,"А ви відхилились з дороги, вчинили таке, що багато спіткнулись в Законі, Левієвого заповіта понищили, говорить Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.9,Mal 2:9,8,"Тому то і Я вас зробив погорджуваними й низькими для всього народу, бо не стережете доріг Моїх ви, та не безсторонні в Законі."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.10,Mal 2:10,9,"Чи Отець нам усім не один? Хіба Бог не один нас створив? Чому ж один одного зраджуємо ми, щоб нам зневажати заповіт батьків наших?"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.11,Mal 2:11,10,"Зраджує Юда, і робиться нечисть серед Ізраїля та в Єрусалимі, бо Юда зневажив святиню Господню, яку покохав був, і дочку бога чужого за жінку узяв."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.12,Mal 2:12,11,"Нехай Господь вигубить кожного, хто таке робить, того, хто чуває та відповідає з наметів Якова, і хто дар приносить Господу Саваоту."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.13,Mal 2:13,12,"І робите й друге таке: Господнього жертівника ви слізьми покриваєте, плачем та стогнанням, бо до дарів уже Він не звернеться більше, і милої жертви з рук ваших не візьме."
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.14,Mal 2:14,13,"А ви ще й говорите: Защо? За те, що засвідчив Господь між тобою й жоною юнацтва твого, якій ти невірність вчинив, а вона ж твоя подруга, і дружина умови твоєї!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.15,Mal 2:15,14,"Хіба Бог не один нас учинив? І залишок духу Його. А що цей один? Насіння від Бога шукав. Тому свого духа пильнуйте, і дружину юнацтва свойого не зраджуйте!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.16,Mal 2:16,15,"Бо ненавиджу розвід, говорить Господь, Бог Ізраїлів, і того, хто вкриває насильством одежу свою, промовляє Господь Саваот. Тому свого духа пильнуйте, і не зраджуйте!"
uk,NPU,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.17,Mal 2:17,16,"Словами своїми ви мучите Господа, та й питаєте ще: Чим ми мучимо? Говоренням вашим: Кожен, хто чинить лихе, той добрий у Господніх очах, і Він у них уподобання має, або: Де Бог правосуддя?"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.1,Mal 3:1,0,"Ось Я посилаю Свого Ангола, і він перед обличчям Моїм приготує дорогу. І нагло прибуде до храму Свого Господь, Якого шукаєте ви, і Ангол заповіту, Якого жадаєте. Ось іде Він, говорить Господь Саваот!"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.2,Mal 3:2,1,"І хто витерпить день Його прибуття, і хто встоїть, коли Він з'явиться? Бо Він, як огонь той у золотаря, і як у пральників луг."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.3,Mal 3:3,2,"І Він сяде топити та чистити срібло, і очистить синів Левія, і їх перечистить, як золото й срібло, і будуть для Господа жертву приносити в правді."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.4,Mal 3:4,3,"Тоді буде дар Юди та Єрусалиму приємний для Господа, як за днів віковічних і за років стародавніх."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.5,Mal 3:5,4,"І прибуду до вас Я на суд, і буду свідком швидким проти чарівників, і на перелюбників, і проти тих, хто присягу складає на лжу, і проти тих, хто заплатою наймита тисне, вдову й сироту, хто відхилює право чужинця, Мене ж не боїться, говорить Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.6,Mal 3:6,5,"Бо Я, Господь, не змінююся, тому ви, сини Яковові, не будете знищені."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.7,Mal 3:7,6,"Від устав Моїх ви відступили з днів ваших батьків, і їх не стерегли. Верніться ж до Мене, і вернусь Я до вас! промовляє Господь Саваот. Та говорите ви: У чому повернемось?"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.8,Mal 3:8,7,"Чи Бога людина обманить? Мене ж ви обманюєте, ще й говорите: Чим ми Тебе обманили? Десятиною та приносами!"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.9,Mal 3:9,8,"Прокляттям ви прокляті, а Мене обманили, о люду ти ввесь!"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.10,Mal 3:10,9,"Принесіть же ви всю десятину до дому скарбниці, щоб страва була в Моїм храмі, і тим Мене випробуйте, промовляє Господь Саваот: чи небесних отворів вам не відчиню, та не виллю вам благословення аж надмір?"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.11,Mal 3:11,10,"І ради вас насварю Я все те, що жере, і воно не понищить вам земного плоду, і не заб'є винограду вам на полі, говорить Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.12,Mal 3:12,11,"І будуть всі люди вважати вас блаженними, бо будете ви любим Краєм, говорить Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.13,Mal 3:13,12,"Жорсткі ваші слова проти Мене, говорить Господь, а ви кажете: Що ми на Тебе сказали?"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.14,Mal 3:14,13,"Ви кажете: Марність служити для Бога! І що за користь, що ми стережемо Його службу, та ходимо в жалобі перед лицем Господа Саваота?"
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.15,Mal 3:15,14,"А тепер ми вважаємо пишних щасливими, і ті, хто вчиняє безбожне, будуються та випробовують Бога, і втікають..."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.16,Mal 3:16,15,"Змовлялись тоді один з одним і ті, хто страх перед Господом має, і прислухавсь Господь, і почув, і перед обличчям Його була писана пам'ятна книга про тих, хто страх перед Господом має, і хто поважає Ймення Його."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.17,Mal 3:17,16,"І будуть Мені вони власністю, каже Господь Саваот, на той день, що вчиню, і змилосерджусь над ними, як змилосерджується чоловік над синами своїми, що служать йому."
uk,NPU,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.18,Mal 3:18,17,"І ви знову побачите різне між праведним та нечестивим, між тим, хто Богові служить, та тим, хто не служить Йому."
uk,NPU,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.1,Mal 4:1,0,"Бо ось наступає той день, що палає, як піч, і стануть всі пишні та кожен, хто чинить безбожне, соломою, і спалить їх день той, який наступає, говорить Господь Саваот, Який не позоставить їм кореня, ані галузки."
uk,NPU,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.2,Mal 4:2,1,"А для вас, хто Ймення Мойого боїться, зійде Сонце Правди та лікування в промінях Його, і ви вийдете та поскакаєте, мов ті ситі телята!"
uk,NPU,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.3,Mal 4:3,2,"І безбожних топтати ви будете, бо стануть за попіл вони під п'ятами ніг ваших у той день, що його Я вчиню, промовляє Господь Саваот."
uk,NPU,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.4,Mal 4:4,3,"Згадайте Закона Мойсея, Мого раба, що йому наказав на Хориві устави й права щодо всього Ізраїля."
uk,NPU,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.5,Mal 4:5,4,"Ось Я пошлю вам пророка Іллю, перше ніж день Господній настане, великий й страшний!"
