languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.1,Mark 1:1,0,"Початок Євангелії Ісуса Христа, Сина Божого."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.2,Mark 1:2,1,"Як у пророка Ісаї написано: Ось перед обличчя Твоє посилаю Свого посланця, який перед Тобою дорогу Твою приготує."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.3,Mark 1:3,2,"Голос того, хто кличе: У пустині готуйте дорогу для Господа, рівняйте стежки Йому!"
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.4,Mark 1:4,3,"виступив був так Іван, що в пустині христив та проповідував хрищення на покаяння для прощення гріхів."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.5,Mark 1:5,4,"І до нього приходила вся країна Юдейська та всі єрусалимляни, і в річці Йордані від нього христились вони, і визнавали гріхи свої."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.6,Mark 1:6,5,"А Іван зодягався в одежу з верблюжого волосу, і мав пояс ремінний на стегнах своїх, а їв сарану та мед польовий."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.7,Mark 1:7,6,"І він проповідував, кажучи: Услід за мною йде он Потужніший від мене, що Йому я негідний, нагнувшись, розв'язати ремінця від узуття Його."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.8,Mark 1:8,7,"Я христив вас водою, а Той вас христитиме Духом Святим."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.9,Mark 1:9,8,"І сталося тими днями, прийшов Ісус з Назарету Галілейського, і від Івана христився в Йордані."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.10,Mark 1:10,9,"І зараз, коли Він виходив із води, то побачив Іван небо розкрите, і Духа, як голуба, що сходив на Нього."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.11,Mark 1:11,10,"І голос із неба почувся: Ти Син Мій Улюблений, що Я вподобав Його!"
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.12,Mark 1:12,11,І зараз повів Його Дух у пустиню.
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.13,Mark 1:13,12,"І Він був сорок днів у пустині, випробовуваний від сатани, і перебував зо звіриною. І служили Йому Анголи."
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.14,Mark 1:14,13,"А коли Іван виданий був, то прийшов Ісус до Галілеї, і проповідував Божу Євангелію,"
uk,NPU,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.15,Mark 1:15,14,"і говорив: Збулися часи, і Боже Царство наблизилось. Покайтеся, і віруйте в Євангелію!"
