languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.1,Luke 1:1,0,"Через те, що багато-хто брались складати оповість про справи, які стались між нами,"
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.2,Luke 1:2,1,"як нам ті розповіли, хто спочатку були самовидцями й слугами Слова,"
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.3,Luke 1:3,2,"тому й я, все від першої хвилі докладно розвідавши, забажав описати за порядком для тебе, високодостойний Теофіле,"
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.4,Luke 1:4,3,"щоб пізнав ти істоту науки, якої навчився."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.5,Luke 1:5,4,"За днів царя юдейського Ірода був один священик, на ім'я Захарій, з денної черги Авія, та дружина його із дочок Ааронових, а ім'я їй Єлисавета."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.6,Luke 1:6,5,"І обоє вони були праведні перед Богом, бездоганно сповняючи заповіді й постанови Господні."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.7,Luke 1:7,6,"А дитини не мали вони, бо Єлисавета неплідна була, та й віку старого обоє були."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.8,Luke 1:8,7,"І ось раз, як у порядку своєї черги він служив перед Богом,"
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.9,Luke 1:9,8,"за звичаєм священства, жеребком йому випало до Господнього храму ввійти й покадити."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.10,Luke 1:10,9,Під час же кадіння вся безліч народу молилась знадвору.
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.11,Luke 1:11,10,"І з'явивсь йому Ангол Господній, ставши праворуч кадильного жертівника."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.12,Luke 1:12,11,"І стривоживсь Захарій, побачивши, і острах на нього напав."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.13,Luke 1:13,12,"А Ангол до нього промовив: Не бійся, Захаріє, бо почута молитва твоя, і дружина твоя Єлисавета сина породить тобі, ти ж даси йому ймення Іван."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.14,Luke 1:14,13,"І він буде на радість та втіху тобі, і з його народження багато-хто втішаться."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.15,Luke 1:15,14,"Бо він буде великий у Господа, ні вина, ні п'янкого напою не питиме, і наповниться Духом Святим ще з утроби своєї матері."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.16,Luke 1:16,15,І багато синів із Ізраїля він наверне до їхнього Господа Бога.
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.17,Luke 1:17,16,"І він сам перед Ним буде йти в духу й силі Іллі, щоб серця батьків привернути до дітей, і неслухняних до мудрости праведних, щоб готових людей спорядити для Господа."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.18,Luke 1:18,17,"І промовив Захарій до Ангола: Із чого пізнаю я це? Я ж старий, та й дружина моя вже похилого віку..."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.19,Luke 1:19,18,"А Ангол прорік йому в відповідь: Я Гавриїл, що стою перед Богом; мене послано, щоб говорити з тобою, і звістити тобі про цю Добру Новину."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.20,Luke 1:20,19,"І замовкнеш ось ти, і говорити не зможеш аж до дня, коли станеться це, за те, що ти віри не йняв був словам моїм, які збудуться часу свого!"
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.21,Luke 1:21,20,"А люди чекали Захарія, та й дивувались, чого забаривсь він у храмі."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.22,Luke 1:22,21,"Коли ж вийшов, не міг говорити до них, і вони зрозуміли, що видіння він бачив у храмі. А він тільки знаки їм давав, і залишився німий..."
uk,NPU,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.23,Luke 1:23,22,"І як дні його служби скінчились, він вернувся до дому свого."
