languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.1,Acts 1:1,0,"Першу книгу я був написав, о Теофіле, про все те, що Ісус від початку чинив та навчав,"
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.2,Acts 1:2,1,"аж до дня, коли через Духа Святого подав Він накази апостолам, що їх вибрав, і вознісся."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.3,Acts 1:3,2,"А по муці Своїй Він ставав перед ними живий із засвідченнями багатьма, і сорок день їм з'являвся та про Божеє Царство казав."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.4,Acts 1:4,3,"А зібравшися з ними, Він звелів, щоб вони не відходили з Єрусалиму, а чекали обітниці Отчої, що про неї казав ви чули від Мене."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.5,Acts 1:5,4,"Іван бо водою христив, ви ж охрищені будете Духом Святим через кілька тих днів!"
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.6,Acts 1:6,5,"А вони, зійшовшись, питали Його й говорили: Чи не часу цього відбудуєш Ти, Господи, царство Ізраїлеві?"
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.7,Acts 1:7,6,"А Він їм відказав: То не ваша справа знати час та добу, що Отець поклав у владі Своїй."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.8,Acts 1:8,7,"Та ви приймете силу, як Дух Святий злине на вас, і Моїми ви свідками будете в Єрусалимі, і в усій Юдеї та в Самарії, та аж до останнього краю землі."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.9,Acts 1:9,8,"І, прорікши оце, як дивились вони, Він угору возноситись став, а хмара забрала Його сперед їхніх очей..."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.10,Acts 1:10,9,"А коли вони пильно дивились на небо, як Він віддалявся, то два мужі у білій одежі ось стали при них,"
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.11,Acts 1:11,10,"та й сказали: Галілейські мужі, чого стоїте й задивляєтесь на небо? Той Ісус, що вознісся на небо від вас, прийде так, як бачили ви, як ішов Він на небо!"
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.12,Acts 1:12,11,"Тоді вони повернулись до Єрусалиму з гори, що Оливною зветься, і що знаходиться поблизько Єрусалиму, на віддаль дороги суботнього дня."
uk,NPU,Acts,Acts,43,Acts.1,Acts 1,0,Acts.1.13,Acts 1:13,12,"А прийшовши, увійшли вони в горницю, де й перебували: Петро та Іван, та Яків та Андрій, Пилип та Фома, Варфоломій та Матвій, Яків Алфеїв та Симон Зилот, та Юда Яковів."
