languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.1,Rom 1:1,0,"Павло, раб Ісуса Христа, покликаний апостол, вибраний для звіщання Євангелії Божої,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.2,Rom 1:2,1,"яке Він перед тим приобіцяв через Своїх пророків у святих Писаннях,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.3,Rom 1:3,2,"про Сина Свого, що тілом був із насіння Давидового,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.4,Rom 1:4,3,"і об'явився Сином Божим у силі, за духом святости, через воскресення з мертвих, про Ісуса Христа, Господа нашого,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.5,Rom 1:5,4,"що через Нього прийняли ми благодать і апостольство на послух віри через Ім'я Його між усіма народами,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.6,Rom 1:6,5,"між якими й ви, покликані Ісуса Христа,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.7,Rom 1:7,6,"усім, хто знаходиться в Римі, улюбленим Божим, вибраним святим, благодать вам та мир від Бога, Отця нашого, і Господа Ісуса Христа!"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.8,Rom 1:8,7,"Отже, насамперед дякую Богові моєму через Ісуса Христа за всіх вас, що віра ваша звіщається по всьому світові."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.9,Rom 1:9,8,"Бо свідок мені Бог, Якому служу духом своїм у звіщанні Євангелії Його Сина, що я безперестанно згадую про вас,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.10,Rom 1:10,9,"і в молитвах своїх завжди молюся, щоб воля Божа щасливо попровадила мене коли прийти до вас."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.11,Rom 1:11,10,"Бо прагну вас бачити, щоб подати вам якого дара духовного для зміцнення вас,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.12,Rom 1:12,11,"цебто потішитись разом між вами спільною вірою і вашою, і моєю."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.13,Rom 1:13,12,"Не хочу ж, щоб ви не знали, браття, що багато разів мав я замір прийти до вас, але мені перешкоджувано аж досі, щоб мати який плід і в вас, як і в інших народів."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.14,Rom 1:14,13,"А гелленам і чужоземцям, розумним і немудрим я боржник."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.15,Rom 1:15,14,"Отже, щодо мене, я готовий і вам, хто знаходиться в Римі, звіщати Євангелію."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.16,Rom 1:16,15,"Бо я не соромлюсь Євангелії, бож вона сила Божа на спасіння кожному, хто вірує, перше ж юдеєві, а потім гелленові."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.17,Rom 1:17,16,"Правда бо Божа з'являється в ній з віри в віру, як написано: А праведний житиме вірою."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.18,Rom 1:18,17,"Бо гнів Божий з'являється з неба на всяку безбожність і неправду людей, що правду гамують неправдою,"
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.19,Rom 1:19,18,"тому, що те, що можна знати про Бога, явне для них, бо їм Бог об'явив."
uk,NPU,Rom,Rom,44,Rom.1,Rom 1,0,Rom.1.20,Rom 1:20,19,"Бо Його невидиме від створення світу, власне Його вічна сила й Божество, думанням про твори стає видиме. Так що нема їм виправдання,"
