languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.1,1Cor 1:1,0,"Павло, волею Божою покликаний за апостола Ісуса Христа, і брат Состен,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.2,1Cor 1:2,1,"Божій Церкві, що в Коринті, посвяченим у Христі Ісусі, покликаним святим, зо всіма, що на всякому місті прикликають Ім'я Господа нашого Ісуса Христа, їхнього і нашого,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.3,1Cor 1:3,2,благодать вам і мир від Бога Отця нашого й Господа Ісуса Христа!
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.4,1Cor 1:4,3,"Я завжди дякую моєму Богові за вас, через Божу благодать, що була вам дана в Христі Ісусі,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.5,1Cor 1:5,4,"бо ви всім збагатилися в Ньому, словом усяким і всяким знанням,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.6,1Cor 1:6,5,"бо свідоцтво Христове між вами утвердилось,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.7,1Cor 1:7,6,"так що не маєте недостачі в жаднім дарі благодаті ви, що очікуєте з'явлення Господа нашого Ісуса Христа."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.8,1Cor 1:8,7,Він вас утвердить до кінця неповинними бути дня Господа нашого Ісуса Христа!
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.9,1Cor 1:9,8,"Вірний Бог, що ви через Нього покликані до спільноти Сина Його Ісуса Христа, Господа нашого."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.10,1Cor 1:10,9,"Тож благаю вас, браття, Ім'ям Господа нашого Ісуса Христа, щоб ви всі говорили те саме, і щоб не було поміж вами поділення, але щоб були ви поєднані в однім розумінні та в думці одній!"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.11,1Cor 1:11,10,"Бо стало відомо мені про вас, мої браття, від Хлоїних, що між вами суперечки."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.12,1Cor 1:12,11,"А кажу я про те, що з вас кожен говорить: я ж Павлів, а я Аполлосів, а я Кифин, а я Христів."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.13,1Cor 1:13,12,Чи ж Христос поділився? Чи ж Павло був розп'ятий за вас? Чи в Павлове ім'я ви христились?
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.14,1Cor 1:14,13,"Дякую Богові, що я ані одного з вас не христив, окрім Кріспа та Гая,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.15,1Cor 1:15,14,"щоб ніхто не сказав, ніби я охристив був у ймення своє."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.16,1Cor 1:16,15,"Охристив же був я й дім Степанів; більш не знаю, чи христив кого іншого я."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.17,1Cor 1:17,16,"Бо Христос не послав мене, щоб христити, а звіщати Євангелію, і то не в мудрості слова, щоб безсилим не став хрест Христа."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.18,1Cor 1:18,17,"Бож слово про хреста тим, що гинуть, то глупота, а для нас, що спасаємось, Сила Божа!"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.19,1Cor 1:19,18,"Бо написано: Я погублю мудрість премудрих, а розум розумних відкину!"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.20,1Cor 1:20,19,Де мудрий? Де книжник? Де дослідувач віку цього? Хіба Бог мудрість світу цього не змінив на глупоту?
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.21,1Cor 1:21,20,"Через те ж, що світ мудрістю не зрозумів Бога в мудрості Божій, то Богові вгодно було спасти віруючих через дурість проповіді."
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.22,1Cor 1:22,21,"Бо й юдеї жадають ознак, і греки пошукують мудрости,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.23,1Cor 1:23,22,"а ми проповідуємо Христа розп'ятого, для юдеїв згіршення, а для греків безумство,"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.24,1Cor 1:24,23,"а для самих покликаних юдеїв та греків Христа, Божу силу та Божую мудрість!"
uk,NPU,1Cor,1Cor,45,1Cor.1,1Cor 1,0,1Cor.1.25,1Cor 1:25,24,"Бо Боже й немудре розумніше воно від людей, а Боже немічне сильніше воно від людей!"
