languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Павло, з волі Божої апостол Христа Ісуса, святим, що в Ефесі, і вірним у Христі Ісусі,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,"нехай буде вам благодать та мир від Бога, Отця нашого, і Господа Ісуса Христа!"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Благословенний Бог і Отець Господа нашого Ісуса Христа, що нас у Христі поблагословив усяким благословенням духовним у небесах,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,"так як вибрав у Ньому Він нас перше заложення світу, щоб були перед Ним ми святі й непорочні, у любові,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"призначивши наперед, щоб нас усиновити для Себе Ісусом Христом, за вподобанням волі Своєї,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"на хвалу слави благодаті Своєї, якою Він обдарував нас в Улюбленім,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"що маємо в Ньому відкуплення кров'ю Його, прощення провин, через багатство благодаті Його,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,"яку Він намножив у нас у всякій премудрості й розважності,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"об'явивши нам таємницю волі Своєї за Своїм уподобанням, яке постановив у Самому Собі,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"для урядження виповнення часів, щоб усе об'єднати в Христі, що на небі, і що на землі."
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"У Нім, що в Нім стали ми й спадкоємцями, бувши призначені наперед постановою Того, Хто все чинить за радою волі Своєї,"
uk,NPU,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,"щоб на хвалу Його слави були ми, що перше надіялися на Христа."
