languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.1,Titus 1:1,0,"Павло, раб Божий, а апостол Ісуса Христа, по вірі вибраних Божих і пізнанні правди, що за благочестям,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.2,Titus 1:2,1,"в надії вічного життя, яке обіцяв був від вічних часів необманливий Бог,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.3,Titus 1:3,2,"і часу свого з'явив Слово Своє в проповіданні, що доручене було мені з наказу Спасителя нашого Бога,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.4,Titus 1:4,3,"до Тита, щирого сина за спільною вірою: благодать, милість та мир від Бога Отця й Христа Ісуса, Спасителя нашого!"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.5,Titus 1:5,4,"Я для того тебе полишив був у Кріті, щоб ти впорядкував недокінчене та пресвітерів настановив по містах, як тобі я звелів,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.6,Titus 1:6,5,"коли хто бездоганний, муж єдиної дружини, має вірних дітей, недокорених за блуд або неслухняність."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.7,Titus 1:7,6,"Бо єпископ мусить бути бездоганний, як Божий доморядник, не самолюбний, не гнівливий, не п'яниця, не заводіяка, не корисливий,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.8,Titus 1:8,7,"але гостинний до приходнів, добролюбець, поміркований, справедливий, побожний, стриманий,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.9,Titus 1:9,8,"що тримається вірного слова згідно з наукою, щоб мав силу й навчати в здоровій науці, і переконувати противних."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.10,Titus 1:10,9,"Багато бо є неслухняних, марнословців, зводників, особливо ж з обрізаних,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.11,Titus 1:11,10,"їм треба уста затуляти: вони цілі доми баламутять, навчаючи, чого не належить, для зиску брудного."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.12,Titus 1:12,11,"Сказав один з них, їхній власний пророк: Крітяни завжди брехливі, люті звірі, черевані ліниві!..."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.13,Titus 1:13,12,"Це свідоцтво правдиве. Ради цієї причини докоряй їм суворо, щоб у вірі здорові були,"
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.14,Titus 1:14,13,"і на юдейські байки не вважали, ані на накази людей, що від правди відвертаються."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.15,Titus 1:15,14,"Для чистих все чисте, а для занечищених та для невірних не чисте ніщо, але занечистилися і розум їхній, і сумління."
uk,NPU,Titus,Titus,55,Titus.1,Titus 1,0,Titus.1.16,Titus 1:16,15,"Вони твердять, немов знають Бога, але відкидаються вчинками, бувши бридкі й неслухняні, і до всякого доброго діла нездатні."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.1,Titus 2:1,0,"А ти говори, що відповідає здоровій науці."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.2,Titus 2:2,1,"Щоб старі чоловіки тверезі були, поважні, помірковані, здорові у вірі, у любові, у терпеливості."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.3,Titus 2:3,2,"Щоб старі жінки в своїм стані так само були, як належить святим, не обмовниці, не віддані п'янству, навчали добра,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.4,Titus 2:4,3,"щоб навчали жінок молодих любити своїх чоловіків, любити дітей,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.5,Titus 2:5,4,"щоб були помірковані, чисті, господарні, добрі, слухняні своїм чоловікам, щоб не зневажалося Боже Слово."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.6,Titus 2:6,5,"Так само благай юнаків, щоб були помірковані."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.7,Titus 2:7,6,"У всім сам себе подавай за зразка добрих діл, у навчанні непорушеність, повагу,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.8,Titus 2:8,7,"слово здорове, неосудливе, щоб противник був засоромлений, не мавши нічого лихого казати про нас."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.9,Titus 2:9,8,"Раби щоб корилися панам своїм, щоб догоджали, не перечили,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.10,Titus 2:10,9,"не крали, але виявляли всяку добру вірність, щоб у всьому вони прикрашали науку Спасителя нашого Бога."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.11,Titus 2:11,10,"Бо з'явилася Божа благодать, що спасає всіх людей,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.12,Titus 2:12,11,"і навчає нас, щоб ми, відцуравшись безбожности та світських пожадливостей, жили помірковано та праведно, і побожно в теперішнім віці,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.13,Titus 2:13,12,"і чекали блаженної надії та з'явлення слави великого Бога й Спаса нашого Христа Ісуса,"
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.14,Titus 2:14,13,"що Самого Себе дав за нас, щоб нас визволити від усякого беззаконства та очистити Собі людей вибраних, у добрих ділах запопадливих."
uk,NPU,Titus,Titus,55,Titus.2,Titus 2,1,Titus.2.15,Titus 2:15,14,"Оце говори та нагадуй, та з усяким наказом картай. Хай тобою ніхто не погордує!"
