languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.1,Heb 1:1,0,"Багато разів і багатьма способами в давнину промовляв був Бог до отців через пророків,"
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.2,Heb 1:2,1,"а в останні ці дні промовляв Він до нас через Сина, що Його настановив за Наслідника всього, що Ним і віки Він створив."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.3,Heb 1:3,2,"Він був сяєвом слави та образом істоти Його, тримав усе словом сили Своєї, учинив Собою очищення наших гріхів, і засів на правиці величности на висоті."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.4,Heb 1:4,3,"Він остільки був ліпший понад Анголів, оскільки славніше за них успадкував Ім'я."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.5,Heb 1:5,4,"Кому бо коли з Анголів Він промовив: Ти Мій Син, Я сьогодні Тебе породив! І знову: Я буду Йому за Отця, а Він Мені буде за Сина!"
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.6,Heb 1:6,5,"І коли знов Він уводить на світ Перворідного, то говорить: І нехай Йому вклоняться всі Анголи Божі."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.7,Heb 1:7,6,"А про Анголів Він говорить: Ти чиниш духів Анголами Своїми, а палючий огонь Своїми слугами."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.8,Heb 1:8,7,"А про Сина: Престол Твій, о Боже, навік віку; берло Твого царювання берло праведности."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.9,Heb 1:9,8,"Ти полюбив праведність, а беззаконня зненавидів; через це намастив Тебе, Боже, Твій Бог оливою радости більше, ніж друзів Твоїх."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.10,Heb 1:10,9,"І: Ти, Господи, землю колись заклав, а небо то чин Твоїх рук."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.11,Heb 1:11,10,"Загинуть вони, а Ти будеш стояти, всі вони, як той одяг, постаріють."
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.12,Heb 1:12,11,"Як одежу, їх зміниш, і минуться вони, а Ти завжди Той Самий, і роки Твої не закінчаться!"
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.13,Heb 1:13,12,"Кому з Анголів Він промовив коли: Сядь праворуч Мене, доки не покладу Я Твоїх ворогів підніжком ногам Твоїм!"
uk,NPU,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.14,Heb 1:14,13,"Чи не всі вони духи служебні, що їх посилають на службу для тих, хто має спасіння вспадкувати?"
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.1,Heb 2:1,0,"Через це подобає нам більше вважати на почуте, щоб ми не відпали коли."
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.2,Heb 2:2,1,"Коли бо те слово, що сказали його Анголи, було певне, а всякий переступ та непослух прийняли справедливу заплату,"
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.3,Heb 2:3,2,"то як ми втечемо, коли ми не дбали про таке велике спасіння? Воно проповідувалося спочатку від Господа, ствердилося нам через тих, хто почув,"
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.4,Heb 2:4,3,"коли Бог був засвідчив ознаками й чудами, і різними силами та обдаруванням Духом Святим із волі Своєї."
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.5,Heb 2:5,4,"Бо Він не піддав Анголам світ майбутній, що про нього говоримо."
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.6,Heb 2:6,5,"Але хтось десь засвідчив був, кажучи: Що є чоловік, що Ти пам'ятаєш про нього, і син людський, якого відвідуєш?"
uk,NPU,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.7,Heb 2:7,6,"Ти його вчинив мало меншим від Анголів, і честю й величністю Ти вінчаєш його, і поставив його над ділами рук Своїх,"
