languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.1,Jas 1:1,0,"Яків, раб Бога й Господа Ісуса Христа, дванадцятьом племенам, які в Розпорошенні, вітаю я вас!"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.2,Jas 1:2,1,"Майте, брати мої, повну радість, коли впадаєте в усілякі випробовування,"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.3,Jas 1:3,2,"знаючи, що досвідчення вашої віри дає терпеливість."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.4,Jas 1:4,3,"А терпеливість нехай має чин досконалий, щоб ви досконалі та бездоганні були, і недостачі ні в чому не мали."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.5,Jas 1:5,4,"А якщо кому з вас не стачає мудрости, нехай просить від Бога, що всім дає просто, та не докоряє, і буде вона йому дана."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.6,Jas 1:6,5,"Але нехай просить із вірою, без жадного сумніву. Бо хто має сумнів, той подібний до морської хвилі, яку жене й кидає вітер."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.7,Jas 1:7,6,"Нехай бо така людина не гадає, що дістане що від Господа."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.8,Jas 1:8,7,Двоєдушна людина непостійна на всіх дорогах своїх.
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.9,Jas 1:9,8,"А понижений брат нехай хвалиться високістю своєю,"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.10,Jas 1:10,9,"а багатий пониженням своїм, бо він промине, як той цвіт трав'яний,"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.11,Jas 1:11,10,"бо сонце зійшло зо спекотою, і траву посушило, і відпав цвіт її, і зникла краса її виду... Так само зів'яне й багатий у дорогах своїх!"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.12,Jas 1:12,11,"Блаженна людина, що витерпить пробу, бо, бувши випробувана, дістане вінця життя, якого Господь обіцяв тим, хто любить Його."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.13,Jas 1:13,12,"Випробовуваний, хай не каже ніхто: Я від Бога спокушуваний. Бо Бог злом не спокушується, і нікого Він Сам не спокушує."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.14,Jas 1:14,13,"Але кожен спокушується, як надиться й зводиться пожадливістю власною."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.15,Jas 1:15,14,"Пожадливість потому, зачавши, народжує гріх, а зроблений гріх народжує смерть."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.16,Jas 1:16,15,"Не обманюйтесь, брати мої любі!"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.17,Jas 1:17,16,"Усяке добре давання та дар досконалий походить згори від Отця світил, що в Нього нема переміни чи тіні відміни."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.18,Jas 1:18,17,"Захотівши, Він нас породив словом правди, щоб ми стали якимсь первопочином творів Його."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.19,Jas 1:19,18,"Отож, мої брати любі, нехай буде кожна людина швидка послухати, забарна говорити, повільна на гнів."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.20,Jas 1:20,19,Бо гнів людський не чинить правди Божої.
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.21,Jas 1:21,20,"Тому то відкиньте всіляку нечисть та залишок злоби, і прийміть із лагідністю всіяне слово, що може спасти ваші душі."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.22,Jas 1:22,21,"Будьте ж виконавцями слова, а не слухачами самими, що себе самих обманюють."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.23,Jas 1:23,22,"Бо хто слухач слова, а не виконавець, той подібний людині, що риси обличчя свого розглядає у дзеркалі,"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.24,Jas 1:24,23,"бо розгляне себе та й відійде, і зараз забуде, яка вона є."
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.25,Jas 1:25,24,"А хто заглядає в закон досконалий, закон волі, і в нім пробуває, той не буде забудько слухач, але виконавець діла, і він буде блаженний у діянні своїм!"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.26,Jas 1:26,25,"Коли ж хто гадає, що він побожний, і свого язика не вгамовує, та своє серце обманює, марна побожність того!"
uk,NPU,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.27,Jas 1:27,26,"Чиста й непорочна побожність перед Богом і Отцем оця: зглянутися над сиротами та вдовицями в утисках їхніх, себе берегти чистим від світу."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.1,Jas 2:1,0,"Брати мої, не зважаючи на обличчя, майте віру в нашого Господа слави, Ісуса Христа."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.2,Jas 2:2,1,"Бо коли до вашого зібрання ввійде чоловік із золотим перснем, у шаті блискучій, увійде й бідар у вбогім вбранні,"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.3,Jas 2:3,2,"і ви поглянете на того, хто в шаті блискучій, і скажете йому: Ти сідай вигідно отут, а бідареві прокажете: Ти стань там, чи сідай собі тут на підніжку моїм,"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.4,Jas 2:4,3,"то чи не стало між вами поділення, і не стали ви злодумними суддями?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.5,Jas 2:5,4,"Послухайте, мої брати любі, чи ж не вибрав Бог бідарів цього світу за багатих вірою й за спадкоємців Царства, яке обіцяв Він тим, хто любить Його?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.6,Jas 2:6,5,"А ви бідаря зневажили! Хіба не багачі переслідують вас, хіба не вони тягнуть вас на суди?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.7,Jas 2:7,6,"Хіба не вони зневажають те добре ім'я, що ви ним називаєтесь?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.8,Jas 2:8,7,"Коли ви Закона Царського виконуєте, за Писанням: Люби свого ближнього, як самого себе, то ви робите добре."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.9,Jas 2:9,8,"Коли ж дивитеся на обличчя, то чините гріх, бо Закон удоводнює, що ви винуватці."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.10,Jas 2:10,9,"Бо хто всього Закона виконує, а згрішить в одному, той винним у всьому стає."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.11,Jas 2:11,10,"Бо Той, Хто сказав: Не чини перелюбства, також наказав: Не вбивай. А хоч ти перелюбства не чиниш, а вб'єш, то ти переступник Закону."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.12,Jas 2:12,11,"Отак говоріть і отак чиніть, як такі, що будете суджені законом волі."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.13,Jas 2:13,12,"Бо суд немилосердний на того, хто не вчинив милосердя. Милосердя бо ставиться вище за суд."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.14,Jas 2:14,13,"Яка користь, брати мої, коли хто говорить, що має віру, але діл не має? Чи може спасти його віра?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.15,Jas 2:15,14,"Коли ж брат чи сестра будуть нагі, і позбавлені денного покорму,"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.16,Jas 2:16,15,"а хтонебудь із вас до них скаже: Ідіть з миром, грійтесь та їжте, та не дасть їм потрібного тілу, що ж то поможе?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.17,Jas 2:17,16,"Так само й віра, коли діл не має, мертва в собі!"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.18,Jas 2:18,17,"Але скаже хтонебудь: Маєш ти віру, а я маю діла; покажи мені віру свою без діл твоїх, а я покажу тобі віру свою від діл моїх."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.19,Jas 2:19,18,"Чи віруєш ти, що Бог один? Добре робиш! Та й демони вірують, і тремтять."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.20,Jas 2:20,19,"Чи хочеш ти знати, о марна людино, що віра без діл мертва?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.21,Jas 2:21,20,"Авраам, отець наш, чи він не з діл виправданий був, як поклав був на жертівника свого сина Ісака?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.22,Jas 2:22,21,"Чи ти бачиш, що віра помогла його ділам, і вдосконалилась віра із діл?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.23,Jas 2:23,22,"І здійснилося Писання, що каже: Авраам же ввірував Богові, і це йому зараховане в праведність, і був названий він другом Божим."
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.24,Jas 2:24,23,"Отож, чи ви бачите, що людина виправдується від діл, а не тільки від віри?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.25,Jas 2:25,24,"Чи так само і блудниця Рахав не з діл виправдалась, коли прийняла посланців, і дорогою іншою випустила?"
uk,NPU,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.26,Jas 2:26,25,"Бо як тіло без духа мертве, так і віра без діл мертва!"
uk,NPU,Jas,Jas,58,Jas.3,Jas 3,2,Jas.3.1,Jas 3:1,0,"Не багато-хто ставайте, брати мої, учителями, знавши, що більший осуд приймемо."
uk,NPU,Jas,Jas,58,Jas.3,Jas 3,2,Jas.3.2,Jas 3:2,1,"Бо багато ми всі помиляємось. Коли хто не помиляється в слові, то це муж досконалий, спроможний приборкувати й усе тіло."
uk,NPU,Jas,Jas,58,Jas.3,Jas 3,2,Jas.3.3,Jas 3:3,2,"От і коням вкладаєм уздечки до рота, щоб корилися нам, і ми всім їхнім тілом керуємо."
