languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.1,1John 1:1,0,"Що було від початку, що ми чули, що бачили власними очима, що розглядали, і чого руки наші торкалися, про Слово життя,"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.2,1John 1:2,1,"а життя з'явилось, і ми бачили, і свідчимо, і звіщаємо вам життя вічне, що в Отця перебувало й з'явилося нам,"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.3,1John 1:3,2,"що ми бачили й чули про те ми звіщаємо вам, щоб і ви мали спільність із нами. Спільність же наша з Отцем і Сином Його Ісусом Христом."
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.4,1John 1:4,3,"А це пишемо вам, щоб повна була ваша радість!"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.5,1John 1:5,4,"А це звістка, що ми її чули від Нього і звіщаємо вам: Бог є світло, і немає в Нім жадної темряви!"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.6,1John 1:6,5,"Коли ж кажемо, що маємо спільність із Ним, а ходимо в темряві, то неправду говоримо й правди не чинимо!"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.7,1John 1:7,6,"Коли ж ходимо в світлі, як Сам Він у світлі, то маємо спільність один із одним, і кров Ісуса Христа, Його Сина, очищує нас від усякого гріха."
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.8,1John 1:8,7,"Коли ж кажемо, що не маєм гріха, то себе обманюємо, і немає в нас правди!"
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.9,1John 1:9,8,"Коли ми свої гріхи визнаємо, то Він вірний та праведний, щоб гріхи нам простити, та очистити нас від неправди всілякої."
uk,NPU,1John,1John,61,1John.1,1John 1,0,1John.1.10,1John 1:10,9,"А як кажемо, що ми не згрішили, то чинимо з Нього неправдомовця, і слова Його нема в нас!"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.1,1John 2:1,0,"Діточки мої, це пишу я до вас, щоб ви не грішили! А коли хто згрішить, то маємо Заступника перед Отцем, Ісуса Христа, Праведного."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.2,1John 2:2,1,"Він ублагання за наші гріхи, і не тільки за наші, але й за гріхи всього світу."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.3,1John 2:3,2,"А що ми пізнали Його, пізнаємо це з того, коли заповіді Його додержуємо."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.4,1John 2:4,3,"Хто говорить: Пізнав я Його, але не додержує Його заповідів, той неправдомовець, і немає в нім правди!"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.5,1John 2:5,4,"А хто додержує Його слово, у тому Божа любов справді вдосконалилась. Із того ми пізнаємо, що в Нім пробуваємо."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.6,1John 2:6,5,"А хто каже, що в Нім пробуває, той повинен поводитись так, як поводився Він."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.7,1John 2:7,6,"Улюблені, не пишу я для вас нову заповідь, але заповідь давню, яку мали від початку: заповідь давня, то слово, що чули його від початку."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.8,1John 2:8,7,"Але нову заповідь я вам пишу, що справді вона в Нім та в вас, що минається темрява, і світло правдиве вже світить."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.9,1John 2:9,8,"Хто говорить, що він пробуває у світлі, та ненавидить брата свого, той у темряві досі."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.10,1John 2:10,9,"А хто любить брата свого, той пробуває у світлі, і в ньому спотикання немає."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.11,1John 2:11,10,"Хто ж ненавидить брата свого, пробуває той у темряві й ходить у темряві, і не знає, куди він іде, бо темрява очі йому осліпила."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.12,1John 2:12,11,"Пишу я вам, дітоньки, що гріхи вам прощаються ради Ймення Його."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.13,1John 2:13,12,"Пишу вам, батьки, бо ви пізнали Того, Хто від початку. Пишу вам, юнаки, бо перемогли ви лукавого."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.14,1John 2:14,13,"Пишу, діти, вам, бо ви пізнали Отця. Я писав вам, батьки, бо ви пізнали Того, Хто від початку. Писав я до вас, юнаки, бо міцні ви, і Слово Боже в вас пробуває, і лукавого перемогли ви."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.15,1John 2:15,14,"Не любіть світу, ані того, що в світі. Коли любить хто світ, у тім немає любови Отцівської,"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.16,1John 2:16,15,"бо все, що в світі: пожадливість тілесна, і пожадливість очам, і пиха життєва, це не від Отця, а від світу."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.17,1John 2:17,16,"Минається і світ, і його пожадливість, а хто Божу волю виконує, той повік пробуває!"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.18,1John 2:18,17,"Діти остання година! А що чули були, що антихрист іде, а тепер з'явилось багато антихристів, з цього ми пізнаємо, що остання година настала!"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.19,1John 2:19,18,"Із нас вони вийшли, та до нас не належали. Коли б були належали до нас, то залишилися б з нами; але вийшли, щоб відкрилось, що не всі вони наші."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.20,1John 2:20,19,"А ви маєте помазання від Святого, і знаєте все."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.21,1John 2:21,20,"Я не писав вам, немов ви не знаєте правди, але що знаєте її, і що всяка лжа не від правди."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.22,1John 2:22,21,"Хто неправдомовець, як не той, хто відкидає, що Ісус є Христос? Це антихрист, що відрікається Отця й Сина!"
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.23,1John 2:23,22,"Кожен, хто відрікається Сина, не має Отця; хто визнає Сина, той має Отця."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.24,1John 2:24,23,"Тож, що ви чули з початку, нехай в вас пробуває воно; якщо в вас пробуватиме те, що ви чули з початку, то й ви пробуватимете в Сині й Отці."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.25,1John 2:25,24,"А оце та обітниця, яку Він Сам обіцяв нам: вічне життя."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.26,1John 2:26,25,"Це я написав вам про тих, хто обманює вас."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.27,1John 2:27,26,"А помазання, яке прийняли ви від Нього, воно в вас залишається, і ви не потребуєте, щоб вас хто навчав. А що те помазання само вас навчає про все, воно бо правдиве й нехибне, то як вас навчило воно, у тім пробувайте."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.28,1John 2:28,27,"А тепер, діточки, залишайтеся в Нім, щоб, як з'явиться Він, то щоб ми мали відвагу та не були засоромлені Ним під час Його приходу."
uk,NPU,1John,1John,61,1John.2,1John 2,1,1John.2.29,1John 2:29,28,"Коли знаєте, що Він праведний, то знайте, що всякий, хто чинить справедливість, народився від Нього."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.1,1John 3:1,0,"Подивіться, яку любов дав нам Отець, щоб ми були дітьми Божими, і ними ми є. Світ нас не знає тому, що Його не пізнав."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.2,1John 3:2,1,"Улюблені, ми тепер Божі діти, але ще не виявилось, що ми будемо. Та знаємо, що, коли з'явиться, то будем подібні до Нього, бо будемо бачити Його, як Він є."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.3,1John 3:3,2,"І кожен, хто має на Нього надію оцю, очищає себе так же само, як чистий і Він."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.4,1John 3:4,3,"Кожен, хто чинить гріх, чинить і беззаконня. Бо гріх то беззаконня."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.5,1John 3:5,4,"І ви знаєте, що Він був з'явився, щоб гріхи наші взяти, а гріха в Нім нема."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.6,1John 3:6,5,"Кожен, хто в Нім пробуває, не грішить; усякий, хто грішить, не бачив Його, і не пізнав Його."
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.7,1John 3:7,6,"Діточки, хай ніхто вас не зводить! Хто чинить правду, той праведний, як праведний Він!"
uk,NPU,1John,1John,61,1John.3,1John 3,2,1John.3.8,1John 3:8,7,"Хто чинить гріх, той від диявола, бо диявол грішить від початку. Тому то з'явився Син Божий, щоб знищити справи диявола."
