languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.1,Jude 1:1,0,"Юда, раб Ісуса Христа, а брат Якова, покликаним, улюбленим у Бозі Отці та збереженим Ісусом Христом:"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.2,Jude 1:2,1,"милість вам, і мир, і любов хай примножиться!"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.3,Jude 1:3,2,"Улюблені, всяке дбання чинивши писати до вас про наше спільне спасіння, я признав за потрібне писати до вас, благаючи боротись за віру, раз дану святим."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.4,Jude 1:4,3,"Бо крадькома повходили деякі люди, на цей осуд віддавна призначені, безбожні, що благодать нашого Бога обертають у розпусту, і відкидаються єдиного Владики і Господа нашого Ісуса Христа."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.5,Jude 1:5,4,"А я хочу нагадати вам, що раз усе знаєте, що Господь визволив людей від землі єгипетської, а згодом вигубив тих, хто не вірував."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.6,Jude 1:6,5,"І Анголів, що не зберегли початкового стану свого, але кинули житло своє, Він зберіг у вічних кайданах під темрявою на суд великого дня."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.7,Jude 1:7,6,"Як Содом і Гоморра та міста коло них, що таким самим способом чинили перелюб та ходили за іншим тілом, понесли кару вічного огню, і поставлені в приклад,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.8,Jude 1:8,7,"так само буде й цим сновидам, що опоганюють тіло, погорджують владами, зневажають слави."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.9,Jude 1:9,8,"І сам Архангол Михаїл, коли сперечався з дияволом і говорив про Мойсеєве тіло, не наважився винести суду зневажливого, а сказав: Хай Господь докорить тобі!"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.10,Jude 1:10,9,"А ці зневажають, чого не знають; а що знають із природи, як німа звірина, то й у тому псуються."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.11,Jude 1:11,10,"Горе їм, бо пішли вони дорогою Каїновою, і попали в обману Валаамової заплати, і загинули в бунті Корея!"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.12,Jude 1:12,11,"Вони скелі підводні на ваших вечерях любови, бо з вами без страху їдять та себе попасають; хмари безводні, що носяться вітром; осінні дерева безплідні, двічі померлі, викорінені;"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.13,Jude 1:13,12,"люті хвилі морські, що з піною викидають власний сором; зорі блудні, що для них морок темряви бережеться повік."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.14,Jude 1:14,13,"Про них же звіщав був Енох, сьомий від Адама, і казав: Ось іде Господь зо Своїми десятками тисяч святих,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.15,Jude 1:15,14,"щоб суд учинити над усіма, і винуватити всіх безбожних за всі вчинки безбожности їхньої, що безбожно накоїли, та за всі жорстокі слова, що їх говорили на Нього безбожні грішники."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.16,Jude 1:16,15,"Це ремствувачі, незадоволені з долі своєї, що ходять у своїх пожадливостях, а уста їхні говорять чванливе; вони вихваляють особи для зиску!"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.17,Jude 1:17,16,"А ви, улюблені, згадуйте слова, що їх давніше казали апостоли Господа нашого Ісуса Христа,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.18,Jude 1:18,17,"які вам говорили: За останнього часу будуть глузії, що ходитимуть за своїми пожадливостями та безбожністю."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.19,Jude 1:19,18,"Це ті, хто відлучується від єдности, тілесні, що духа не мають."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.20,Jude 1:20,19,"А ви, улюблені, будуйте себе найсвятішою вашою вірою, моліться Духом Святим,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.21,Jude 1:21,20,"бережіть себе самих у Божій любові, і чекайте милости Господа нашого Ісуса Христа для вічного життя."
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.22,Jude 1:22,21,"І до одних, хто вагається, будьте милостиві,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.23,Jude 1:23,22,"спасайте і виривайте з огню, а до інших будьте милосердні зо страхом, і ненавидьте навіть одежу, опоганену від тіла!"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.24,Jude 1:24,23,"А Тому, Хто може вас зберегти від упадку, і поставити перед Своєю славою непорочними в радості,"
uk,NPU,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.25,Jude 1:25,24,"Єдиному премудрому Богові, Спасителеві нашому через Ісуса Христа, Господа нашого, слава, могутність, сила та влада перше всього віку, і тепер, і на всі віки! Амінь."
