languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.1,Rev 1:1,0,"Об'явлення Ісуса Христа, яке дав Йому Бог, щоб показати Своїм рабам, що незабаром статися має. І Він показав, і послав Своїм Анголом рабові Своєму Іванові,"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.2,Rev 1:2,1,"який свідчив про Слово Боже, і про свідчення Ісуса Христа, і про все, що він бачив."
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.3,Rev 1:3,2,"Блаженний, хто читає, і ті, хто слухає слова пророцтва та додержує написане в ньому, час бо близький!"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.4,Rev 1:4,3,"Іван до семи Церков, що в Азії: благодать вам і мир від Того, Хто є, Хто був і Хто має прийти; і від семи духів, що перед престолом Його,"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.5,Rev 1:5,4,"та від Ісуса Христа, а Він Свідок вірний, Первенець з мертвих і Владика земних царів. Йому, що нас полюбив і кров'ю Своєю обмив нас від наших гріхів,"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.6,Rev 1:6,5,"що вчинив нас царями, священиками Богові й Отцеві Своєму, Тому слава та сила на вічні віки! Амінь."
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.7,Rev 1:7,6,"Ото Він із хмарами йде, і побачить Його кожне око, і ті, що Його прокололи були, і всі племена землі будуть плакати за Ним. Так, амінь!"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.8,Rev 1:8,7,"Я Альфа й Омега, говорить Господь, Бог, Той, Хто є, і Хто був, і Хто має прийти, Вседержитель!"
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.9,Rev 1:9,8,"Я, Іван, ваш брат і спільник у біді, і в царстві, і в терпінні в Ісусі, був на острові, що зветься Патмос, за Слово Боже і за свідчення Ісуса Христа."
uk,NPU,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.10,Rev 1:10,9,"Я був у дусі Господнього дня, і почув за собою голос гучний, немов сурми,"
