languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.1,Exod 1:1,0,以色列 的众儿子各带着家眷，和 雅各 一同来到 埃及 ，他们的名字如下：
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.2,Exod 1:2,1,吕便 、 西缅 、 利未 、 犹大 、
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.3,Exod 1:3,2,以萨迦 、 西布伦 、 便雅悯 、
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.4,Exod 1:4,3,但 、 拿弗他利 、 迦得 、 亚设 。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.5,Exod 1:5,4,凡从 雅各 生的，共有七十人。那时， 约瑟 已经在 埃及 。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.6,Exod 1:6,5,约瑟 和他所有的兄弟，以及那一代的人都死了。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.7,Exod 1:7,6,然而， 以色列 人生养众多，繁衍昌盛，极其强盛，遍满了那地。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.8,Exod 1:8,7,有一位不认识 约瑟 的新王兴起，统治 埃及 。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.9,Exod 1:9,8,他对自己的百姓说：“看哪， 以色列 人的百姓比我们还多，又比我们强盛。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.10,Exod 1:10,9,来吧，让我们机巧地待他们，恐怕他们增多起来，将来若有战争，他们就联合我们的仇敌来攻击我们，然后离开这地去了。”
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.11,Exod 1:11,10,于是 埃及 人派监工管辖他们，用劳役苦待他们。他们为法老建造储货城，就是 比东 和 兰塞 。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.12,Exod 1:12,11,可是越苦待他们，他们就越发增多，更加繁衍， 埃及 人就因 以色列 人愁烦。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.13,Exod 1:13,12,埃及 人严厉地强迫 以色列 人做工，
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.14,Exod 1:14,13,使他们因苦工而生活痛苦；无论是和泥，是做砖，是做田间各样的工，一切的工 埃及 人都严厉地对待他们。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.15,Exod 1:15,14,埃及 王又对 希伯来 的接生婆，一个名叫 施弗拉 ，另一个名叫 普阿 的说：
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.16,Exod 1:16,15,“你们为 希伯来 妇人接生，临盆的时候要注意 ，若是男的，就把他杀了，若是女的，就让她活。”
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.17,Exod 1:17,16,但是接生婆敬畏上帝，不照 埃及 王的吩咐去做，却让男孩活着。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.18,Exod 1:18,17,埃及 王召了接生婆来，对她们说：“你们为什么做这事，让男孩活着呢？”
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.19,Exod 1:19,18,接生婆对法老说：“因为 希伯来 妇人与 埃及 妇人不同； 希伯来 妇人健壮，接生婆还没有到，她们已经生产了。”
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.20,Exod 1:20,19,上帝恩待接生婆； 以色列 人增多起来，极其强盛。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.21,Exod 1:21,20,接生婆因为敬畏上帝，上帝就叫她们成立家室。
zh,RCUVSS,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.22,Exod 1:22,21,法老吩咐他的众百姓说：“把所生的 每一个男孩都丢到 尼罗河 里去，让所有的女孩存活。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.1,Exod 2:1,0,有一个 利未 家的人娶了一个 利未 女子为妻。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.2,Exod 2:2,1,那女人怀孕，生了一个儿子，见他俊美，就把他藏了三个月，
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.3,Exod 2:3,2,后来不能再藏，就取了一个蒲草箱，抹上柏油和树脂，将孩子放在里面，把箱子搁在 尼罗河 边的芦苇中。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.4,Exod 2:4,3,孩子的姊姊远远站着，要知道他究竟会怎样。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.5,Exod 2:5,4,法老的女儿来到 尼罗河 边洗澡，她的女仆们在河边行走。她看见在芦苇中的箱子，就派一个使女把它拿来。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.6,Exod 2:6,5,她打开箱子，看见那孩子。看哪，男孩在哭，她就可怜他，说：“这是 希伯来 人的一个孩子。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.7,Exod 2:7,6,孩子的姊姊对法老的女儿说：“我去叫一个 希伯来 妇人来作奶妈，替你乳养这孩子，好吗？”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.8,Exod 2:8,7,法老的女儿对她说：“去吧！”那女孩就去叫了孩子的母亲来。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.9,Exod 2:9,8,法老的女儿对她说：“你把这孩子抱去，替我乳养这孩子，我必给你工钱。”那妇人就把孩子接过来，乳养他。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.10,Exod 2:10,9,孩子长大了，妇人把他带到法老的女儿那里，就作了她的儿子。她给孩子起名叫 摩西 ，说：“因我把他从水里拉出来。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.11,Exod 2:11,10,过了一段日子， 摩西 长大了，他出去到他同胞那里，看见他们的劳役。他看见一个 埃及 人打他的同胞，一个 希伯来 人。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.12,Exod 2:12,11,他左右观看，见没有人，就把 埃及 人打死了，藏在沙土里。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.13,Exod 2:13,12,第二天他出去，看哪，有两个 希伯来 人在打架，他就对那凶恶的人说：“你为什么打你同族的人呢？”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.14,Exod 2:14,13,那人说：“谁立你作我们的领袖和审判官呢？难道你要杀我，像杀那 埃及 人一样吗？” 摩西 就惧怕，说：“这事一定是让人知道了。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.15,Exod 2:15,14,法老听见这事，就设法要杀 摩西 。于是 摩西 逃走，躲避法老，到了 米甸 地，坐在井旁。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.16,Exod 2:16,15,米甸 的祭司有七个女儿；她们来打水，打满了槽，要给父亲的羊群喝水。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.17,Exod 2:17,16,有一些牧羊人来，把她们赶走， 摩西 却起来帮助她们，取水给她们的羊群喝。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.18,Exod 2:18,17,她们回到父亲 流珥 那里；他说：“今日你们为何这么快就回来了呢？”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.19,Exod 2:19,18,她们说：“有一个 埃及 人来救我们脱离牧羊人的手，他甚至打水给我们的羊群喝。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.20,Exod 2:20,19,他对女儿们说：“那人在哪里？你们为什么撇下他呢？去请他来吃饭吧！”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.21,Exod 2:21,20,摩西 愿意和那人同住， 那人就把女儿 西坡拉 给 摩西 为妻。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.22,Exod 2:22,21,西坡拉 生了一个儿子， 摩西 给他起名叫 革舜 ，因他说：“我在外地作了寄居者。”
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.23,Exod 2:23,22,过了许多年， 埃及 王死了。 以色列 人因做苦工，就叹息哀求；他们因苦工所发出的哀声达于上帝。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.24,Exod 2:24,23,上帝听见他们的哀声，就记念他与 亚伯拉罕 、 以撒 、 雅各 所立的约。
zh,RCUVSS,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.25,Exod 2:25,24,上帝看顾 以色列 人，上帝是知道的 。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.1,Exod 3:1,0,摩西 牧放他岳父 米甸 祭司 叶特罗 的羊群，他领羊群往旷野的那一边去，到了上帝的山，就是 何烈山 。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.2,Exod 3:2,1,耶和华的使者在荆棘的火焰中向他显现。 摩西 观看，看哪，荆棘在火中焚烧，却没有烧毁。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.3,Exod 3:3,2,摩西 说：“我要转过去看这大异象，这荆棘为何没有烧毁呢？”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.4,Exod 3:4,3,耶和华见 摩西 转过去看，上帝就从荆棘里呼叫他说：“ 摩西 ！ 摩西 ！”他说：“我在这里。”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.5,Exod 3:5,4,上帝说：“不要靠近这里。把你脚上的鞋脱下来，因为你所站的地方是圣地”。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.6,Exod 3:6,5,他又说：“我是你父亲的上帝，是 亚伯拉罕 的上帝， 以撒 的上帝， 雅各 的上帝。” 摩西 蒙上脸，因为怕看上帝。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.7,Exod 3:7,6,耶和华说：“我确实看见了我百姓在 埃及 所受的困苦，我也听见了他们因受监工苦待所发的哀声；我确实知道他们的痛苦。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.8,Exod 3:8,7,我下来是要救他们脱离 埃及 人的手，领他们从那地上来，到美好与宽阔之地，到流奶与蜜之地，就是 迦南 人、 赫 人、 亚摩利 人、 比利洗 人、 希未 人、 耶布斯 人之地。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.9,Exod 3:9,8,现在，看哪， 以色列 人的哀声达到我这里，我也看见 埃及 人怎样欺压他们。
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.10,Exod 3:10,9,现在，你去，我要差派你到法老那里，把我的百姓 以色列 人从 埃及 领出来。”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.11,Exod 3:11,10,摩西 对上帝说：“我是什么人，竟能去见法老，把 以色列 人从 埃及 领出来呢？”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.12,Exod 3:12,11,上帝说：“我必与你同在。这就是我差派你去，给你的凭据：你把百姓从 埃及 领出来之后，你们必在这山上事奉上帝。”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.13,Exod 3:13,12,摩西 对上帝说：“看哪，我到 以色列 人那里，对他们说：‘你们祖宗的上帝差派我到你们这里来。’他们若对我说：‘他叫什么名字？’我要对他们说什么呢？”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.14,Exod 3:14,13,上帝对 摩西 说：“我是自有永有的”；又说：“你要对 以色列 人这样说：‘那自有永有的差派我到你们这里来。’”
zh,RCUVSS,Exod,Exod,1,Exod.3,Exod 3,2,Exod.3.15,Exod 3:15,14,上帝又对 摩西 说：“你要对 以色列 人这样说：‘耶和华－你们祖宗的上帝，就是 亚伯拉罕 的上帝， 以撒 的上帝， 雅各 的上帝差派我到你们这里来。’这是我的名，直到永远；这也是我的称号 ，直到万代。
