languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.1,Judg 1:1,0,约书亚 死后， 以色列 人求问耶和华说：“我们中间谁当首先上去攻打 迦南 人，与他们争战呢？”
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.2,Judg 1:2,1,耶和华说：“ 犹大 要先上去。看哪，我已将那地交在他手中。”
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.3,Judg 1:3,2,犹大 对他哥哥 西缅 说：“请你同我上到我抽签所得之地，与 迦南 人争战；我也同你去你抽签所得之地。”于是 西缅 与他同去。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.4,Judg 1:4,3,犹大 就上去，耶和华把 迦南 人和 比利洗 人交在他们手中。他们在 比色 击杀了一万人。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.5,Judg 1:5,4,他们在 比色 遇见 亚多尼．比色 ，与他争战，击败了 迦南 人和 比利洗 人。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.6,Judg 1:6,5,亚多尼．比色 逃跑，他们追赶他，捉住他，砍断他大拇指和大脚趾。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.7,Judg 1:7,6,亚多尼．比色 说：“从前有七十个王，大拇指和大脚趾都被我砍断，在我桌子底下拾取零碎食物。现在上帝照着我所做的报应我了。”他们把 亚多尼．比色 带到 耶路撒冷 ，他就死在那里。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.8,Judg 1:8,7,犹大 人攻打 耶路撒冷 ，夺取了它，用刀杀城内的人，并且放火烧城。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.9,Judg 1:9,8,后来 犹大 人下去，与住山区、 尼革夫 和低地的 迦南 人争战。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.10,Judg 1:10,9,犹大 去攻打住 希伯仑 的 迦南 人，杀了 示筛 、 亚希幔 、 挞买 。 希伯仑 从前名叫 基列．亚巴 。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.11,Judg 1:11,10,犹大 从那里去攻击 底壁 的居民。 底壁 从前名叫 基列．西弗 。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.12,Judg 1:12,11,迦勒 说：“谁能攻打 基列．西弗 ，夺取那城，我就把我女儿 押撒 嫁给他。”
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.13,Judg 1:13,12,迦勒 的弟弟 基纳斯 的儿子 俄陀聂 夺取了那城， 迦勒 就把女儿 押撒 嫁给他。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.14,Judg 1:14,13,押撒 来的时候，催促丈夫 向她父亲要一块田。 押撒 一下驴， 迦勒 就对她说：“你要什么？”
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.15,Judg 1:15,14,她对 迦勒 说：“求你赐我福分；你既然把 尼革夫 给了我，求你也给我水泉。” 迦勒 就把上泉和下泉都赐给她。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.16,Judg 1:16,15,摩西 的岳父是 基尼 人，他的子孙与 犹大 人一起上到棕树城，往 亚拉得 以南的 犹大 旷野 去，住在百姓当中 。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.17,Judg 1:17,16,犹大 和他哥哥 西缅 同去，击杀了住 洗法 的 迦南 人，将城彻底毁灭。因此，那城名叫 何珥玛 。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.18,Judg 1:18,17,犹大 攻取了 迦萨 和所属的领土， 亚实基伦 和所属的领土， 以革伦 和所属的领土。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.19,Judg 1:19,18,耶和华与 犹大 同在， 犹大 取得了山区，却不能赶出平原的居民，因为他们有铁的战车。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.20,Judg 1:20,19,以色列 人照 摩西 所说的，把 希伯仑 给了 迦勒 。 迦勒 从那里赶出 亚衲 的三支后裔。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.21,Judg 1:21,20,至于住 耶路撒冷 的 耶布斯 人， 便雅悯 人没有把他们赶出。于是， 耶布斯 人与 便雅悯 人同住在 耶路撒冷 ，直到今日。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.22,Judg 1:22,21,约瑟 家也上到 伯特利 去，耶和华与他们同在。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.23,Judg 1:23,22,约瑟 家去窥探 伯特利 ，那城起先名叫 路斯 。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.24,Judg 1:24,23,探子看见一个人从城里出来，就对他说：“请你把进城的路指示我们，我们会厚待你。”
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.25,Judg 1:25,24,那人把进城的路指示他们。他们就用刀击杀了城中的居民，却放走那人和他的全家。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.26,Judg 1:26,25,那人往 赫 人之地去，建造了一座城，起名叫 路斯 。那城到如今还叫这名。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.27,Judg 1:27,26,玛拿西 没有赶出 伯˙善 和所属乡镇 的居民， 他纳 和所属乡镇的居民， 多珥 和所属乡镇的居民， 以伯莲 和所属乡镇的居民， 米吉多 和所属乡镇的居民； 迦南 人仍坚持住在这地。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.28,Judg 1:28,27,以色列 强盛的时候，就叫 迦南 人做苦工，没有把他们全然赶走。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.29,Judg 1:29,28,以法莲 没有赶出住 基色 的 迦南 人。于是 迦南 人仍住在 基色 ，在 以法莲 中间。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.30,Judg 1:30,29,西布伦 没有赶出 基伦 的居民和 拿哈拉 的居民。于是 迦南 人仍住在 西布伦 中间，成了服劳役的人。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.31,Judg 1:31,30,亚设 没有赶出 亚柯 的居民和 西顿 的居民，以及 亚黑拉 、 亚革悉 、 黑巴 、 亚弗革 和 利合 的居民。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.32,Judg 1:32,31,亚设 人因为没有赶出那地的居民 迦南 人，就住在他们中间。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.33,Judg 1:33,32,拿弗他利 没有赶出 伯˙示麦 和 伯˙亚纳 的居民。于是 拿弗他利 就住在那地的居民 迦南 人中，而 伯˙示麦 和 伯˙亚纳 的居民却成了为他们服劳役的人。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.34,Judg 1:34,33,亚摩利 人强逼 但 人住在山区，不准他们下到平原。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.35,Judg 1:35,34,亚摩利 人仍坚持住在 希烈山 、 亚雅仑 和 沙宾 ；然而 约瑟 家权势强盛的时候，他们成为服劳役的人。
zh,RCUVSS,Judg,Judg,6,Judg.1,Judg 1,0,Judg.1.36,Judg 1:36,35,亚摩利 人 的地界是从 亚克拉滨 斜坡，从 西拉 延伸而上。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.1,Judg 2:1,0,耶和华的使者从 吉甲 上到 波金 ，说：“我领你们从 埃及 上来，带你们到我向你们列祖起誓应许之地。我曾说：‘我永不废弃我与你们的约。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.2,Judg 2:2,1,你们不可与这地的居民立约，要拆毁他们的祭坛。’你们竟没有听从我的话。你们为何这样做呢！
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.3,Judg 2:3,2,因此我说：‘我必不将他们从你们面前赶出。他们必作你们肋下的荆棘 ，他们的神明必成为你们的圈套。’”
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.4,Judg 2:4,3,耶和华的使者向 以色列 众人说这些话的时候，百姓放声大哭。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.5,Judg 2:5,4,于是他们给那地方起名叫 波金 ，并在那里向耶和华献祭。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.6,Judg 2:6,5,约书亚 解散百姓， 以色列 人回到自己的地业，占各自的地。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.7,Judg 2:7,6,约书亚 在世的日子和他死了以后，那些见过耶和华为 以色列 所做一切大事的长老还在世的时候，百姓都事奉耶和华。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.8,Judg 2:8,7,耶和华的仆人， 嫩 的儿子 约书亚 死了，那时他一百一十岁。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.9,Judg 2:9,8,以色列 人把他葬在他自己地业的境内， 以法莲 山区的 亭拿．希烈 ，在 迦实山 的北边。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.10,Judg 2:10,9,那世代的人也都归到自己的列祖。后来兴起的另一世代不认识耶和华，也不知道他为 以色列 所做的事。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.11,Judg 2:11,10,以色列 人行耶和华眼中看为恶的事，去事奉诸 巴力 。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.12,Judg 2:12,11,他们离弃领他们出 埃及 地的耶和华－他们列祖的上帝，去随从别神，就是四围列国的神明，向它们叩拜，惹耶和华发怒。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.13,Judg 2:13,12,他们离弃了耶和华，去事奉 巴力 和 亚斯她录 。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.14,Judg 2:14,13,耶和华的怒气向 以色列 发作，把他们交在抢夺他们的人手中，又把他们交给四围仇敌的手中 ，以致他们在仇敌面前再也不能站立得住。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.15,Judg 2:15,14,他们无论往何处去，耶和华的手都以灾祸攻击他们，正如耶和华所说的，又如耶和华向他们所起的誓；他们就极其困苦。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.16,Judg 2:16,15,耶和华兴起士师，士师就拯救他们脱离抢夺他们之人的手。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.17,Judg 2:17,16,然而，他们却不听从士师，竟随从别神而行淫，向它们叩拜。他们列祖所行的道，所听从耶和华的命令，他们都速速偏离了，并不照样遵行。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.18,Judg 2:18,17,耶和华为他们兴起士师，耶和华与士师同在。士师在世的一切日子，耶和华拯救他们脱离仇敌的手。耶和华因他们受欺压迫害所发出的哀声，就怜悯他们。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.19,Judg 2:19,18,但士师一死，他们又转去行恶，比他们祖宗更坏，去随从别神，事奉叩拜它们，总不放弃他们的恶习和顽梗的行为。
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.20,Judg 2:20,19,于是耶和华的怒气向 以色列 发作，说：“因为这国违背我吩咐他们列祖当守的约，不听从我的话，
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.21,Judg 2:21,20,约书亚 死的时候所剩下的各国，我必不再从他们面前赶出任何一个，
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.22,Judg 2:22,21,为要藉此考验 以色列 是否肯谨守遵行耶和华的道，像他们列祖一样地谨守。”
zh,RCUVSS,Judg,Judg,6,Judg.2,Judg 2,1,Judg.2.23,Judg 2:23,22,耶和华留下那些国家，不将他们速速赶出，也不把他们交在 约书亚 的手中。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.1,Judg 3:1,0,耶和华留下这些国家，为要考验所有未曾经历 迦南 任何战役的 以色列 人，
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.2,Judg 3:2,1,只是为了要 以色列 人的后代认识战争，教导他们，尤其那些未曾认识这些事的人。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.3,Judg 3:3,2,留下的有 非利士 的五个领袖，所有的 迦南 人， 西顿 人，以及从 巴力．黑门山 到 哈马口 ，住 黎巴嫩山 的 希未 人。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.4,Judg 3:4,3,他们是为了要考验 以色列 ，好知道他们是否肯听从耶和华藉 摩西 吩咐他们列祖的命令。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.5,Judg 3:5,4,以色列 人住在 迦南 人、 赫 人、 亚摩利 人、 比利洗 人、 希未 人、 耶布斯 人中间，
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.6,Judg 3:6,5,娶他们的女儿，将自己的女儿嫁给他们的儿子，并事奉他们的神明。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.7,Judg 3:7,6,以色列 人行耶和华眼中看为恶的事，忘记耶和华－他们的上帝，去事奉诸 巴力 和 亚舍拉 ，
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.8,Judg 3:8,7,所以耶和华的怒气向 以色列 发作，把他们交给 美索不达米亚 王 古珊．利萨田 的手中。 以色列 人服事 古珊．利萨田 八年。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.9,Judg 3:9,8,以色列 人呼求耶和华，耶和华就为 以色列 人兴起一位拯救者来救他们，就是 迦勒 的弟弟 基纳斯 的儿子 俄陀聂 。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.10,Judg 3:10,9,耶和华的灵降在他身上，他就作了 以色列 的士师。他出去争战，耶和华将 亚兰 王 古珊．利萨田 交在他手中，他的手战胜了 古珊．利萨田 。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.11,Judg 3:11,10,于是这地太平四十年。 基纳斯 的儿子 俄陀聂 死了。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.12,Judg 3:12,11,以色列 人又行耶和华眼中看为恶的事。耶和华使 摩押 王 伊矶伦 强大，攻击 以色列 ，因为他们行耶和华眼中看为恶的事。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.13,Judg 3:13,12,伊矶伦 召集 亚扪 人和 亚玛力 人到他那里，他就去攻打 以色列 ，占据了棕树城。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.14,Judg 3:14,13,于是 以色列 人服事 摩押 王 伊矶伦 十八年。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.15,Judg 3:15,14,以色列 人呼求耶和华，耶和华就为他们兴起一位拯救者， 便雅悯 人 基拉 的儿子 以笏 ，他是个惯用左手的人 。 以色列 人托他送礼物给 摩押 王 伊矶伦 。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.16,Judg 3:16,15,以笏 打造了一把两刃的剑，长一短肘 ，绑在右腿上衣服里面。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.17,Judg 3:17,16,他把礼物献给 摩押 王 伊矶伦 。 伊矶伦 是个很肥胖的人。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.18,Judg 3:18,17,以笏 献完礼物的时候，就把抬礼物的人送走。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.19,Judg 3:19,18,但他自己却从靠近 吉甲 的雕像那里转回来，说：“王啊，我有一件机密的事要奏告你。”王说：“回避吧！”于是所有侍立在他左右的人都退去了。
zh,RCUVSS,Judg,Judg,6,Judg.3,Judg 3,2,Judg.3.20,Judg 3:20,19,以笏 来到王那里，那时他独自一人坐在阴凉的顶楼。 以笏 说：“我有上帝的话向你报告。”王就从座位上站起来。
