languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.1,Ezra 1:1,0,波斯 王 居鲁士 元年，耶和华为要应验藉 耶利米 的口所说的话，就激发 波斯 王 居鲁士 的心，使他下诏书通告全国，说：
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.2,Ezra 1:2,1,“ 波斯 王 居鲁士 如此说：耶和华天上的上帝已将地上万国赐给我，又委派我在 犹大 的 耶路撒冷 为他建造殿宇。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.3,Ezra 1:3,2,你们中间凡作他子民的，可以上 犹大 的 耶路撒冷 去，重建耶和华－ 以色列 上帝的殿，他是在 耶路撒冷 的上帝；愿上帝与这人同在。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.4,Ezra 1:4,3,凡存留的人，无论寄居何处，那地的人要用金银、财物、牲畜帮助他，还要为 耶路撒冷 上帝的殿甘心献上礼物。”
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.5,Ezra 1:5,4,于是， 犹大 和 便雅悯 的族长、祭司、 利未 人，凡是心被上帝感动的人都起来，要上 耶路撒冷 去建造耶和华的殿。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.6,Ezra 1:6,5,四围所有的人都拿银器 、金子、财物、牲畜、珍宝支持他们 ，此外还有甘心献的一切礼物 。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.7,Ezra 1:7,6,居鲁士 王也把耶和华殿的器皿拿出来，这些器皿是 尼布甲尼撒 从 耶路撒冷 掠取，放在自己神明庙中的。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.8,Ezra 1:8,7,波斯 王 居鲁士 派 米提利达 司库把这些器皿拿出来，点交给 犹大 的领袖 设巴萨 。
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.9,Ezra 1:9,8,它们的数目如下：金盘三十个，银盘一千个，刀二十九把，
zh,RCUVSS,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.10,Ezra 1:10,9,金碗三十个，备用银碗四百一十个，其他器皿一千件。
