languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.1,Esth 1:1,0,这事发生在 亚哈随鲁 的时代， 亚哈随鲁 从 印度 直到 古实 统治一百二十七个省，
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.2,Esth 1:2,1,就是 亚哈随鲁 王在 书珊 城堡中坐国度王位的那些日子。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.3,Esth 1:3,2,他在位第三年，为所有官员和臣仆摆设宴席，有 波斯 和 玛代 的权贵，各省的贵族与领袖在他面前。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.4,Esth 1:4,3,他把他荣耀国度的丰富和他伟大威严的尊贵给他们看了许多日子，共一百八十天。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.5,Esth 1:5,4,这些日子满了，王又为所有住 书珊 城堡的百姓，无论大小，在御花园的院子里摆设宴席七日。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.6,Esth 1:6,5,院子里有白色棉和蓝色线，用细麻绳、紫色绳系在白玉石柱的银环上，又有金银的床榻摆在红、白、黄、黑大理石镶嵌的地上。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.7,Esth 1:7,6,用金器皿盛酒，有很多不同的器皿，照王的厚意提供丰富的御酒。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.8,Esth 1:8,7,饮酒有规定，不准勉强人 ，因为王吩咐宫里所有的臣宰，让人各随己意。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.9,Esth 1:9,8,瓦实提 王后在 亚哈随鲁 王的宫内也为妇女摆设宴席。
zh,RCUVSS,Esth,Esth,16,Esth.1,Esth 1,0,Esth.1.10,Esth 1:10,9,第七日， 亚哈随鲁 王饮酒，心中快乐，就吩咐在他面前侍立的七个太监 米户幔 、 比斯他 、 哈波拿 、 比革他 、 亚拔他 、 西达 、 甲迦 ，
