languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.1,Mic 1:1,0,当 犹大 王 约坦 、 亚哈斯 、 希西家 在位的时候，耶和华的话临到 摩利沙 人 弥迦 ，他见到有关 撒玛利亚 和 耶路撒冷 的异象。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.2,Mic 1:2,1,万民哪，你们都要听！ 地和其上所有的，要留心听！ 主耶和华要从他的圣殿 指证你们的不是。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.3,Mic 1:3,2,看哪，耶和华从他的居所出来， 降临步行地之高处。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.4,Mic 1:4,3,众山在他底下熔化， 诸谷崩裂， 如蜡熔在火中， 如水冲下山坡。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.5,Mic 1:5,4,这都是因 雅各 的罪过， 因 以色列 家的罪恶。 雅各 的罪过在哪里呢？ 岂不是在 撒玛利亚 吗？ 犹大 的丘坛在哪里呢？ 岂不是在 耶路撒冷 吗？
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.6,Mic 1:6,5,因此，我必使 撒玛利亚 变为田野的废墟， 用以栽植葡萄； 我必把它的石头倒在山谷， 掀开它的地基。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.7,Mic 1:7,6,城里一切雕刻的偶像必被打碎， 行淫的赏金全被火烧， 我要毁灭它的一切偶像； 因为从妓女的赏金积聚而来的， 它们仍归为妓女的赏金。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.8,Mic 1:8,7,为此我要大声哀号， 赤身赤脚行走； 我要呼号如野狗， 哀鸣如鸵鸟。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.9,Mic 1:9,8,因为 撒玛利亚 的创伤无法医治， 蔓延到 犹大 ， 到了我百姓的城门， 直达 耶路撒冷 。
zh,RCUVSS,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.10,Mic 1:10,9,不要在 迦特 宣扬 这事， 千万不要哭泣； 要在 伯．亚弗拉 翻滚于灰尘 中。
