languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.1,Zeph 1:1,0,当 亚们 的儿子 犹大 王 约西亚 在位的时候，耶和华的话临到 希西家 的玄孙， 亚玛利雅 的曾孙， 基大利 的孙子， 古示 的儿子 西番雅 。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.2,Zeph 1:2,1,耶和华说： “我必从地面上彻底除灭万物。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.3,Zeph 1:3,2,我必除灭人与牲畜， 除灭空中的鸟、海里的鱼、 绊脚石和恶人； 我必把人从地面上剪除， 这是耶和华说的。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.4,Zeph 1:4,3,我必伸手攻击 犹大 和 耶路撒冷 所有的居民； 从这地方剪除剩下的 巴力 、 事奉偶像之祭司的名字与祭司；
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.5,Zeph 1:5,4,还有那些在屋顶拜天上万象的， 那些敬拜耶和华指着他起誓， 却又指着 米勒公 起誓的；
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.6,Zeph 1:6,5,并那些转去不跟从耶和华， 不寻求耶和华，也不求问他的。”
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.7,Zeph 1:7,6,在主耶和华面前要静默无声， 因为耶和华的日子快到了。 耶和华已经预备祭物， 将召来的人分别为圣。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.8,Zeph 1:8,7,“到了献祭给耶和华的日子， 我要惩罚领袖和王子， 及所有穿外邦衣服的人。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.9,Zeph 1:9,8,到那日，我必惩罚所有跳过门槛， 以残暴和诡诈塞满主人房屋的人。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.10,Zeph 1:10,9,“当那日，从 鱼门 必发出悲哀的声音， 从第二城区发出哀号的声音， 从山间发出破裂的大响声。 这是耶和华说的。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.11,Zeph 1:11,10,玛革提施 的居民哪，你们要哀号， 因为所有的商人 都灭亡了， 满载银子的人都被剪除。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.12,Zeph 1:12,11,那时，我必用灯巡查 耶路撒冷 ， 惩罚那些沉湎在酒渣上的人； 他们心里说： ‘耶和华必不降福，也不降祸。’
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.13,Zeph 1:13,12,他们的财宝成为掠物， 房屋变为废墟。 他们建造房屋，却不得住在其内； 栽葡萄园，却不得喝其中所出的酒。”
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.14,Zeph 1:14,13,耶和华的大日临近， 临近而且甚快； 那是耶和华日子的风声， 勇士必在那里痛痛地哭号。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.15,Zeph 1:15,14,那日是愤怒的日子， 急难困苦的日子， 荒废凄凉的日子， 黑暗幽冥的日子， 乌云密布的日子，
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.16,Zeph 1:16,15,是吹角呐喊的日子， 要攻击坚固的城， 攻击高大的城楼。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.17,Zeph 1:17,16,我必使灾祸临到人身上， 使他们行走如同盲人， 因为他们得罪了耶和华； 他们的血必倒出如灰尘， 肉身抛弃如粪土。
zh,RCUVSS,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.18,Zeph 1:18,17,当耶和华发怒的日子， 他们的金银不能救自己； 耶和华妒忌的火必烧灭全地， 要向地上所有的居民施行可怕的毁灭。
zh,RCUVSS,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.1,Zeph 2:1,0,不知羞耻的国民哪， 趁命令尚未发出， 日子流逝如糠秕， 耶和华的烈怒尚未临到你们， 他发怒的日子未到以先， 你们应当聚集，聚集起来。
