languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.1,2Tim 1:1,0,奉上帝旨意，按照基督耶稣里所应许的生命，作基督耶稣使徒的 保罗 ，
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.2,2Tim 1:2,1,写信给我亲爱的儿子 提摩太 。愿恩惠、怜悯、平安 从父上帝和我们的主基督耶稣归给你！
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.3,2Tim 1:3,2,我感谢上帝，就是我接续祖先用纯洁的良心所事奉的上帝，在祈祷中昼夜不停地想念你。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.4,2Tim 1:4,3,我一想起你的眼泪，就急切想见你，好让我满心快乐。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.5,2Tim 1:5,4,我记得你无伪的信心，这信心先存在你外祖母 罗以 和你母亲 友妮基 的心里，我深信也存在你的心里。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.6,2Tim 1:6,5,为这缘故，我提醒你要把上帝藉着我按手所给你的恩赐再如火挑旺起来。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.7,2Tim 1:7,6,因为上帝赐给我们的不是胆怯的心，而是刚强、仁爱、自制的心。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.8,2Tim 1:8,7,所以，不要以给我们的主作见证为耻，也不要以我这为主被囚的为耻；总要靠着上帝的大能，与我为福音同受苦难。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.9,2Tim 1:9,8,上帝救了我们， 以圣召召我们， 不是按我们的行为， 而是按他的旨意和恩典； 这恩典是万古之先 在基督耶稣里赐给我们的，
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.10,2Tim 1:10,9,但如今 藉着我们的救主基督耶稣的显现已经表明出来； 他把死废去， 藉着福音，将不朽的生命彰显出来。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.11,2Tim 1:11,10,我为这福音奉派作传道，作使徒，作教师。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.12,2Tim 1:12,11,为这缘故，我也受这些苦难。然而，我不以为耻，因为我知道我所信的是谁，也深信他能保全他所交托我的 ，直到那日。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.13,2Tim 1:13,12,你从我听到那健全的言论，要用在基督耶稣里的信心和爱心常常守着，作为规范。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.14,2Tim 1:14,13,你要靠着那住在我们里面的圣灵，牢牢守住所交托给你那美好的事。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.15,2Tim 1:15,14,你知道，所有在 亚细亚 的人都离弃了我，其中有 腓吉路 和 黑摩其尼 。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.16,2Tim 1:16,15,愿主怜悯 阿尼色弗 一家的人，因为他屡次令我欣慰。他不以我的铁链为耻，
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.17,2Tim 1:17,16,反而一到 罗马 就急切寻找我，并且找到了。
zh,RCUVSS,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.18,2Tim 1:18,17,愿主使他在那日能蒙主的怜悯。他在 以弗所 怎样多服事我，你是清楚知道的。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.1,2Tim 2:1,0,我儿啊，你要在基督耶稣的恩典上刚强起来。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.2,2Tim 2:2,1,你在许多见证人面前听见我所教导的，也要交托给那忠心而又能教导别人的人。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.3,2Tim 2:3,2,你要和我同受苦难，作基督耶稣的精兵。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.4,2Tim 2:4,3,凡当兵的，不让世务缠身，好使那招他当兵的人喜悦。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.5,2Tim 2:5,4,运动员在比赛的时候，不按规则就不能得冠冕。
zh,RCUVSS,2Tim,2Tim,54,2Tim.2,2Tim 2,1,2Tim.2.6,2Tim 2:6,5,勤劳的农夫理当先得粮食。
