languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.1,Phlm 1:1,0,为基督耶稣被囚的 保罗 ，同弟兄 提摩太 ，写信给我们所亲爱的同工 腓利门 、
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.2,Phlm 1:2,1,亚腓亚 姊妹，和我们的战友 亚基布 ，以及在你家里的教会。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.3,Phlm 1:3,2,愿恩惠、平安 从我们的父上帝和主耶稣基督归给你们！
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.4,Phlm 1:4,3,我在祷告中记念你的时候，常为你感谢我的上帝，
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.5,Phlm 1:5,4,因听说你对众圣徒的爱心，和你对主耶稣的信心。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.6,Phlm 1:6,5,愿你与人分享信心的时候，能产生功效，让人知道我们 所行的各样善事都是为基督做的。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.7,Phlm 1:7,6,弟兄啊，由于你的爱心，我得到极大的快乐和安慰，因为众圣徒的心从你得到舒畅。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.8,Phlm 1:8,7,虽然我靠着基督能放胆吩咐你做该做的事，
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.9,Phlm 1:9,8,可是像我这上了年纪的 保罗 ，现在又是为基督耶稣被囚的，宁可凭着爱心求你，
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.10,Phlm 1:10,9,就是为我在捆锁中所生的儿子 阿尼西谋 求你。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.11,Phlm 1:11,10,从前他与你没有益处，但如今与你我都有益处。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.12,Phlm 1:12,11,我现在打发他回到你那里去，他是我心肝。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.13,Phlm 1:13,12,我本来有意将他留下，在我为福音所受的捆锁中替你伺候我。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.14,Phlm 1:14,13,但不知道你的意见，我不愿意这样做，好使你的善行不是出于勉强，而是出于自愿。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.15,Phlm 1:15,14,他暂时离开你，也许是要让你永远得着他，
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.16,Phlm 1:16,15,不再是奴隶，而是高过奴隶，是亲爱的弟兄；对我确实如此，何况对你呢！无论在肉身或在主里更是如此。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.17,Phlm 1:17,16,所以，你若以我为同伴，就接纳他，如同接纳我一样。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.18,Phlm 1:18,17,他若亏负你，或欠你什么，都算在我的账上吧，
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.19,Phlm 1:19,18,我必偿还。这是我— 保罗 亲笔写的。我并不用对你说，甚至你自己也亏欠我呢！
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.20,Phlm 1:20,19,弟兄啊，希望你使我在主里因你得益处，让我的心在基督里得到舒畅。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.21,Phlm 1:21,20,我写信给你，深信你必顺服，知道你所要做的，必过于我所说的。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.22,Phlm 1:22,21,此外，还请给我预备住处，因为我盼望藉着你们的祷告，必蒙恩回到你们那里去。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.23,Phlm 1:23,22,为基督耶稣与我一同坐监的 以巴弗 问候你。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.24,Phlm 1:24,23,我的同工 马可 、 亚里达古 、 底马 、 路加 也都问候你。
zh,RCUVSS,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.25,Phlm 1:25,24,愿 主耶稣基督的恩与你们的灵同在。
