languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.1,Heb 1:1,0,古时候，上帝藉着众先知多次多方向列祖说话，
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.2,Heb 1:2,1,末世，藉着他儿子向我们说话，又立他为承受万有的，也藉着他创造宇宙。
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.3,Heb 1:3,2,他是上帝荣耀的光辉，是上帝本体的真像，常用他大能的命令托住万有。他洗净了人的罪，就坐在高天至大者的右边。
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.4,Heb 1:4,3,他所承受的名比天使的名更尊贵，所以他远比天使崇高。
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.5,Heb 1:5,4,上帝曾对哪一个天使说过： “你是我的儿子； 我今日生了你”？ 又说过： “我要作他的父； 他要作我的子”呢？
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.6,Heb 1:6,5,再者，上帝引领他长子 进入世界的时候，说： “上帝的使者都要拜他。”
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.7,Heb 1:7,6,关于使者，他说： “上帝以风为使者， 以火焰为仆役。”
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.8,Heb 1:8,7,关于子，他却说： “上帝啊，你的宝座是永永远远的； 你国度的权杖是正直的权杖。
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.9,Heb 1:9,8,你喜爱公义，恨恶罪恶； 所以上帝，就是你的上帝，用喜乐油膏你， 胜过膏你的同伴。”
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.10,Heb 1:10,9,他又说： “主啊，你起初立了地的根基， 天也是你手所造的。
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.11,Heb 1:11,10,天地都会消灭，你却长存； 天地都会像衣服渐渐旧了；
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.12,Heb 1:12,11,你要将天地卷起来，像卷一件外衣， 天地像衣服都会改变。 你却永不改变； 你的年数没有穷尽。”
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.13,Heb 1:13,12,上帝曾对哪一个天使说： “你坐在我的右边， 等我使你的仇敌作你的脚凳”？
zh,RCUVSS,Heb,Heb,57,Heb.1,Heb 1,0,Heb.1.14,Heb 1:14,13,众天使不都是事奉的灵，奉差遣为那将要承受救恩的人服务的吗？
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.1,Heb 2:1,0,所以，我们必须越发注意所听见的道，免得我们随流失去。
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.2,Heb 2:2,1,既然那藉着天使所传的话是确定的，凡违背不听从的，都受了该受的报应；
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.3,Heb 2:3,2,我们若忽略这么大的救恩，怎能逃避呢？这拯救起先是主亲自讲的，后来是听见的人给我们证实了。
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.4,Heb 2:4,3,上帝又按自己的旨意，更用神迹奇事、百般的异能，和圣灵所给的恩赐，与他们一同作见证。
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.5,Heb 2:5,4,我们所说将来的世界，上帝没有交给天使管辖。
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.6,Heb 2:6,5,但有人在某处证明说： “人算什么，你竟顾念他； 世人算什么，你竟眷顾他。
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.7,Heb 2:7,6,你使他暂时比天使微小 ， 赐他荣耀尊贵为冠冕， 你派他管理你手所造的，
zh,RCUVSS,Heb,Heb,57,Heb.2,Heb 2,1,Heb.2.8,Heb 2:8,7,使万物都服在他的脚下。” 既然使万物都服他 ，就没有剩下一样不服他的了。只是如今我们还不见万物都服他；
