languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.1,Rev 1:1,0,耶稣基督的启示，就是上帝赐给他，要他将必须快要发生的事指示他的众仆人。他差遣使者指明给他的仆人 约翰 ，
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.2,Rev 1:2,1,约翰 就将上帝的道和耶稣基督的见证，凡自己所看见的，都见证出来。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.3,Rev 1:3,2,诵读这书上预言的，和那些听见又遵守其中所记载的，都是有福的，因为时候近了。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.4,Rev 1:4,3,约翰 写信给 亚细亚 的七个教会。愿那位今在、昔在、以后永在的上帝，与他宝座前的七灵，和那忠信的见证者、从死人中复活的首生者 、世上君王的元首耶稣基督，赐恩惠和平安 给你们。 他爱我们，用自己的血使我们从罪中得释放 ，
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.5,Rev 1:5,4,
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.6,Rev 1:6,5,又使我们成为国度，作他父上帝的祭司。愿荣耀、权能归给他，直到永永远远 。阿们！
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.7,Rev 1:7,6,“看哪，他驾云降临； 众目都要看见他， 连刺他的人也要看见他； 地上的万族要因他哀哭。” 这是真实的。阿们！
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.8,Rev 1:8,7,主上帝说：“我是阿拉法，我是俄梅戛 ，是今在、昔在、以后永在的全能者。”
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.9,Rev 1:9,8,我— 约翰 就是你们的弟兄，在耶稣里和你们一同在患难、国度、忍耐里有份的，为上帝的道，并为给耶稣作的见证，曾在那名叫 拔摩 的海岛上。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.10,Rev 1:10,9,有一主日我被圣灵感动，听见在我后面有大声音如吹号，
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.11,Rev 1:11,10,说：“把你所看见的写在书上，寄给 以弗所 、 士每拿 、 别迦摩 、 推雅推喇 、 撒狄 、 非拉铁非 、 老底嘉 那七个教会。”
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.12,Rev 1:12,11,我转过身来要看看是谁的声音在跟我说话。我一转过来，看见了七个金灯台；
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.13,Rev 1:13,12,在灯台中间有一位好像人子的，身穿垂到脚的长袍，胸间束着金带。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.14,Rev 1:14,13,他的头与发皆白，如白羊毛，如雪；他的眼睛好像火焰，
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.15,Rev 1:15,14,双脚好像在炉中锻鍊得发亮的铜，声音好像众水的声音。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.16,Rev 1:16,15,他右手拿着七颗星，从他口中吐出一把两刃的利剑，面貌好像烈日放光。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.17,Rev 1:17,16,我看见了他，就仆倒在他脚前，像死人一样。他用右手按着我说：“不要怕。我是首先的，是末后的，
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.18,Rev 1:18,17,又是永活的。我曾死过，看哪，我是活着的，直到永永远远；并且我拿着死亡和阴间的钥匙。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.19,Rev 1:19,18,所以，你要把所看见的事、现在的事和以后将发生的事，都写下来。
zh,RCUVSS,Rev,Rev,65,Rev.1,Rev 1,0,Rev.1.20,Rev 1:20,19,至于你所看见、在我右手中的七颗星和那七个金灯台的奥秘就是：七颗星是七个教会的使者，七个灯台是七个教会。”
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.1,Rev 2:1,0,“你要写信给 以弗所 教会的使者，说：‘那右手拿着七颗星，在七个金灯台中间行走的这样说：
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.2,Rev 2:2,1,我知道你的行为、劳碌、忍耐，也知道你不容忍恶人。你也曾察验那自称为使徒却不是使徒的，看出他们是假的。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.3,Rev 2:3,2,你能忍耐，曾为我的名劳苦而不困倦。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.4,Rev 2:4,3,然而，有一件事我要责备你，就是你把起初的爱心抛弃了。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.5,Rev 2:5,4,所以你要回想你是从哪里坠落的，并且要悔改，做起初所做的工作。你若不悔改，我要到你那里去，把你的灯台从原处挪去。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.6,Rev 2:6,5,然而你还有一件可取的事，就是你恨恶 尼哥拉 派的行为，这种行为也是我所恨恶的。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.7,Rev 2:7,6,凡有耳朵的都应当听圣灵向众教会所说的话。得胜的，我必将上帝乐园中生命树的果子赐给他吃。’”
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.8,Rev 2:8,7,“你要写信给 士每拿 教会的使者，说：‘那首先的、末后的，死过又活了的这样说：
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.9,Rev 2:9,8,我知道你的患难和贫穷—其实你却是富足的，也知道那自称是 犹太 人的所说毁谤的话，其实他们不是 犹太 人，而是撒但会堂的人。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.10,Rev 2:10,9,你将要受的苦，你不用怕。看哪！魔鬼要把你们中间几个人下在监里，使你们受考验，你们要遭受苦难十日。你务要至死忠心，我就赐给你那生命的冠冕。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.11,Rev 2:11,10,凡有耳朵的都应当听圣灵向众教会所说的话。得胜的必不受第二次死的害。’”
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.12,Rev 2:12,11,“你要写信给 别迦摩 教会的使者，说：‘那有两刃利剑的这样说：
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.13,Rev 2:13,12,我知道你的居所，就是有撒但座位之处；当我忠心的见证人 安提帕 在你们中间，在撒但所住的地方被杀之时，你还坚守我的名，没有否认对我的信仰。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.14,Rev 2:14,13,然而，有几件事我要责备你，就是在你那里有人服从了 巴兰 的教训；这 巴兰 曾教唆 巴勒 将绊脚石放在 以色列 人面前，使他们吃祭过偶像之物，并且犯淫乱。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.15,Rev 2:15,14,同样，你那里也有人服从了 尼哥拉 派的教训。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.16,Rev 2:16,15,所以，你当悔改；若不悔改，我很快就到你那里来，用我口中的剑攻击他们。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.17,Rev 2:17,16,凡有耳朵的都应当听圣灵向众教会所说的话。得胜的，我必将那隐藏的吗哪赐给他，并赐他一块白石，石上写着新的名字，除了那领受的以外，没有人认识。’”
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.18,Rev 2:18,17,“你要写信给 推雅推喇 教会的使者，说：‘上帝的儿子，那位眼睛如火焰、双脚像发亮的铜的这样说：
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.19,Rev 2:19,18,我知道你的行为：爱心、信心、勤劳、忍耐；又知道你末后所行的善事比起初所行的更多。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.20,Rev 2:20,19,然而，有一件事我要责备你，就是你容忍那自称是先知的妇人 耶洗别 教唆我的仆人，引诱他们犯淫乱，吃祭过偶像之物。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.21,Rev 2:21,20,我曾给她悔改的机会，她却不肯悔改她的淫行。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.22,Rev 2:22,21,看吧，我要使她病倒在床上。那些与她犯奸淫的人若不悔改他们的行为，我也要使他们同受大患难。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.23,Rev 2:23,22,我又要杀死她的儿女，众教会就知道，我是那察看人肺腑心肠的，我要照你们的行为报应各人。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.24,Rev 2:24,23,至于你们其余的 推雅推喇 人，就是一切不随从这教训，不明白他们所谓撒但深奥之理的人，我告诉你们，我不会再把别的担子放在你们身上。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.25,Rev 2:25,24,你们只要持守那已经有的，直到我来。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.26,Rev 2:26,25,那得胜又遵守我命令到底的， 我要赐给他权柄制伏列国；
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.27,Rev 2:27,26,他必用铁杖管辖他们， 如同打碎陶器，
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.28,Rev 2:28,27,像我也从我父领受了权柄一样。我又要把晨星赐给他。
zh,RCUVSS,Rev,Rev,65,Rev.2,Rev 2,1,Rev.2.29,Rev 2:29,28,凡有耳朵的都应当听圣灵向众教会所说的话。’”
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.1,Rev 3:1,0,“你要写信给 撒狄 教会的使者，说：‘那有上帝的七灵和七颗星的这样说：我知道你的行为，就是名义上你是活的，实际上你是死的。
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.2,Rev 3:2,1,你要警醒，坚固那些剩下、快要死的，因为我发现你的行为，在我上帝面前没有一样是完全的。
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.3,Rev 3:3,2,所以，要记得你所领受和听见的；要遵守，并要悔改。你若不警醒，我必如贼一样来到；我几时来到你那里，你绝不会知道。
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.4,Rev 3:4,3,然而，在 撒狄 你还有几位是未曾污秽自己衣服的，他们会穿白衣与我同行，因为他们是配穿的。
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.5,Rev 3:5,4,得胜的必这样穿白衣，我也不从生命册上涂去他的名；我要在我父面前，和我父的众使者面前，宣认他的名。
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.6,Rev 3:6,5,凡有耳朵的都应当听圣灵向众教会所说的话。’”
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.7,Rev 3:7,6,“你要写信给 非拉铁非 教会的使者，说： ‘那神圣、真实的， 拿着 大卫 的钥匙， 开了就没有人能关， 关了就没有人能开的这样说：
zh,RCUVSS,Rev,Rev,65,Rev.3,Rev 3,2,Rev.3.8,Rev 3:8,7,我知道你的行为。看哪，我在你面前给你一个敞开的门，是没有人能关的。我知道你有一点力量，也遵守我的道，没有否认我的名。
